_id,_fusion_sources,title_description,price,brand,form_factor,height_mm,weight_g,interface_type,length_mm,priceCurrency,url,width_mm,description,id,chipset_name,memory_type,read_speed_mb_s,write_speed_mb_s,storage_connection_type,product_type,storage_gb,title,model,color,bus_type,vram_gb,model_number,cluster_id
products_1_675322,"['products_1_675322', 'products_4_77070657']","WD Blue 500GB - [WDS500G1B0A] SSD. Description: (Solid, -, 2.5\"", 500GB, Blue, Drive), SATA, SSD, State, WD, Western Digital, [WDS500G1B0A]",205.57,Western Digital,2.5-inch,,,SATA III,,USD,"['https://qnapdirect.com/products/wd-blue-500gb-internal-ssd-solid-state-drive-sata-wds500g1b0a', 'https://www.megekko.nl/product/2018/993145/SSD-2-5-SATA/WD-Blue-500GB-WDS500G1B0A-SSD']",,WD Blue SATA 6Gb/s 2.5 Inch 500GB Internal SSD Solid State DriveSequential read speeds of up to 545MB/s and sequential write speeds of up to 525MB/s. An industry-leading 1.75M hours Mean Time To Failure (MTTF) and several error-correction technologies for lasting reliability. Optimized for multitasking to simultaneously run resource-heavy applications without system slow-down.,products_1_675322,,,,,2.5-inch 5ATA,SSD,,"Western Digital WD Blue SSD interne 500 Go - SATA 6 Gbit/s 2,5''",WD Blue,Blue,SATA,,WDS500G1B0A,484124.0
products_2_58710753,"['products_2_58710753', 'products_1_46330427']","HP 300GB 12G 15K 2.5\"" SAS 759208-B21 759546-001 748385-001 HDD Hard Drive HPE. Description: Specifications: Brand- HP HP Option Part Number(s)- 759208-B21 HP Part Number(s)- 759546-001 HP Assembly Number(s)- 748385-001 Capacity- 300GB Form Factor- 2.5\"" SFF Interface Type- SAS Data Transfer Rate- 12 Gbps Spindle Speed- 15,000 RPM Condition- This item is certified to be in Grade A condition, cosmetically perfect, and tested by our experts to be ready for use!Disclaimer: Pictures may not be an exact representation of the part.Return Policy:Not completely satisfied with your purchase? Give us a call within 30 days to take advantage of our complimentary 30-Day Guarantee!**Please note: some exclusions apply, see our full return policy here.Compatibility: Give us a call to find out more about compatiblity for this item!",493.545,Hewlett Packard,3.5-inch,,,SAS,,SGD,"['https://www.globalcomputersales.com/products/652620-b21', 'https://www.globalcomputersales.com/products/759208-b21']",,"Specifications: Brand- HP HP Option Part Number(s)- 759208-B21 HP Part Number(s)- 759546-001 HP Assembly not 748385-001 Capacity- 300GB Form Factor- 2.5\"" SFF Interface Type- SAS Data Transfer Rate- 12 Gbps Spindle Speed- 15,000 RPM Condition- This item is certified to be in Grade A condition, cosmetically perfect, and tested by our experts to be ready for use!Disclaimer: Pictures may Number(s)- be an exact representation of the part.Return Policy:Not completely satisfied with your purchase? Give us a call within 30 days to take advantage of our complimentary 30-Day Guarantee!**Please note: some exclusions apply, see our full return policy here.Compatibility: Give us a call to find out more about compatiblity for this item!",products_2_58710753,,,,,2.5-inch SAS,HDD,600.0,"HP 652620-B21 653952-001 G8 600GB 15K 6G 3.5\"" SAS HDD Hard Drive HPE",,,SAS,,652620-B21 653952-001,525101.0
k02_noncorner_products_00117__products_4,"['k02_noncorner_products_00117__products_4', 'k02_noncorner_products_00117__products_2', 'k02_noncorner_products_00117__products_3', 'k02_noncorner_products_00117__products_1']",27-inch OLED monitor for creative and gaming workflows,880.14,Asterline,,,,,,USD,,,"A fictional 27-inch desktop monitor designed for color-focused creative work, featuring a 2560 x 1440 OLED panel, 240 Hz refresh rate, and adaptive sync support. It emphasizes wide-gamut image rendering, factory calibration, and a slim stand intended for studio desks rather than storage or enterprise use.",k02_noncorner_products_00117__products_4,NovaView X7,,,,,Monitor,,Nebula Prism 27 OLED Monitor,Prism 27 OLED,,,,AL-27POLED-240,
products_3_67784462,"['products_3_67784462', 'products_4_96520219', 'products_1_26366372', 'products_2_96130408']","Samsung Portable SSD T5 - 1TB SSD - 1 TB - 1\"" - USB 3.1 Gen 2. Description: SSD (Solid state drive), 1 TB, ekstern ( bærbar ), USB 3.1 Type C, AES 256-bit hardware kryptering, dyb sort",881.4300000000001,Samsung,2.5-inch,,,USB Type-C,,DKK,"['https://www.allstars.com.sg/samsung-1tb-t5-portable-ssd-mu-pa1t0b-ww-wrty-w-ea', 'https://www.comsystems.bg/samsung-portable-ssd-t7-1tb-46594.html', 'https://www.merlin.dk/SSD/Samsung-Portable-SSD-T5-1TB-SSD-1-TB-1-USB-31-Gen-2/2611537', 'https://www.proshop.dk/SSD/Samsung-Portable-SSD-T5-1TB/2611537']",,"SSD (Solid state drive), 1 TB, ekstern ( bærbar ), USB 3.1 Type C, AES 256-bit hardware kryptering, dyb sort",products_3_67784462,,,,,,SSD,1000.0,"Samsung Portable SSD T5 - 1TB SSD - 1 TB - 1\"" - USB 3.1 Gen 2",Portable SSD T5,dyb sort,USB 3.0,,,832337.0
k02_noncorner_products_00147__products_3,"['k02_noncorner_products_00147__products_3', 'k02_noncorner_products_00147__products_1', 'k02_noncorner_products_00147__products_2', 'k02_noncorner_products_00147__products_4']",27-inch curved monitor with 1440p resolution and 100 Hz refresh rate,258.46,Asterion,,,,,,USD,,,"Asterion Nebula Arc 27Q is a fictional 27-inch curved desktop monitor designed for general productivity and media viewing, featuring a 2560 x 1440 panel, 100 Hz refresh rate, and integrated anti-glare coating. It uses a slim matte-black chassis with HDMI and DisplayPort inputs, tilt adjustment, and a low-blue-light mode for long work sessions.",k02_noncorner_products_00147__products_3,QuantumView QV-27,,,,,MONITOR,,Nebula Arc 27Q Curved Monitor,Nebula Arc 27Q,,,,AN27Q-100,
k02_noncorner_products_00198__products_2,"['k02_noncorner_products_00198__products_2', 'k02_noncorner_products_00198__products_3', 'k02_noncorner_products_00198__products_1', 'k02_noncorner_products_00198__products_4']","27-inch QHD monitor with IPS panel, 75Hz refresh, and HDMI/DisplayPort connectivity",340.76,Aurora,,,,,,USD,,,"Aurora Frame 27Q is a fictional 27-inch desktop monitor built for general productivity and creative work. It features a 2560 x 1440 IPS panel, 75Hz refresh rate, DisplayPort and HDMI inputs, a matte anti-glare finish, and an adjustable stand with tilt and height support. The design emphasizes thin bezels and a clean white chassis for office and home setups.",k02_noncorner_products_00198__products_2,IPS QHD Panel,,,,,Monitor,,Aurora Frame 27Q 27-inch QHD Monitor,Frame 27Q,,,,AF-27Q-1440-75,
k02_noncorner_products_00214__products_4,"['k02_noncorner_products_00214__products_4', 'k02_noncorner_products_00214__products_2', 'k02_noncorner_products_00214__products_1', 'k02_noncorner_products_00214__products_3']",Thunderbolt desktop audio interface with 49GB internal buffer,292.6,AsterLoop,,,,,,USD,,,"Compact desktop audio interface for creators and streamers, featuring dual low-noise microphone preamps, 24-bit/192 kHz conversion, a dedicated headphone output, and bus-powered operation over Thunderbolt 3. Designed for podcast capture, voiceover work, and mobile studio setups, it includes loopback mixing, direct monitor control, and a matte graphite aluminum chassis.",k02_noncorner_products_00214__products_4,NovaCore T3,,,,,AUDIO_INTERFACE,49.0,Aurora Rift 49GB Thunderbolt Audio Interface,Rift,,,,AL-49TB,
k02_noncorner_products_00342__products_1,"['k02_noncorner_products_00342__products_1', 'k02_noncorner_products_00342__products_2', 'k02_noncorner_products_00342__products_4', 'k02_noncorner_products_00342__products_3']",Compact studio monitor with walnut finish,222.68,Nebula Loom,,,,,,USD,,,"Fictional compact nearfield monitor for desktop audio work, designed for home studios and editing suites. Features a balanced analog input stage, rear bass port, and a matte walnut enclosure aimed at voice, podcast, and mix-reference use.",k02_noncorner_products_00342__products_1,Class-D audio amplifier module,,,,,monitor,,Nebula Loom N7 studio monitor,N7,,,,NL-N7-WN,
k02_noncorner_products_00061__products_1,"['k02_noncorner_products_00061__products_1', 'k02_noncorner_products_00061__products_2', 'k02_noncorner_products_00061__products_3', 'k02_noncorner_products_00061__products_4']","Curved 27-inch monitor with QHD IPS display, 165Hz refresh, USB-C power delivery, and studio ambient lighting.",387.72,AsterVale,,,,,,USD,,,"A fictional 27-inch curved desktop monitor designed for creative workspaces and ambient digital signage. Features a 2560x1440 IPS panel, 165Hz refresh rate, USB-C input with 65W power delivery, and adjustable RGB backlighting for studio environments.",k02_noncorner_products_00061__products_1,NovaView Q7,,,,,MONITOR,,Nebula Loom 27-inch Curved Display,Loom 27C,,,,AV-L27C-165,
products_2_66515850,"['products_2_66515850', 'products_1_85773146', 'products_4_55744888', 'products_3_8389372']","ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 Graphics Card. Description: Cuda Cores: 1920, Boost Clock: 1680MHz, GDDR6, 192-bit Memory, Memory Clock: 14000Mhz, Ray Tracing, 3 x DisplayPort, 1 x HDMI, 5 Year Warranty*",359.89,Zotac,,,,,,GBP,"['https://www.ebuyer.com/990008-zotac-geforce-rtx-2060-6gb-graphics-card-zt-t20600k-10m', 'https://www.komplett.no/product/1160685/datautstyr/pc-komponenter/skjermkort/zotac-gaming-geforce-rtx-2060-6gb-twin-fan', 'https://www.nexths.it/Products/details/sku/ZT-T20600K-10M', 'https://www.novatech.co.uk/products/zotac-gaming-geforce-rtx-2060-6gb-gddr6-graphics-card/zt-t20600h-10m.html']",,"Cuda Cores: 1920, Boost Clock: 1680MHz, GDDR6, 192-bit Memory, Memory Clock: 14000Mhz, Ray Tracing, 3 x DisplayPort, 1 x HDMI, 5 Year Warranty*",products_2_66515850,GeForce RTX 2060,GDDR6,,,,GPU,,Zotac GeForce RTX 2060 6GB GDDR6 HDMI/3*DP PCi Ex 3.0 16x,GAMING GeForce RTX 2060 6GB Twin Fan,,PCI Express x16,6.0,,2949522.0
products_1_10638808,"['products_1_10638808', 'products_3_52622993']","Samsung 1TB T5 External Portable SSD - Black, USB 3.1 Gen2, Transfer Max 540MB/s, AES 256-bit Hardware Encryption, Compact Size, Shock Resistance, USB Type C-to-C and Type C-to-A Cables Included. Description: Samsung 1TB T5 External Portable SSD - Black, USB 3.1 Gen2, Transfer Max 540MB/s, AES 256-bit Hardware Encryption, Compact Size, Shock Resistance, USB Type C-to-C and Type C-to-A Cables Included",237.815,Samsung,,,,USB Type C-to-C and Type C-to-A,,AUD,"['https://shop.bt.com/products/samsung-250gb-t5-series-usb-3-1-type-c-external-portable-ssd-mu-pa250b-eu-D2HJ.html?showimage=3211CBCF-5C94-4564-9D3E-CAC371D9F91A', 'https://www.scorptec.com.au/product/Hard-Drives-&-SSDs/External-SSD/69784-MU-PA1T0B-WW']",,"Samsung 1TB T5 External Portable SSD - Black, USB 3.1 Gen2, Transfer Max 540MB/s, AES 256-bit Hardware Encryption, Compact Size, Shock Resistance, USB Type C-to-C and Type C-to-A Cables Included",products_1_10638808,,,,,USB Type-C,SSD,,"Samsung 1TB T5 External Portable SSD - Black, USB 3.1 Gen2, Transfer Max 540MB/s, AES 256-bit Hardware Encryption, Compact Size, Shock Resistance, USB Type C-to-C and Type C-to-A Cables Included",T5 External Portable SSD,,USB 3.1 Gen 2,,,888167.0
products_3_60655529,"['products_3_60655529', 'products_1_10827123']","Kingston DataTraveler100 G3 64GB Black. Description: Kingston's DataTraveler 100 G3 (DT100G3) USB Flash drive is compliant with next-generation USB 3.0 specifications to take advantage of technology in newer notebooks, desktop PCs and digital devices. With DT100G3, storing and transferring of documents, presentations, music, video, and more is quicker and easier than ever. DT100G3 features a sleek, cost-effective design to make the transition to a satisfying USB 3.0 experience a minimal investment. Available in capacities from 8GB-64GB, DT100G3 is backward compatible with USB 2.0 and has five-year warranty. Future-proof your portable storage now!",7.475,Kingston,,,,,,EUR,"['https://www.cclonline.com/product/116203/DT100G3/64GB/USB-Memory-Sticks/Kingston-64GB-DataTraveler-100-G3-USB-3-0-Flash-Drive/BAK3939', 'https://www.computeruniverse.net/en/kingston-datatraveler-100-g3-64gb']",,"With Kingston's DataTraveler 100 G3 storing and transferring of documents, presentations, music, video, and more is quicker and easier than ever. DT100G3 features a sleek, cost-effective design to make the transition to a satisfying USB 3.0 experience a minimal investment. Future-proof your portable storage now!Compliant - with USB 3.0 specificationsDual Compatibility - USB 3.0 connectivity; backward compatible to USB 2.0",products_3_60655529,,,,,,USB drive,,Kingston DataTraveler100 G3 64GB Black,DataTraveler100 G3,Vlack,USB 3.0,,DT100G3,2691660.0
k02_noncorner_products_00238__products_3,"['k02_noncorner_products_00238__products_3', 'k02_noncorner_products_00238__products_4', 'k02_noncorner_products_00238__products_2', 'k02_noncorner_products_00238__products_1']",Compact creator-focused USB-C audio interface with dual preamps and direct monitoring,151.59,Aster Forge,,,,,,USD,,,"Compact 2-input / 2-output USB-C audio interface for independent creators, featuring dual low-noise preamps, direct monitoring, and 24-bit/192 kHz recording for podcasting and music sketching.",k02_noncorner_products_00238__products_3,AxiomCore NC-2,,,,,AUDIO_INTERFACE,,Aster Forge Nebula Loom Audio Interface,Nebula Loom,,,,AF-NL24,
k02_noncorner_products_00170__products_3,"['k02_noncorner_products_00170__products_3', 'k02_noncorner_products_00170__products_1', 'k02_noncorner_products_00170__products_2', 'k02_noncorner_products_00170__products_4']",27-inch curved display,387.77,Orchid Vale,,,,,,USD,,,"A fictional 27-inch curved desktop display designed for immersive creative work and general productivity. The Nebula 27 features a 1500R curve, QHD resolution, 165Hz refresh rate, and adaptive sync support, with factory-calibrated color tuning for vivid imagery and comfortable long-session viewing.",k02_noncorner_products_00170__products_3,NovaView panel controller,,,,,MONITOR,,Orchid Vale Nebula 27 Curved Display,Nebula 27,,,,OVN27-C165-QHD,
