_id,_fusion_sources,label,release-date,tracks,name,id,duration,genre,artist,release-country
mbrainz_2811,"['mbrainz_2811', 'discogs_12253', 'lastFM_5964']",Capitol Records,1986-01-01 00:00:00,"[' ""Afterglow (Tina\'s House Mix)""', ' ""Afterglow (Tina\'s House mix)""', ' \'Afterglow (7"" Mix)\'', ' \'Afterglow (7"" mix)\'', "" 'Afterglow (Glowing Dub)'"", "" 'Afterglow (Glowing dub)'"", "" 'Afterglow (Tinapella)']"", '[\'Afterglow (12"" Vocal Dance Mix)\'', '[\'Afterglow (12"" vocal dance mix)\'']",Afterglow,mbrainz_2811,1596.0,Electronic / Dance,"Turner, Tina",United States of America
mbrainz_28213,"['mbrainz_28213', 'discogs_46680', 'lastFM_22168']",,1953-01-01 00:00:00,"["" 'Be Careful Of Stones That You Throw'"", "" 'Be Careful of Stones That You Throw'"", "" 'Beyond The Sunset']"", "" 'Beyond the Sunset']"", "" 'Help Me Understand'"", "" 'I Dreamed About Mama Last Night'"", "" 'Men With Broken Hearts'"", "" 'The Funeral'"", "" 'Too Many Parties And Too Many Pals'"", "" 'Too Many Parties and Too Many Pals'"", '[""Pictures From Life\'s Other Side""', ""['Pictures From Lifeâ€™s Other Side'"", '[]']","Hank Williams as ""Luke the Drifter""",mbrainz_28213,1454.0,Folk,Luke The Drifter,United States of America
mbrainz_26570,"['mbrainz_26570', 'lastFM_66626', 'discogs_153301']",Klonosphere,2014-10-06 00:00:00,"[' ""Damballa\'s Vodoo Doll""', "" 'Blowjob On The Rocks']"", "" 'DamballaÃ¢â‚¬â„¢s Voodoo Doll'"", "" 'Damballaâ€™s Voodoo Doll'"", "" 'Fire On Skin'"", "" 'Fire On skin'"", "" 'Guede Juice'"", "" 'GuÃ©dÃ© Juice'"", "" 'GuÃƒÂ©dÃƒÂ© Juice'"", "" 'Possessed By The Nightlife'"", ""['Moonshine Limbo'""]",Voodoo Moonshine,mbrainz_26570,741.0,Rock,Trepalium,France
mbrainz_83,"['mbrainz_83', 'lastFM_109', 'discogs_192']",Djax-Up-Beats,2001-01-01 00:00:00,"["" 'ATP'"", "" 'Controlling Atoms']"", "" 'Controlling atoms']"", "" 'Robot M'"", ""['ATP'"", ""['Bond Energy'""]",Replicant EP (album),mbrainz_83,0.0,Electronic / Dance,Pacou,Netherlands
mbrainz_18301,"['mbrainz_18301', 'lastFM_44336', 'discogs_97317']",GUN Records (2),2008-01-01 00:00:00,"["" 'Ashes Of The Innocent']"", "" 'Ashes of the Innocent']"", "" 'One Good Reason Why (Bonus Track)'"", "" 'One Good Reason Why'"", "" 'Watching Us Die Tonight (Bonus Track)'"", "" 'Watching Us Die Tonight'"", ""['Road To Nowhere'"", ""['Road to Nowhere'""]",Road To Nowhere,mbrainz_18301,576.0,Rock,Bullet For My Valentine,UK & Europe
mbrainz_429,"['mbrainz_429', 'discogs_8593', 'k04__fab__lastfm__discogs_8593']",Maverick|Sire,1992-01-01 00:00:00,"[' ""Why\'s It So Hard""', "" 'Bad Girl'"", "" 'Bye Bye Baby'"", "" 'Deeper And Deeper'"", "" 'Deeper and Deeper'"", "" 'Fever'"", "" 'In This Life'"", "" 'Rain'"", "" 'Secret Garden']"", "" 'Thief Of Hearts'"", "" 'Thief of Hearts'"", "" 'Waiting'"", "" 'Where Life Begins'"", "" 'Whyâ€™s It So Hard'"", "" 'Words'"", ""['Erotica'""]",Erotica,mbrainz_429,1470.0,Electronic / Dance,Madonna,United States of America
lastFM_34250,"['lastFM_34250', 'mbrainz_15556', 'k04__fab__discogs__lastFM_34250']",,2007-01-01 00:00:00,"[' ""It\'s Over""', "" '10"", "" 'Bottomfeeder'"", "" 'Destroy'"", "" 'Dirty (On the Inside)'"", "" 'Dirty (on the inside)'"", "" 'Dragon'"", "" 'Oddman'"", "" 'Quiet'"", "" 'The Birth']"", ""000 Years'"", ""000 years'"", ""['Darker'""]",Nightmare,lastFM_34250,864.0,,Pittersplatter,United States of America
discogs_38713,"['discogs_38713', 'lastFM_18389', 'mbrainz_8627']",High Contrast Recordings (2),2009-07-07 00:00:00,"[""['Symfo']""]",Symfo (Official Sunrise Festival 2009 Theme),discogs_38713,80.0,Electronic / Dance,Rank 1.,Netherlands
discogs_11676,"['discogs_11676', 'lastFM_5678', 'mbrainz_2674']",,1994-01-01 00:00:00,"["" 'Broken Peace (Crazy Cuts Mix)'"", "" 'Broken Peace (Crazy Cuts mix)'"", "" 'Broken Peace (Full Mix)'"", "" 'Broken Peace (full mix)'"", "" 'Corpus Delecti']"", "" 'Whose Fist Is This Anyway? (Short Mix)'"", "" 'Whose Fist Is This Anyway? (short mix)'"", ""['Broken Peace (Single Remix)'"", ""['Broken Peace (single remix)'""]",Broken Peace,discogs_11676,798.0,Electronic / Dance,Prong,United States of America
mbrainz_2373,"['mbrainz_2373', 'discogs_10429', 'lastFM_5105']",Collision: Cause Of Chapter 3,2005-01-01 00:00:00,"["" 'Green Theory'"", "" 'React Like This'"", "" 'Remote Control Dub (Adrian Sherwood Dub)'"", "" 'Repetition'"", "" 'Sleepy Head'"", "" 'Steps'"", "" 'Stick Out']"", "" 'Stick out']"", "" 'Stop The Confusion'"", "" 'Story Of Violence'"", "" 'Story of Violence'"", "" 'Tack Unit (Extended Interference - Friday The 13th Version)'"", "" 'Tackhead Dub'"", "" 'Technology Works'"", "" 'The Beast'"", "" 'The Dentist'"", "" 'Time Out'"", "" 'Tree'"", "" 'Vision'"", "" 'What Order (Remote Control Dub)'"", "" 'What Order'"", "" 'sleepy head'"", ""['Whatever'""]",Stop The Confusion (Global Interference),mbrainz_2373,4081.0,Electronic / Dance,"LeBlanc, Keith",Germany
lastFM_327,"['lastFM_327', 'discogs_570', 'mbrainz_193']",Electrix Records,2001-11-09 00:00:00,"["" 'Never Fall Again (Scape One Remix)'"", "" 'Never Fall Again (Scape One remix)'"", "" 'Never Fall Again (Subfunk Remix)']"", "" 'Never Fall Again (Subfunk remix)']"", "" 'Never Fall Again (scape one remix)'"", "" 'Never Fall Again (subfunk remix)']"", ""['Never Fall Again (Original)'"", ""['Never Fall Again (original)'""]",Echoes Beyond Tomorrow,lastFM_327,0.0,Electronic / Dance,Transparent Sound,United Kingdom of Great Britain and Northern Ireland
mbrainz_279,"['mbrainz_279', 'discogs_830', 'lastFM_27204']",Solstice Music International,2002-01-30 00:00:00,"["" '1056'"", "" 'Are We Safe?'"", "" 'Black Lava'"", "" 'Blasting!']"", "" 'Broken Head'"", "" 'Chrome'"", "" 'Crank'"", "" 'Fripp'"", "" 'Half Life'"", "" 'I Confess'"", "" 'Liquid Forms'"", "" 'Pain'"", "" 'Show Me Mary']"", "" 'Solaris'"", "" 'Strange Fruit'"", "" 'The Nude'"", "" 'The Object (Live Mix)'"", "" 'The Object (live mix)'"", "" 'Tracktor Activity'"", "" 'Ursa Major Space Station'"", ""['Alpha-Beta'"", ""['Kill Rhythm'""]",Chrome,mbrainz_279,552.0,Electronic / Dance,Catherine Wheel,Japan
mbrainz_9706,"['mbrainz_9706', 'lastFM_20677', 'discogs_43684']",Surrender All,2009-12-27 00:00:00,"[' ""Heavy Drug (Steve Mac\'s Smacked Up Dub)""', ' ""Heavy Drug (Steve Mac\'s Smacked Up Mix)""', ' ""Heavy Drug (Steve Mac\'s Smacked Up dub)""', ' ""Heavy Drug (Steve Mac\'s Smacked Up mix)""', "" 'Heavy Drug (Future Beat Alliance Remix)']"", "" 'Heavy Drug (Future Beat Alliance remix)']"", ""['Heavy Drug (King Unique Smoke Nest Mix)'"", ""['Heavy Drug (King Unique Smoke Nest mix)'""]",Heavy Drug (Surrender Sounds Mix: The Remixes),mbrainz_9706,528.0,Electronic / Dance,UNKLE,United Kingdom of Great Britain and Northern Ireland
discogs_14075,"['discogs_14075', 'k04__fab__lastfm__discogs_112500', 'mbrainz_2034']",Warner Music Korea|Elektra,2003-01-01 00:00:00,"["" 'Acid Rain'"", "" 'CD2 - Selections From Live Scenes From New York'"", "" 'Caught In A New Millennium']"", "" 'Endless Sacrifice'"", "" 'Home'"", "" 'Honor Thy Father'"", "" 'In The Name Of God'"", "" 'In The Name Of God']"", "" 'In the Name of God']"", "" 'Just Let Me Breathe'"", "" 'Overture 1928'"", "" 'Strange Deja Vu'"", "" 'Stream Of Consciousness'"", "" 'Stream of Consciousness'"", "" 'The Spirit Carries On'"", "" 'This Dying Soul'"", "" 'Vacant'"", ""['As I Am'""]",Train Of Thought,discogs_14075,4159.0,Rock,Dream Theater,United Kingdom of Great Britain and Northern Ireland
lastFM_7623,"['lastFM_7623', 'mbrainz_3663', 'discogs_15702']",Metal Blade Records,2004-01-01 00:00:00,"[' ""Life\'s Last Embers (Farewell Theme)""]', ' ""On A Scar\'s Edge To Infinity""', ' ""On a Scar\'s Edge to Infinity""', ' ""Skywards - A Sylphe\'s Ascension""', ' ""Skywards: A Sylphe\'s Ascension""', "" 'Entangled Whispers In The Depth'"", "" 'Entangled Whispers in the Depth'"", "" 'Fear My Hatred'"", "" 'Insane Chaosphere'"", "" 'Lour Pulse'"", "" 'Mesmerized'"", "" 'On A Scars Edge To Infinity'"", "" 'Scattered To The Four Winds'"", "" 'Scattered to the Four Winds'"", "" 'Shapes Of The Pursuers'"", "" 'Shapes of the Pursuers'"", "" 'The Seventh Sunray Enlights My Pathway'"", ""['Up From The Blackest Of Soil (Ascension Theme)'"", ""['Up From the Blackest of Soil (Ascension Theme)'""]",Skywards - Chapter II - A Sylphe's Ascension,lastFM_7623,1476.0,Rock,Fragments O. Unbecoming,Germany
mbrainz_699,"['mbrainz_699', 'lastFM_1637']",,2002-02-08 00:00:00,"[' ""Scratchin\'""', "" 'Brightness'"", "" 'Challenge'"", "" 'Double Speeded'"", "" 'Freedom'"", "" 'Hell To Paradize'"", "" 'I want you all...'"", "" 'I want you all...']"", "" 'Live Your Magic Dream'"", "" 'New Life'"", "" 'Next'"", "" 'Onwaves'"", "" 'Remember That Song'"", "" 'Remember that Song'"", "" 'Shiver'"", "" 'The Trance all anthem'"", "" 'This Is My Sound'"", "" 'This is my sound'"", "" 'Tibet']"", "" 'Urban Train'"", "" 'shiver'"", ""['Timemachine'""]",Futurescope 19,mbrainz_699,3575.0,,D. Indian,
mbrainz_803,"['mbrainz_803', 'discogs_3720', 'lastFM_1882']",Koyote Records (2),1998-10-01 00:00:00,"[' ""Cassandra\'s Nightmare""]', "" 'Abominations'"", "" 'Acid For Blood'"", "" 'Acid for Blood'"", "" 'Apocalyptic Ritual'"", "" 'Hallucinatory Spheres'"", "" 'Obscure Spectre'"", "" 'Torrent Of Insanity'"", "" 'Torrent of Insanity'"", ""['Necroid Millenium'""]",Cassandra's Nightmare,mbrainz_803,2346.0,Electronic / Dance,Xenomorph,United Kingdom of Great Britain and Northern Ireland
mbrainz_1135,"['mbrainz_1135', 'discogs_26571', 'k04__fab__lastfm__discogs_26571']",Death Row Records (2),1995-01-01 00:00:00,"["" 'California Love (LP Instrumental)'"", "" 'California Love (LP instrumental)'"", "" 'California Love (Long Radio Edit)'"", "" 'California Love (Long Remix Edit)'"", "" 'California Love (Remix Instrumental)']"", "" 'California Love (Short Remix Edit)'"", "" 'California Love (long radio edit)'"", "" 'California Love (long remix edit)'"", "" 'California Love (remix instrumental)']"", "" 'California Love (short remix edit)'"", ""['California Love (Short Radio Edit)'"", ""['California Love (short radio edit)'""]",California Love,mbrainz_1135,52.0,Hip Hop / Rap,2Pac (and others),United Kingdom of Great Britain and Northern Ireland
mbrainz_2045,"['mbrainz_2045', 'k04__fab__lastfm__discogs_9221', 'discogs_9221']",Grand Recordings (2)|Virgin,1997-01-01 00:00:00,"[' ""I Didn\'t Know""', ' ""I\'m Failing In Love""', ' ""I\'m Failing in Love""', "" 'Blue And Alone'"", "" 'Blue and Alone'"", "" 'Broken Promise Land'"", "" 'Echoes Of Your Breath'"", "" 'Echoes of Your Breath'"", "" 'Eternal Flames'"", "" 'Good Night Moon'"", "" 'Louisa'"", "" 'Try It Once Again']"", "" 'Under Suspicion'"", "" 'Your Eyes'"", '[""So It\'s Over""']",Broken Land Promise,mbrainz_2045,2749.0,Rock,Weeping Willows,Sweden
discogs_36814,"['discogs_36814', 'k04__fab__lastfm__discogs_196116', 'mbrainz_1672']",ECM Records,1988-07-01,"["" 'Crystal Silence'"", "" 'Sometime Ago - La Fiesta']"", "" 'Sometime Ago / La Fiesta']"", "" 'What Game Shall We Play Today'"", ""['Return To Forever'"", ""['Return to Forever'""]",Return To Forever,discogs_36814,2439.5,Jazz,"Corea, Chick",Germany
discogs_18983,"['discogs_18983', 'lastFM_9180', 'mbrainz_4445']",The Factoria,2006-12-01 00:00:00,"["" 'Made In Spain']"", "" 'Made in Spain']"", ""['On The Dancefloor'"", ""['On the Dancefloor'""]",On The Dancefloor / Made In Spain,discogs_18983,0.0,Electronic / Dance,"Lopez, Wally",Spain
discogs_102508,"['discogs_102508', 'lastFM_46450', 'mbrainz_18926']",Elemental Records,2000-01-01 00:00:00,"["" 'If I Should Die Tonight'"", "" 'Shake a Tailfeather']"", "" 'Shake a Tailfether']"", '[""To Sick to Pray (Don\'t Call the Doctor) (Radio Edit)""', '[""Too Sick to Pray (Don\'t Call the Doctor) (radio edit)""', ""['Too Sick To Pray']""]",Too Sick To Pray (Don't Call The Doctor),discogs_102508,500.0,Electronic / Dance,Alabama 3.,United Kingdom of Great Britain and Northern Ireland
lastFM_47038,"['lastFM_47038', 'discogs_48525', 'mbrainz_201']",Planetworks,2001-01-01 00:00:00,"["" 'In The Music (Original Sax Mix)']"", "" 'In The Music (Streetvibes Radio Cut)'"", "" 'In The Music (Sunswing Mix)'"", "" 'In the Music (Domino Remix)'"", "" 'In the Music (Piatto Remix)']"", "" 'In the Music (Sunswing mix)'"", "" 'In the Music (a cappella)'"", "" 'In the Music (original Sax mix)']"", ""['In The Music (Original Mix)'"", ""['In the Music (original mix)'"", ""['In the Music'""]",...In The Music,lastFM_47038,1342.0,Electronic / Dance,Mark Denken,United States of America
mbrainz_12487,"['mbrainz_12487', 'k04__fab__discogs__lastFM_26891', 'lastFM_26891']",,2010-01-01 00:00:00,"[""['The Broken']""]",The Broken,mbrainz_12487,162.0,,Cambria and Coheed,United Kingdom of Great Britain and Northern Ireland
mbrainz_67,"['mbrainz_67', 'discogs_148', 'k04__fab__lastfm__discogs_148']",Force Inc. Music Works,2001-01-01 00:00:00,"["" 'Violator (S.R.I. Mix)'"", "" 'Violator (S.R.I. remix)'"", "" 'Violator (Stewart Walker Mix)']"", "" 'Violator (Stewart Walker remix)']"", "" 'Violator (T.P. Heckmann Mix)'"", "" 'Violator (Thomas P. Heckmann remix)'"", ""['Violator (Gez Varley Mix)'"", ""['Violator'""]",Violator,mbrainz_67,0.0,Electronic / Dance,"Varley, Gez",Germany
lastFM_6480,"['lastFM_6480', 'mbrainz_3065', 'discogs_13325']",Klik Records,2005-06-20 00:00:00,"[' ""It\'s Coming""', ' ""When I\'m With You""', "" 'Like A Movie'"", "" 'Like a Movie'"", "" 'Ping Pong (Always Be Mix)'"", "" 'Pray'"", "" 'She'"", "" 'The B.I.G. Track'"", "" 'Travelling'"", "" 'Well Done']"", "" 'Wet Fantasy'"", ""['Beautiful'""]",Moments In Dreams,lastFM_6480,3036.0,Electronic / Dance,"Diamantopoulos, Nikos",Greece
k04__fab__lastfm__discogs_89100,"['k04__fab__lastfm__discogs_89100', 'mbrainz_17417', 'discogs_89100']",Hawkwind Records,2005-01-01,"["" 'A Letter To Robert']"", "" 'A Letter to Robert']"", "" 'Angela Android'"", "" 'Digital Nation'"", "" 'Greenback Massacre'"", "" 'Out Here We Are'"", "" 'Sighs'"", "" 'Sunray'"", "" 'Take Me To Your Leader'"", "" 'Take Me to Your Leader'"", "" 'To Love A Machine'"", "" 'To Love a Machine'"", ""['Spirit Of The Age'"", ""['Spirit of the Age'""]",Take Me To Your Leader,k04__fab__lastfm__discogs_89100,3040.0,Rock,Hawkwind,United Kingdom of Great Britain and Northern Ireland
k04__fab__lastfm__discogs_51575,"['k04__fab__lastfm__discogs_51575', 'discogs_54220', 'mbrainz_11308']",Ant-Zen,2010-09-07,"["" '-28c And Falling (Pummeled Sweating Testies Mix By Caustic)'"", "" '-28Â°C and Falling (Pummeled Sweating Testies mix by Caustic)'"", "" 'A Spectral Threat (Live)'"", "" 'A Spectral Threat (live)'"", "" 'Heard Voices (Endless Noize Remix)'"", "" 'Heard Voices (Endless Noize remix)'"", "" 'The Apocryphal Market (Lucidstatic Remix)'"", "" 'The Apocryphal Market (Lucidstatic remix)'"", "" 'The Apocryphal Market (Merchants Of Babel Remix By Manufactura)'"", "" 'The Apocryphal Market (Merchants of Babel remix by Manufactura)'"", "" 'Then Backward Into Oblivion']"", "" 'Unearth Me (Iszoloscope Remix)'"", "" 'Unearth Me (Iszoloscope remix)'"", "" 'Unplugged'"", ""['Something Wicked This Way Comes'""]",Beyond Within And So On,k04__fab__lastfm__discogs_51575,2143.5,Electronic / Dance,Iszoloscope feat.,United States of America
k04__fab__lastfm__discogs_119171,"['k04__fab__lastfm__discogs_119171', 'mbrainz_5346', 'discogs_23132']",CBS/Sony,1978-01-01,"[' ""Chasin\' The Voodoo""', ' ""Chasin\' the Voodoo""', "" 'Bravoto Fantasia'"", "" 'Casino']"", "" 'Chasin The Voodoo'"", "" 'Dark Eye Tango'"", "" 'Fantasia Suite For Two Guitars (A. Viva La Danzarina / B. Guitars Of The Exotic Isle / C. Rhapsody Italia / D. Bravoto Fantasia)'"", "" 'Fantasia Suite For Two Guitars'"", "" 'Fantasia Suite for Two Guitars: a. Viva la danzarina / b. Guitars of the Exotic Isle / c. Rhapsody Italia / d. Bravoto Fantasia'"", "" 'Guitars Of The Exotic Isle'"", "" 'Rhapsody Italia'"", "" 'SeÃ±or Mouse'"", "" 'Señor Mouse'"", "" 'Viva La Danzarina'"", ""['Egyptian Danza'""]",Casino,k04__fab__lastfm__discogs_119171,1140.0,Jazz,"Di Meola, Al",Netherlands
lastFM_12227,"['lastFM_12227', 'mbrainz_5801', 'discogs_25297']",RCA,1996-01-01 00:00:00,"["" 'Baby I Need You'"", "" 'Fine Now'"", "" 'Glad As Hell'"", "" 'Go Now']"", "" 'Heart Of Stone'"", "" 'Hold Out'"", "" 'I Belong'"", "" 'Let A Good Thing Die'"", "" 'Never Say Never'"", "" 'Suzanna'"", ""['Lift Me Up'""]",Broken Wings,lastFM_12227,816.0,Rock,Broken Wings,Europe
discogs_81604,"['discogs_81604', 'mbrainz_16376', 'lastFM_37695']",Ethedrone Muzac|Sky Burial Media,2006-11-07 00:00:00,"["" 'AshÃ©'"", "" 'AshÃƒÂ©'"", "" 'Ashé'"", "" 'Concrete Horizon'"", "" 'Desert Son'"", "" 'North']"", "" 'Sky Burial'"", "" 'Threshold'"", "" 'Underbelly'"", "" 'Vulture Song'"", "" 'Without A Tongue'"", "" 'Without a Tongue'"", ""['Whitestone'""]",Subterranean Ascension: Songs for the Urban Shaman,discogs_81604,1428.0,Electronic / Dance,Zen Debris,United States of America
