column,type,metric,value,silver_value,pipe_value
memory_type,categorical,nan_rate_delta,0.011986574580598153,0.6783854166666666,0.6903719912472648
memory_type,categorical,cardinality_delta,-2.0,20.0,18.0
model,text,column_drift,0.47637691944180105,,
model,text,length_wasserstein_1,5.049999999999999,,
model,text,token_js_divergence,0.06819893405609534,,
model,text,nan_rate_delta,0.009385257111597371,0.0234375,0.03282275711159737
model,text,cardinality_delta,158.0,538.0,696.0
model_number,text,column_drift,0.15335686894849546,,
model_number,text,length_wasserstein_1,0.14586044598908138,,
model_number,text,token_js_divergence,0.07485024954367206,,
model_number,text,nan_rate_delta,0.07154620258935082,0.20963541666666666,0.2811816192560175
model_number,text,cardinality_delta,105.0,508.0,613.0
price,numerical,column_drift,0.005762780746711101,,
price,numerical,wasserstein_1,19602.257184688115,,
price,numerical,ks_statistic,0.048397702104097454,,
price,numerical,nan_rate_delta,0.012035010940919038,0.0,0.012035010940919038
price,numerical,cardinality_delta,92.0,679.0,771.0
priceCurrency,categorical,column_drift,0.04435560002002187,,
priceCurrency,categorical,js_divergence,0.04435560002002187,,
priceCurrency,categorical,nan_rate_delta,0.007658643326039387,0.0,0.007658643326039387
priceCurrency,categorical,cardinality_delta,-3.0,44.0,41.0
product_type,categorical,column_drift,0.000522114615972246,,
product_type,categorical,js_divergence,0.000522114615972246,,
product_type,categorical,nan_rate_delta,0.0,0.0,0.0
product_type,categorical,cardinality_delta,0.0,4.0,4.0
read_speed_mb_s,numerical,column_drift,0.027159466575942263,,
read_speed_mb_s,numerical,wasserstein_1,235.31374055576902,,
read_speed_mb_s,numerical,ks_statistic,0.08025355359200922,,
read_speed_mb_s,numerical,nan_rate_delta,0.04495464077315836,0.6432291666666666,0.688183807439825
read_speed_mb_s,numerical,cardinality_delta,3.0,67.0,70.0
storage_connection_type,categorical,column_drift,0.02460824068665303,,
storage_connection_type,categorical,js_divergence,0.02460824068665303,,
storage_connection_type,categorical,nan_rate_delta,0.07753806528081691,0.3776041666666667,0.4551422319474836
storage_connection_type,categorical,cardinality_delta,-8.0,41.0,33.0
storage_gb,numerical,column_drift,0.02600113998087542,,
storage_gb,numerical,wasserstein_1,820.7595586054993,,
storage_gb,numerical,ks_statistic,0.1647053839962723,,
storage_gb,numerical,nan_rate_delta,0.009154472100656452,0.28515625,0.29431072210065645
storage_gb,numerical,cardinality_delta,5.0,40.0,45.0
title,text,column_drift,0.7175984243366083,,
title,text,length_wasserstein_1,22.255675601750546,,
title,text,token_js_divergence,0.06634268776958632,,
title,text,nan_rate_delta,0.0,0.0,0.0
title,text,cardinality_delta,146.0,764.0,910.0
title_description,text,column_drift,0.7100204782653763,,
title_description,text,length_wasserstein_1,304.65554624817634,,
title_description,text,token_js_divergence,0.07321130205071208,,
title_description,text,nan_rate_delta,0.0,0.0,0.0
title_description,text,cardinality_delta,146.0,767.0,913.0
vram_gb,numerical,column_drift,0.0720089552642782,,
vram_gb,numerical,wasserstein_1,1.7523492181026428,,
vram_gb,numerical,ks_statistic,0.24377214788173693,,
vram_gb,numerical,nan_rate_delta,0.0017864469365426183,0.71484375,0.7166301969365426
vram_gb,numerical,cardinality_delta,2.0,8.0,10.0
weight_g,numerical,column_drift,0.027692386710627754,,
weight_g,numerical,wasserstein_1,24.836636795454524,,
weight_g,numerical,ks_statistic,0.0375,,
weight_g,numerical,nan_rate_delta,0.007886579139314343,0.8958333333333334,0.9037199124726477
weight_g,numerical,cardinality_delta,2.0,55.0,57.0
width_mm,numerical,column_drift,0.0076190274794601665,,
width_mm,numerical,wasserstein_1,11.78192896033189,,
width_mm,numerical,ks_statistic,0.031501166709878146,,
width_mm,numerical,nan_rate_delta,0.0055274434719182475,0.8489583333333334,0.8544857768052516
width_mm,numerical,cardinality_delta,2.0,55.0,57.0
write_speed_mb_s,numerical,column_drift,0.03927305055138986,,
write_speed_mb_s,numerical,wasserstein_1,275.28592567539005,,
write_speed_mb_s,numerical,ks_statistic,0.10935187925421723,,
write_speed_mb_s,numerical,nan_rate_delta,0.0440400483223925,0.7174479166666666,0.7614879649890591
write_speed_mb_s,numerical,cardinality_delta,6.0,58.0,64.0
