_id,_fusion_sources,userScore,releaseYear,platform,developer,id,name,ESRB,series,criticScore,genres,globalSales,publisher
sales_1260,"['sales_1260', 'dbpedia_44159', 'metacritic_2396']",8.3,2007-01-01 00:00:00,PlayStation 3,Incognito Inc.,sales_1260,Warhawk,T,,84.0,"Action,Simulation,Shooter,Flight,Shooter,Third-Person,Combat,Sci-Fi,Sci-Fi,Arcade",1.0,Sony Computer Entertainment
sales_5239,"['sales_5239', 'metacritic_14875', 'dbpedia_60620']",7.55,2001-01-01 00:00:00,PlayStation 2,Wow Entertainment,sales_5239,Vampire Night,T,,65.0,"Action,Shooter,Light Gun",0.0,Sony Computer Entertainment
metacritic_3739,"['metacritic_3739', 'dbpedia_56015', 'sales_3246']",7.7,2016-01-01 00:00:00,PlayStation 4,Nadeo,metacritic_3739,TrackMania Turbo,E,TrackMania,81.0,"Racing,Arcade,Automobile",0.0,Ubisoft
metacritic_5546,"['metacritic_5546', 'dbpedia_36025']",6.6,2020-01-01 00:00:00,PlayStation 4,"Capcom,M-Two",metacritic_5546,Resident Evil 3,M,Resident Evil,79.0,"Action Adventure,Survival",,
sales_896,"['sales_896', 'metacritic_5668', 'dbpedia_25904']",8.25,2004-01-01 00:00:00,Game Boy Advance,Dimps Corporation,sales_896,Sonic Advance 3,E,,79.0,"Action,Platformer,2D",1.0,THq
dbpedia_50471,"['dbpedia_50471', 'metacritic_11752']",6.0,2018-01-01 00:00:00,PlayStation 4,Ubisoft Toronto,dbpedia_50471,Starlink: Battle for Atlas,E10+,,70.0,"Simulation,Space,Combat",,
metacritic_2354,"['metacritic_2354', 'dbpedia_9070']",7.5,2012-01-01 00:00:00,PlayStation 3,Vigil Games,metacritic_2354,Darksiders II,M,Darksiders,84.0,"Action Adventure,Modern,Fantasy,Fantasy,Open-World",,
dbpedia_17202,"['dbpedia_17202', 'metacritic_12520']",7.7,2013-01-01 00:00:00,Windows PC,Kerberos Productions,dbpedia_17202,Sword of the Stars: The Pit,T,,69.0,"Role-Playing,Action RPG,Action RPG,Roguelike",,
dbpedia_11917,"['dbpedia_11917', 'metacritic_11218']",5.6,2016-01-01 00:00:00,PlayStation 4,Green Lava Studios,dbpedia_11917,Fenix Furia,E,,71.0,"Action,Platformer,2D",,
sales_2091,"['sales_2091', 'metacritic_13915', 'dbpedia_56887']",4.9,2016-01-01 00:00:00,Xbox One,Hangar 13,sales_2091,Mafia III,M,,67.0,"Action Adventure,Open-World",0.0,Take-Two Interactive
dbpedia_64173,"['dbpedia_64173', 'sales_5267', 'metacritic_19233']",7.1,2008-01-01 00:00:00,Wii,Left Field Productions,dbpedia_64173,Nitrobike,E10+,,49.0,"Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross",0.0,Ubisoft
dbpedia_17714,"['dbpedia_17714', 'sales_757', 'metacritic_10496']",7.85,2006-01-01 00:00:00,PlayStation Portable (PSP),Team Silent,dbpedia_17714,The Silent Hill Experience,M,Silent Hill,79.0,"Miscellaneous,Videos,Application",1.0,Konami Digital Entertainment
dbpedia_61517,"['dbpedia_61517', 'metacritic_5681', 'k04__fab__sales__dbpedia_49157']",1.3,2019-01-01 00:00:00,PlayStation 4,Electronic Arts,dbpedia_61517,FIFA 20,E,FIFA (video game series),79.0,"Sports,Team,Soccer,Sim",,
dbpedia_15705,"['dbpedia_15705', 'sales_7350']",5.3,1996-01-01 00:00:00,Windows PC,Id Software,dbpedia_15705,Doom 3 BFG Edition,M,,59.0,First-person shooter,0.0,Bethesda Softworks
metacritic_17095,"['metacritic_17095', 'dbpedia_35310']",,2022-01-01 00:00:00,Windows PC,"Strange Scaffold,vwudqjh vfdiirog",metacritic_17095,Witch Strandings,,,59.0,"Adventure,Strategy,General",,
dbpedia_41769,"['dbpedia_41769', 'metacritic_19879', 'sales_2055']",6.25,2008-01-01 00:00:00,PlayStation Portable (PSP),Artificial Mind and Movement,dbpedia_41769,Iron Man,T,,44.0,"Action,Action Adventure,General,General",0.0,Sega
metacritic_7759,"['metacritic_7759', 'dbpedia_34286']",7.2,2009-01-01 00:00:00,Xbox 360,Southend Interactive,metacritic_7759,Lode Runner,E,,76.0,"Miscellaneous,Puzzle,Action,Platformer,2D",,
dbpedia_42965,"['dbpedia_42965', 'k04__fab__sales__dbpedia_32697', 'metacritic_5354']",8.3,2020-01-01 00:00:00,PlayStation 4,Skydance Interact ive,dbpedia_42965,The Walking Dead: Saints & Sinners,M,The Walking Dead (franchise),79.0,"Action Adventure,Survival",,
dbpedia_52762,"['dbpedia_52762', 'metacritic_15532', 'sales_1513']",6.45,2003-01-01 00:00:00,Nintendo GameCube,Traveller's Tales,dbpedia_52762,Finding Nemo,E,,62.5,Action-adventure game,0.0,THQ
sales_7651,"['sales_7651', 'dbpedia_33772', 'metacritic_10359']",7.55,2003-01-01 00:00:00,PlayStation 4,Pyro Studios,sales_7651,Commandos 3: Destination Berlin,T,Commandos (series),72.0,"Strategy,Real-Time,Military,General,Military,Tactics",0.0,Eidos Interactive
dbpedia_20203,"['dbpedia_20203', 'metacritic_10213']",6.4,2015-01-01 00:00:00,PlayStation Vita,"BEAUTIFUN GAMES SL,BeautiFun Games",dbpedia_20203,Nihilumbra,E,,73.0,"Action,Platformer,2D",,
metacritic_10241,"['metacritic_10241', 'dbpedia_44485']",6.8,2009-01-01 00:00:00,Windows PC,Positech Games,metacritic_10241,Gratuitous Space Battles,,,72.0,"Strategy,Breeding/Constructing,General,Breeding/Constructing",,
dbpedia_2837,"['dbpedia_2837', 'metacritic_1793']",8.0,2005-01-01 00:00:00,Windows PC,Ubisoft Casablanca,dbpedia_2837,Prince of Persia: The Two Thrones,M,Prince of Persia,85.0,"Action Adventure,Fantasy,Fantasy,Linear",,
metacritic_18338,"['metacritic_18338', 'dbpedia_47241']",6.1,2014-01-01 00:00:00,Windows PC,Pinkerton Road Studio,metacritic_18338,Moebius: Empire Rising,,,54.0,"Adventure,General,Point-and-Click",,
metacritic_17592,"['metacritic_17592', 'dbpedia_59944', 'sales_6767']",,2006-01-01 00:00:00,Nintendo DS,Razorback Developments,metacritic_17592,Xiaolin Showdown,E,,58.0,"Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D",0.0,Konami Digital Entertainment
dbpedia_25117,"['dbpedia_25117', 'metacritic_12184']",7.6,2017-01-01 00:00:00,Linux / SteamOS,Kite Games,dbpedia_25117,Sudden Strike 4,T,Sudden Strike,70.0,"Strategy,Real-Time,General",,
k04__fab__sales__dbpedia_53074,"['k04__fab__sales__dbpedia_53074', 'dbpedia_61336', 'metacritic_2291']",8.4,2020-01-01 00:00:00,Windows PC,Size Five Games,k04__fab__sales__dbpedia_53074,Lair of the Clockwork God,T,,84.0,Point-and-click game,,
metacritic_16823,"['metacritic_16823', 'dbpedia_24266']",5.1,2011-01-01 00:00:00,Windows PC,Doubl esix,metacritic_16823,All Zombies Must Die!,T,,60.0,"Action,General,General,Shooter,Shoot-'Em-Up,Top-Down",,
sales_4230,"['sales_4230', 'dbpedia_60214', 'metacritic_10701']",8.600000000000001,2009-01-01 00:00:00,Wii,Rainbow Studios,sales_4230,Deadly Creatures,T,,72.0,"Action,Action Adventure,Platformer,Platformer,Linear,3D,3D",0.0,THQ
metacritic_8864,"['metacritic_8864', 'sales_2908', 'dbpedia_20232']",6.6,2005-01-01 00:00:00,Xbox,"Red Storm Entertainment, Ubisoft Montreal",metacritic_8864,Tom Clancy's Rainbow Six: Lockdown,M,,74.0,"Action,Shooter,First-Person,Tactical,Modern",0.0,
dbpedia_50493,"['dbpedia_50493', 'metacritic_7597']",7.6,2009-01-01 00:00:00,Xbox 360,Infinite Interactive,dbpedia_50493,Puzzle Quest: Galactrix,E10+,,76.0,Puzzle video game,,
sales_3859,"['sales_3859', 'metacritic_891', 'dbpedia_22409']",8.95,2005-01-01 00:00:00,Xbox,Oddworld Inhabitants,sales_3859,Oddworld: Stranger's Wrath,T,,88.0,"Action Adventure,Sci-Fi",0.0,Electronic Arts
metacritic_5168,"['metacritic_5168', 'dbpedia_43252']",7.8,2020-01-01 00:00:00,Nintendo Switch,CyberConnect2,metacritic_5168,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,T,Naruto: Ultimate Ninja,79.0,"Action,Fighting,3D",,
dbpedia_483,"['dbpedia_483', 'sales_5439', 'metacritic_8743']",7.9,2005-01-01 00:00:00,PlayStation Portable (PSP),Exient Entertainment,dbpedia_483,Madden NFL 06,E,Madden NFL,70.5,"Sports,Traditional,Team,Football,Sim,Sim",0.0,Electronic Arts
metacritic_13658,"['metacritic_13658', 'dbpedia_22359']",,2004-01-01 00:00:00,Xbox,Taito Corporation,metacritic_13658,Battle Shark,E,,67.0,"Action,Platformer,3D",,
dbpedia_42002,"['dbpedia_42002', 'metacritic_5676']",7.7,2012-01-01 00:00:00,PlayStation 3,Torn Banner Studios,dbpedia_42002,Chivalry: Medieval Warfare,,,79.0,"Action,Strategy,General,General,General,Beat-'Em-Up,3D",,
dbpedia_54710,"['dbpedia_54710', 'metacritic_16420']",,2013-01-01 00:00:00,PlayStation Vita,Grip Games,dbpedia_54710,Atomic Ninjas,T,,61.0,"Action,Platformer,Platformer,2D,2D",,
sales_4256,"['sales_4256', 'dbpedia_26631', 'metacritic_10149']",7.5,2006-01-01 00:00:00,Xbox,Visual Concepts,sales_4256,College Hoops 2K7,E,,77.5,"Sports,Traditional,Basketball,Sim",0.0,Take-Two Interactive
dbpedia_14737,"['dbpedia_14737', 'metacritic_6143']",6.7,2014-01-01 00:00:00,PlayStation 4,Tom Hegarty,dbpedia_14737,OlliOlli,E,,78.0,"Sports,Alternative,Individual,Skateboarding,Skate / Skateboard",,
dbpedia_26122,"['dbpedia_26122', 'metacritic_6111', 'k04__fab__sales__dbpedia_31807']",,2022-01-01 00:00:00,Xbox Series X,Coffee North Stain,dbpedia_26122,Goat Simulator 3,T,,78.0,"Simulation,General",,
metacritic_13258,"['metacritic_13258', 'dbpedia_38729']",,2015-01-01 00:00:00,Windows PC,Scott Cawthon,metacritic_13258,Five Nights at Freddy's 3,,Five Nights at Freddy's,68.0,"Action,Action Adventure,General,Survival",,
dbpedia_58977,"['dbpedia_58977', 'sales_3705', 'metacritic_11673']",7.25,2009-01-01 00:00:00,Xbox 360,Software Creations (UK),dbpedia_58977,Bionic Commando,M,Bionic CommanDo,70.0,"Action,Action Adventure,Adventure,Third-Person,General,Platformer,Sci-Fi,Sci-Fi,,Metroidvania",0.0,Capcom
k04__fab__sales__dbpedia_60407,"['k04__fab__sales__dbpedia_60407', 'dbpedia_3126']",,2012-01-01 00:00:00,,Marin 2K,k04__fab__sales__dbpedia_60407,Marathon Infinity,,Marathon Trilogy,,First-person shooter,,
dbpedia_53119,"['dbpedia_53119', 'metacritic_7574']",6.6,2016-01-01 00:00:00,Windows PC,"LandFall Games,LandFall",dbpedia_53119,Clustertruck,,,76.0,Massively multiplayer online role-playing game,,
dbpedia_40958,"['dbpedia_40958', 'metacritic_5325']",6.8,2021-01-01 00:00:00,Windows PC,Something We Made,dbpedia_40958,The Amazon Trail,E,The Oregon Trail (series),79.0,"Adventure,General",,
dbpedia_43218,"['dbpedia_43218', 'metacritic_7702', 'k04__fab__sales__dbpedia_17846']",7.6,2015-01-01 00:00:00,Windows PC,Obsidian Entertainment,dbpedia_43218,Pillars of Eternity: The White March - Part 1,M,,,"Role-Playing,Western-Style",,
dbpedia_7537,"['dbpedia_7537', 'metacritic_7131', 'sales_7696']",7.2,2015-01-01 00:00:00,Xbox One,Revolution Software,dbpedia_7537,Broken Sword 5: The Serpent's Curse,T,,77.0,"Adventure,General,Point-and-Click",0.0,Revolution Software
sales_2216,"['sales_2216', 'metacritic_6691', 'dbpedia_37585']",8.7,2000-01-01 00:00:00,PlayStation,Acquire (company),sales_2216,Tenchu 2: Birth of the Stealth Assassins,M,,77.0,"Action Adventure,Fantasy",0.0,Activision
metacritic_67,"['metacritic_67', 'dbpedia_23012']",8.2,2011-01-01 00:00:00,Windows PC,Mojang Studios,metacritic_67,Minecraft,E10+,Minecraft (franchise),93.0,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",,
dbpedia_10771,"['dbpedia_10771', 'metacritic_14188', 'sales_7706']",,2002-01-01 00:00:00,Game Boy Advance,Now Production,dbpedia_10771,WTA Tour Tennis,E,,66.0,Sports video game,0.0,Konami Digital Entertainment
dbpedia_45632,"['dbpedia_45632', 'metacritic_1356']",7.8,2009-01-01 00:00:00,Windows PC,The Sims Studio,dbpedia_45632,The Sims 3,T,,86.0,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",,
k04__fab__sales__dbpedia_11537,"['k04__fab__sales__dbpedia_11537', 'dbpedia_40324']",,2007-01-01 00:00:00,Linux / SteamOS,Wadjet Eye Games,k04__fab__sales__dbpedia_11537,Blackwell Unbound,,Blackwell (series),,Adventure game,,
dbpedia_2327,"['dbpedia_2327', 'metacritic_14940']",6.6,2016-01-01 00:00:00,Nintendo 3DS,Double Helix Games,dbpedia_2327,Battleship,E10+,,65.0,"Miscellaneous,Board / Card Game",,
sales_6332,"['sales_6332', 'dbpedia_29874', 'metacritic_1156']",8.2,2011-01-01 00:00:00,PlayStation 3,Ubisoft Montpellier,sales_6332,Rayman Origins,E10+,,86.5,"Action,Action Adventure,Adventure,General,Platformer,Fantasy,Platformer,2D,2D",0.0,Ubisoft
metacritic_11916,"['metacritic_11916', 'dbpedia_5597']",7.8,2012-01-01 00:00:00,Xbox 360,NanaOn-Sha,metacritic_11916,Haunt,E10+,,70.0,"Action Adventure,Horror,Horror,Survival",,
dbpedia_61337,"['dbpedia_61337', 'metacritic_19919', 'sales_7081']",6.9,2008-01-01 00:00:00,PlayStation Portable (PSP),Big Ant Studios,dbpedia_61337,Hellboy: The Science of Evil,T,,42.0,Action game,0.0,Konami Digital Entertainment
dbpedia_61481,"['dbpedia_61481', 'sales_7375', 'metacritic_19507']",8.25,2006-01-01 00:00:00,PlayStation Portable (PSP),"Neverland, Idea Factory",dbpedia_61481,Spectral Souls: Resurrection of the Ethereal Empires,T,,47.0,"Role-Playing,Strategy,Turn-Based,Console-style RPG,General,Fantasy",0.0,Idea Factory
sales_4287,"['sales_4287', 'dbpedia_52986', 'metacritic_3223']",8.1,2008-01-01 00:00:00,PlayStation 3,Nippon Ichi Software,sales_4287,Disgaea D2: A Brighter Darkness,T,,78.0,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",0.0,Nippon Ichi Software
sales_4585,"['sales_4585', 'dbpedia_39505', 'metacritic_7421']",8.4,2002-01-01 00:00:00,Xbox,Crystal Dynamics,sales_4585,Blood Omen 2,M,,76.0,"Action Adventure,Horror",0.0,Eidos Interactive
sales_3097,"['sales_3097', 'dbpedia_63666']",7.1,2013-01-01 00:00:00,PlayStation 3,Ubisoft Milan,sales_3097,Just Dance 2014,E10+,,77.0,Music video game,0.0,Ubisoft
dbpedia_16630,"['dbpedia_16630', 'metacritic_11348']",6.4,2011-01-01 00:00:00,PlayStation Vita,Traveller's Tales,dbpedia_16630,LEGO Harry Potter: Years 5-7,E10+,Lego Harry Potter,71.0,"Action Adventure,Fantasy,General,Fantasy",,
dbpedia_58051,"['dbpedia_58051', 'sales_2479', 'metacritic_20094']",3.1500000000000004,2013-01-01 00:00:00,PlayStation 3,Terminal Reality,dbpedia_58051,The Walking Dead: Survival Instinct,M,The Walking Dead (TV series),36.0,"Action,Action Adventure,Shooter,Shooter,Survival,First-Person,Sci-Fi,Sci-Fi,Arcade",0.0,Activision
dbpedia_6024,"['dbpedia_6024', 'sales_5888', 'metacritic_14855']",7.9,2008-01-01 00:00:00,Wii,ArtePiazza,dbpedia_6024,Opoona,E10+,,65.0,"Role-Playing,General,General,Japanese-Style",0.0,Tecmo Koei
dbpedia_23521,"['dbpedia_23521', 'metacritic_9180']",7.0,2020-01-01 00:00:00,Nintendo Switch,Typhoon Studios,dbpedia_23521,Journey to the Savage Planet,T,,74.0,"Action Adventure,General,Open-World",,
sales_4349,"['sales_4349', 'metacritic_12641', 'dbpedia_5347']",6.5,2009-01-01 00:00:00,Nintendo DS,Brownie Brown,sales_4349,Blue Dragon Plus,E,,69.0,"Role-Playing,Strategy,Real-Time,General,General,Tactics",0.0,Ignition Entertainment
dbpedia_30918,"['dbpedia_30918', 'metacritic_20431']",8.4,2014-01-01 00:00:00,PlayStation 4,Rockstar North,dbpedia_30918,Grand Theft Auto V,M,Grand Theft Auto,97.0,"Action Adventure,Modern,Open-World",,
metacritic_12474,"['metacritic_12474', 'sales_5870', 'dbpedia_4079']",7.7,2006-01-01 00:00:00,PlayStation Portable (PSP),Backbone Entertainment,metacritic_12474,NBA Ballers: Rebound,E,,69.0,"Sports,Traditional,Team,Basketball,Arcade,Arcade",0.0,Midway Games
dbpedia_50461,"['dbpedia_50461', 'metacritic_10101']",,2012-01-01 00:00:00,Windows PC,Futuremark,dbpedia_50461,Unstoppable Gorg,,,73.0,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Defense",,
sales_7793,"['sales_7793', 'metacritic_15051', 'dbpedia_13897']",7.1,2016-01-01 00:00:00,Windows PC,Frogwares,sales_7793,Sherlock Holmes: The Devil's Daughter,T,,65.0,"Adventure,General,3D,Third-Person",0.0,Bigben Interactive
dbpedia_47113,"['dbpedia_47113', 'sales_3430']",8.8,2003-01-01 00:00:00,Xbox,Microsoft Game Studios,dbpedia_47113,NFL Fever 2004,E,,74.0,Sports game,0.0,Microsoft Game Studios
sales_3721,"['sales_3721', 'metacritic_17101', 'dbpedia_14128']",6.75,2006-01-01 00:00:00,Game Boy Advance,THQ Studio Australia,sales_3721,Avatar: The Last Airbender,E10+,,57.5,"Action Adventure,Fantasy",0.0,THQ
metacritic_7432,"['metacritic_7432', 'sales_1099', 'dbpedia_19104']",7.85,2006-01-01 00:00:00,Nintendo DS,"Nintendo, Nintendo Software Technology",metacritic_7432,Mario vs. Donkey Kong 2: March of the Minis,E,Mario vs. Donkey Kong (series),76.0,"Puzzle,Action,Platformer,Platformer,2D,2D",1.0,Nintendo
metacritic_4910,"['metacritic_4910', 'dbpedia_7599', 'sales_1783']",7.5,2011-01-01 00:00:00,Windows PC,Ubisoft Montreal,metacritic_4910,Assassin's Creed: Revelations,M,,80.0,"Action Adventure,Historic,Historic,Open-World",,Ubisoft
metacritic_18839,"['metacritic_18839', 'dbpedia_52960', 'sales_1742']",3.0999999999999996,2011-01-01 00:00:00,Nintendo 3DS,EA Mobile,metacritic_18839,The Sims 3,T,,52.0,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",0.0,Electronic Arts
sales_3629,"['sales_3629', 'metacritic_2264', 'dbpedia_11403']",8.649999999999999,2003-01-01 00:00:00,Windows PC,Maxis,sales_3629,SimCity 4,E,,84.0,"Strategy,City Building,Management,Modern,Modern,Government",0.0,Electronic Arts
k04__fab__sales__dbpedia_18077,"['k04__fab__sales__dbpedia_18077', 'dbpedia_7131']",,2007-01-01 00:00:00,,Exient Entertainment,k04__fab__sales__dbpedia_18077,Need for Speed: Carbon,,,,Racing game,,
metacritic_3326,"['metacritic_3326', 'dbpedia_37171', 'sales_3029']",8.0,2008-01-01 00:00:00,PlayStation 3,Monolith Productions,metacritic_3326,Condemned 2: Bloodshot,M,,82.0,"Action Adventure,Horror,Horror,Survival",0.0,Sega
metacritic_2975,"['metacritic_2975', 'sales_959', 'dbpedia_1815']",5.75,2013-01-01 00:00:00,Xbox 360,Vicarious Visions,metacritic_2975,Skylanders: Swap Force,E10+,,83.0,"Action,Platformer,Platformer,3D,3D",1.0,Activision
metacritic_11017,"['metacritic_11017', 'k04__fab__sales__dbpedia_2702', 'dbpedia_17522']",6.2,2017-01-01 00:00:00,Windows PC,Zoetrope Interactive,metacritic_11017,Conarium,T,,71.0,"Adventure,3D,First-Person",,
metacritic_8138,"['metacritic_8138', 'dbpedia_51916']",7.4,2017-01-01 00:00:00,PlayStation 4,Capcom,metacritic_8138,Resident Evil 7: biohazard - End of Zoe,M,,75.0,"Action Adventure,Survival",,
dbpedia_25629,"['dbpedia_25629', 'sales_5435']",8.3,2008-01-01 00:00:00,PlayStation,,dbpedia_25629,Bomberman Party Edition,E,Bomberman,79.0,Strategy game,0.0,Virgin Interactive
metacritic_6350,"['metacritic_6350', 'dbpedia_15805', 'sales_3422']",8.25,2003-01-01 00:00:00,PlayStation 2,Toys for Bob,metacritic_6350,Disney's Extreme Skate Adventure,E,,78.0,"Sports,Alternative,Skateboarding",0.0,Activision
sales_1990,"['sales_1990', 'dbpedia_30286', 'metacritic_12210']",6.7,2008-01-01 00:00:00,PlayStation 2,XPEC Entertainment,sales_1990,Kung Fu Panda,E10+,,71.5,"Action,Platformer,Platformer,3D,3D",0.0,Activision
metacritic_20311,"['metacritic_20311', 'dbpedia_1726', 'sales_7663']",3.6,2003-01-01 00:00:00,Xbox,Titus Interactive,metacritic_20311,RoboCop,M,,30.0,"Action,Shooter,First-Person,Sci-Fi",,Titus
k02_noncorner_games_00797__dbpedia,"['k02_noncorner_games_00797__dbpedia', 'k02_noncorner_games_00797__metacritic', 'k02_noncorner_games_00797__sales']",,2024-01-01 00:00:00,,Morrowlight Atelier,k02_noncorner_games_00797__dbpedia,Lunara Veil,,,,"Narrative,Exploration,Ambient,Walking Simulator",,
metacritic_6985,"['metacritic_6985', 'dbpedia_62550']",7.7,2015-01-01 00:00:00,PlayStation 4,BioWare,metacritic_6985,Dragon Age: Inquisition - Trespasser,,Dragon Age,77.0,"Role-Playing,Action RPG,Western-Style",,
metacritic_12925,"['metacritic_12925', 'dbpedia_8925']",7.1,2021-01-01 00:00:00,Xbox Series X,Variable State,metacritic_12925,Last Stop,T,,69.0,"Adventure,3D,Third-Person",,
sales_2320,"['sales_2320', 'dbpedia_27098', 'metacritic_20436']",8.0,2001-01-01 00:00:00,Xbox,Neversoft Entertainment,sales_2320,Tony Hawk's Pro Skater 3,T,,95.0,"Sports,Alternative,Skateboarding",0.0,Activision
dbpedia_5884,"['dbpedia_5884', 'sales_7406']",7.4,2006-01-01 00:00:00,Windows PC,Black Hole Entertainment,dbpedia_5884,Warhammer: Mark of Chaos,M,,73.0,Real-time tactics,0.0,Deep Silver
dbpedia_19850,"['dbpedia_19850', 'metacritic_17218']",,2007-01-01 00:00:00,Xbox 360,SCEA San Diego Studios,dbpedia_19850,NBA Live 08,E,,59.0,"Sports,Traditional,Basketball,Sim",,
sales_2519,"['sales_2519', 'dbpedia_55083', 'metacritic_9575']",6.6,2008-01-01 00:00:00,PlayStation 2,Radical Entertainment,sales_2519,Crash: Mind Over Mutant,E10+,Crash Bandicoot,73.0,"Action,Platformer,3D",0.0,Vivendi Games
