silver_cluster_id,pipe_cluster_id,title,brand,description,price,priceCurrency,product_type,model,model_number,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,storage_connection_type,memory_type,form_factor,title_description,n_attributes_correct,fully_correct
products_1_28224541,products_1_28224541,True,True,False,False,False,True,False,False,False,False,,,,False,False,,True,False,False,4,False
products_1_2912414,products_1_2912414,True,True,False,True,False,True,False,True,,,True,False,False,True,False,False,,,False,7,False
products_1_3146170,products_1_3146170,False,True,True,False,False,True,False,True,False,True,,,,True,False,,True,False,True,8,False
products_1_32132801,products_1_32132801,True,True,True,False,False,True,False,True,,,False,,,True,False,False,,True,False,7,False
products_1_325545,products_1_325545,False,True,True,False,True,True,True,True,,,False,False,False,False,False,False,,False,False,6,False
products_1_32651602,products_1_32651602,True,True,False,True,False,True,False,False,False,False,,,,False,False,,True,False,False,5,False
products_1_3323341,products_1_3323341,True,True,True,False,False,True,True,True,False,True,,,,True,False,,True,False,True,10,False
products_1_33376118,products_1_33376118,True,True,True,True,False,True,False,True,,,False,False,False,True,False,False,,,False,7,False
products_1_34032163,products_1_34032163,False,True,False,False,True,True,False,False,,,True,False,True,True,False,False,False,,False,6,False
products_1_35800770,products_1_35800770,False,True,False,False,False,True,False,True,,,False,False,False,False,False,False,,True,False,4,False
products_1_3589339,products_1_3589339,True,False,False,False,False,True,True,False,,,True,False,False,False,False,True,,True,False,6,False
products_1_35966001,products_1_35966001,False,True,False,False,False,True,False,True,,,True,False,False,True,True,True,,True,False,8,False
products_1_3600312,products_1_3600312,False,True,True,False,False,True,True,True,,,False,True,,True,False,False,,False,True,8,False
products_1_36622630,products_1_36622630,True,True,True,True,True,True,False,True,,,True,False,True,True,False,False,False,,False,10,False
products_1_36807074,products_1_36807074,True,True,True,False,True,True,True,True,,,False,,,False,False,False,,True,True,9,False
products_1_36863105,products_1_36863105,False,True,True,False,False,True,False,True,,,False,False,False,True,False,True,,True,True,8,False
products_1_4050965,products_1_4050965,True,True,False,False,False,True,False,False,,,False,False,False,False,False,True,,True,False,5,False
products_1_41098467,products_1_41098467,True,True,False,False,True,True,False,True,False,True,,,,True,False,,True,False,False,8,False
products_1_41160430,products_1_41160430,False,False,False,False,False,True,True,False,,,True,False,False,True,True,False,,True,True,7,False
products_1_41214107,products_1_41214107,False,False,False,False,True,True,False,True,False,True,,,,True,False,,False,False,True,6,False
products_1_4360231,products_1_4360231,True,True,False,True,True,True,True,False,,,True,True,False,False,False,False,,,False,8,False
products_1_43653282,products_1_43653282,True,True,False,False,False,True,False,True,True,True,,,,True,False,,True,False,False,8,False
products_1_44961253,products_1_44961253,True,True,False,False,False,True,False,True,True,False,,,,False,False,,True,False,True,7,False
products_1_46330427,products_1_46330427,False,True,True,False,True,True,,False,,,True,False,False,False,False,False,,True,True,7,False
products_1_48259418,products_1_48259418,False,True,False,False,False,True,False,False,False,False,,,,True,False,,True,False,False,4,False
products_1_48525870,products_1_48525870,True,True,False,False,False,True,False,True,,,False,False,True,False,False,True,,True,False,7,False
products_1_4944318,products_1_4944318,False,True,False,False,False,True,False,True,,,False,True,True,True,False,False,,False,,6,False
products_1_50222671,products_1_50222671,True,True,True,False,False,True,True,True,,,False,False,True,True,True,True,,True,True,12,False
products_1_51025959,products_1_51025959,True,True,False,True,True,True,True,False,,,False,False,False,False,False,False,,False,False,6,False
products_1_54859186,products_1_54859186,True,False,True,False,False,True,True,False,True,False,,,,False,False,,True,False,True,7,False
products_1_58208007,products_1_58208007,False,True,True,True,True,True,False,False,False,False,,,,False,False,,True,False,True,7,False
products_1_59897811,products_1_59897811,False,True,False,False,False,True,True,False,True,False,,,,True,False,,True,False,False,6,False
products_1_60591019,products_1_60591019,False,True,False,False,True,True,False,False,False,True,,,,False,False,,True,False,False,5,False
products_1_63493764,products_1_63493764,False,True,False,False,False,True,False,True,,,True,False,,True,False,False,,True,False,6,False
products_1_64204030,products_1_64204030,True,True,False,False,False,True,False,True,False,True,,,,True,False,,True,False,False,7,False
products_1_65406066,products_1_65406066,False,True,False,False,False,True,True,False,,,True,,,True,False,True,,True,False,7,False
products_1_66458380,products_1_66458380,True,True,False,False,False,True,True,True,,,True,False,False,True,False,False,,,False,7,False
products_1_67375798,products_1_67375798,True,True,False,False,True,False,True,True,,,True,False,True,True,True,False,,True,False,10,False
products_1_67844012,products_1_67844012,True,False,False,False,False,True,True,True,,,False,False,,True,False,True,,True,False,7,False
products_1_6951663,products_1_6951663,False,True,False,False,False,True,True,True,,,True,True,True,False,True,True,False,False,True,10,False
products_1_69962412,products_1_69962412,True,True,True,False,True,True,True,False,,,True,False,False,False,False,False,,False,True,8,False
products_1_71962852,products_1_71962852,False,True,False,False,False,True,False,False,False,True,,,,False,False,,True,False,False,4,False
products_1_74156633,products_1_74156633,True,True,True,True,False,True,False,False,,,False,False,False,False,False,,,False,False,5,False
products_1_7610550,products_1_7610550,False,True,False,False,True,True,False,True,,,False,False,True,True,False,True,,True,True,9,False
products_1_77093147,products_1_77093147,False,True,False,False,True,True,True,True,,,True,False,,False,False,True,,,True,8,False
products_1_77251182,products_1_77251182,True,True,False,False,False,True,True,False,,,True,,,True,True,False,,True,False,8,False
products_1_78427880,products_1_78427880,True,True,False,False,False,True,True,True,,,False,True,False,False,False,True,,True,True,9,False
products_1_81080257,products_1_81080257,False,False,False,True,False,True,True,True,,,True,False,,True,False,True,,True,True,9,False
products_1_8333161,products_1_8333161,True,True,False,False,False,True,True,True,,,False,False,False,False,False,True,,False,False,6,False
products_1_86482658,products_1_86482658,False,True,False,False,True,True,True,False,,,False,False,False,False,False,False,,,False,4,False
products_1_87430670,products_1_87430670,True,True,False,False,True,True,True,True,,,True,False,True,False,False,,,,False,8,False
products_1_87510268,products_1_87510268,False,True,False,False,True,True,False,False,,,False,False,,True,False,True,,True,False,6,False
products_1_8924039,products_1_8924039,False,True,True,False,False,True,True,True,,,True,False,False,False,False,True,,True,True,9,False
products_1_936587,products_1_936587,False,True,False,False,False,True,False,True,,,True,False,False,True,True,False,,True,False,7,False
products_1_95247966,products_1_95247966,True,True,True,False,True,True,True,True,,,True,False,True,True,True,True,,True,True,14,False
products_1_96580141,products_1_96580141,False,True,True,False,True,True,False,False,True,False,,,,False,False,,True,False,True,7,False
products_1_98108384,products_1_98108384,True,True,False,True,False,True,True,False,,,True,False,False,True,False,False,,False,False,7,False
products_1_98803698,products_1_98803698,True,True,False,False,True,True,False,False,False,False,,,,False,False,,True,False,False,5,False
products_1_9908573,products_1_9908573,True,True,True,False,True,True,False,False,,,True,False,False,False,False,,,False,True,7,False
products_1_3308613,products_2_25115691,False,True,False,False,False,False,False,True,,,False,False,False,True,False,False,,False,False,3,False
products_1_34143288,products_2_44526661,False,True,False,False,False,False,False,True,,,False,False,False,False,False,False,,False,False,2,False
products_1_26986926,products_2_51594744,False,False,False,False,False,True,False,True,,,False,False,False,False,False,False,,False,False,2,False
products_1_22682562,products_2_52535728,False,False,False,False,False,True,True,False,,,False,False,False,True,True,True,,False,False,5,False
products_1_9830450,products_2_65401204,True,True,True,False,False,True,False,,,,True,False,True,False,False,False,,,False,6,False
products_1_59530038,products_2_77233349,False,True,True,False,True,True,False,False,False,True,,,,False,False,,False,False,True,6,False
products_1_66183633,products_2_9885683,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,,False,False,2,False
products_1_39826842,products_1_75711589,False,True,False,False,False,True,False,True,,,False,False,False,True,True,False,,True,False,6,False
products_1_84634220,products_3_2996010,False,False,False,False,False,True,False,True,False,False,,,,True,False,,True,False,False,4,False
products_1_52315318,products_3_33111765,False,True,False,False,False,True,True,False,,,False,,,False,False,False,,False,False,3,False
products_1_51669161,products_3_52615739,False,True,True,False,False,True,False,True,,,False,False,False,False,False,False,,False,False,4,False
products_1_55998431,products_3_57965652,False,True,False,False,False,True,False,True,False,False,,,,False,False,,False,False,False,3,False
products_1_6114785,products_3_81145706,True,False,False,False,False,True,False,True,,,False,False,False,False,False,False,,,True,4,False
products_1_26394951,products_3_82180666,False,True,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False,False,2,False
products_1_91393515,products_1_33650372,False,True,False,False,False,True,False,False,,,True,False,False,False,False,False,,True,False,4,False
products_1_78827999,products_3_8832468,False,True,False,False,False,True,False,True,,,False,False,False,False,False,False,,,True,4,False
products_1_58685745,products_4_21961368,False,True,False,False,False,True,False,False,False,True,,,,False,False,,False,False,False,3,False
products_1_2652480,products_4_40478216,False,True,False,False,False,True,False,True,,,False,False,False,False,False,True,,False,False,4,False
products_1_53202784,products_4_70525377,True,True,False,False,True,True,False,True,,,True,False,False,False,True,False,,,False,7,False
