id,name,releaseYear,developer,publisher,platform,genres,criticScore,userScore,ESRB,Attribute_11
sales_38,Grand Theft Auto IV,2008-01-01 00:00:00,Rockstar No,Take-Two Interactive,PlayStation 3,Action,98.0,7.5,M,10
sales_39,COD Ghosts,,Ward Infinity,Actigisuoh,,5booter,73.0,2.6,M,10
sales_40,Just Dance III,,Ubisoft,Ubis,Wii,,,,E10+,lO
sales_42,Halo Reach,2010-01-01 00:00:00,Bungie,Microsoft Game Studios,Xbox 360,Shooter,91.0,7.9,M,"9,000,000"
sales_43,Final Fantasy VII,1997-01-01 00:00:00,SquarESoft,Sony Computer Entertainment,PlayStation,Role-Playing,92.0,9.2,T,"9,000"
sales_44,Halo 4,2012-01-01 00:00:00,343 Industries,Microsoft Game Studios,Xbox 360,Shooter,87.0,7.0,M,9
sales_46,Just Dance II,2010-01-01 00:00:00,Ubisoft,Ubisoft,Wii,Mis,74.0,,E10+,9000000
sales_48,Call of Duty 4: Modern Warfare,,Infinity Ward,Activ ision,,Shooter,94.0,8.4,M,9
sales_49,Animal Crossing: New Leaf,2012-01-01 00:00:00,,Nintendo,Nintendo 3DS,Simulation,88.0,8.7,E,9000000
sales_50,Mario Party DS,2007-01-01 00:00:00,Hudson Soft,Nintcndo,,Mise,72.0,7.8,E,"8,000"
sales_52,FIFA 16,2015-01-01 00:00:00,EA Sports,Electronic Arts,,Sports,82.0,4.3,E,
sales_53,Halo 2,2004-01-01 00:00:00,Bungie Software,Microsoft Game Studios,Xbox,5booter,,,M,"8,000,000"
sales_55,Mario Party 8,2007-01-01 00:00:00,Hudson,Nintendo,Wii,Misc,62.0,6.3,E,8 000
sales_56,FIFA Soccer 13,2012-01-01 00:00:00,EA,EA,PlayStation 3,Action,88.0,6.6,E,"8,000,000"
sales_57,,2001-01-01 00:00:00,SquareSoft,Sony Computer Entertainment,PlayStation 2,,92.0,,,8000
sales_58,The Sims 3,2009-01-01 00:00:00,The Sims Studio,Electronic Arts,Windows PC,,86.0,7.6,T,8000000
sales_59,Final Fantasy VIII,1999-01-01 00:00:00,SquareSoft,SquareSoft,PlayStation,Role-Playing,90.0,8.6,T,7
sales_60,Pokémon Platinum Version,2008-01-01 00:00:00,Game Freak,Nintendo,Nintendo DS,RPG,83.0,B.S,E,7000000
sales_61,Grand Theft Auto: Liberty City Stories,2005-01-01 00:00:00,RockstarLeeds,Take-Two Interactive,PlayStation Portable (PSP),Acti on,88.0,7.6,M,7
sales_62,,,,Wctjvisikn,PlayStation 4,Shooter,,5.7,M,7
sales_63,FIFA 17,2016-01-01 00:00:00,,Electronic Arts,PlayStation 4,,85.0,5.0,E,
sales_64,Super Mario Galaxy 2,,Nintendo EAD Tokyo,Nintendo,Wii,Platform,,9.1,E,7 000 000
sales_65,Call of Duty: World at War,2008-01-01 00:00:00,Treyarch,Avficision,Xbox,,84.0,7.6,M,7 000
sales_66,Battlefield 3,2011-01-01 00:00:00,EA DICE,,Xbox 360,Shooter,9e,7.4,M,7000
sales_67,Need for Speed Underground,2003-01-01 00:00:00,EA Black Box,Electronic Arts,PlayStation 2,Racing,BS,B.G,E,"7,000,000"
sales_69,Battlefield 3,2011-01-01 00:00:00,EA D,ElectronicArts,PlayStation 3,Shooter,85.0,7.5,,7000000
sales_70,Fallout IV,,Bethesda Studios,bethesda Softworks,PlayStation 4,RPG,87.0,6.5,,7000000
sales_71,Tekken 3,1998-01-01 00:00:00,Namco,Sony Computer Entertainment,PlayStation,Fighting,96.0,9.1,,7
sales_72,The Legend of Zelda: Twilight Princess,2006-01-01 00:00:00,Nintendo,Nintendo,Wii,Action,95.0,,T,7 000
sales_73,Crash Bandicoot 3: Warped,1998-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment Inc.,PlayStation,Platform,91.0,8.9,E,7
sales_74,Mario Kart 8,2014-01-01 00:00:00,Nintendo,Nintendo,,,88.0,9.1,E,7
sales_76,Need for Speed Underground 2,,EA Canada,Electronic Arts,PlayStation 2,,82.0,8.6,E,6
sales_77,Medal of Honor: Frontline,2002-01-01 00:00:00,EA lA,Electronic Arts,PlayStation 2,Whoo53r,88.0,8.5,T,
sales_78,Just Dance 4,2012-01-01 00:00:00,Ubisoft,Ubisoft,,,74.0,,,
sales_79,Gears of War 2,,Epic Games,Microsoft Studios Game,Xbox 360,Shooter,93.0,7.7,M,t
sales_80,Uncharted 3: Drake's Deception,2011-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment,PlayStation 3,Action,92.0,8.3,T,6
sales_81,Call of Duty 4: Modern Warfare,2007-01-01 00:00:00,Infinity Ward,Activision,PlayStation 3,,ir,8.4,M,6
sales_82,Uncharted 2: Among Thieves,2009-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment,PlayStation 3,Action,96.0,8.8,T,6
sales_85,FIFA 14,2013-01-01 00:00:00,EA Canada,,PlayStation 3,Sports,86.0,4.3,E,6 000 000
sales_86,Assassin's III Creed,,Ubisoft,Ubisoft,PlayStation 3,Action,,6.9,M,6 000 000
sales_87,Donkey Kong Country Returns,2010-01-01 00:00:00,Retro Studios,Nintendo,Wii,Platform,87.0,8.6,E,6
sales_88,Halo: Combat Evolved,2001-01-01 00:00:00,,Microsoft Game Studios,Xbox,Shooter,97.0,,,6
sales_89,The Elder Scrolls V: Skyrim,2011-01-01 00:00:00,Bethesda Game Studios,Softworks Bethesda,PlayStation 3,Role-Playing,92.0,6.4,M,6
sales_90,Pokémon Emerald Version,2004-01-01 00:00:00,Game Freak,,Game Boy Advance,Role-P laying,76.0,,E,6
sales_91,,2002-01-01 00:00:00,SquareSoft,,PlayStation 2,Tpoe-Playing,85.0,8.8,E,6
sales_92,Halo 3: ODST,2009-01-01 00:00:00,"Bungie Software, Bungie",Microsoft Studios Game,Xbox 360,,83.0,7.1,M,6
sales_93,Red Dead Redemption,2010-01-01 00:00:00,Rockstar San Diego,Take-Two Interactive,Xbox 360,Action,95.0,9.0,M,6
sales_94,Super Mario Sunshine,2002-01-01 00:00:00,Nintcndo,Nintendo,Nintendo GameCube,Platform,,,,6
sales_96,Driver,,Interactive Reflections,GT Interactive,PlayStation,Action,87.0,,T,6
sales_97,Gears of War 3,2011-01-01 00:00:00,Games Epic,Microsoft Game Studio,Xbox 360,Shooter,91.0,7.8,M,6
sales_98,Kinect Sports Season 2,2010-01-01 00:00:00,Rare Limited,Microsoft Game Studios,Xbox 360,Sports,73.0,7.4,E10+,G
sales_99,Gears of War,2006-01-01 00:00:00,Epic Games,Microsoft Game Studios,Xbox 360,,94.0,8.3,M,
sales_100,FIFA 15,2014-01-01 00:00:00,Electronic Arts Sports,Wlectronif Srts,PlayStation 4,Sporting Goods,,5.7,E,
sales_102,Metal Gear Solid,1998-01-01 00:00:00,KCEJ,Konami Digital Entertainment,PlayStation,Actio,94.0,9.4,M,G
sales_105,The Last of Us,2013-01-01 00:00:00,Dog Naughty,Sony Computer Entertainment Europe,PlayStation 3,Action,95.0,9.1,M,"5,000,000"
sales_106,LittleBigPlanet,2008-01-01 00:00:00,"SCE/WWS, Media Molecule",Sony Computer Entertainment,PlayStation 3,Platform,95.0,6.8,E,5
sales_107,RE2,1998-01-01 00:00:00,Capcom,Virgin Interactive,PlayStation,Action,89.0,9.2,M,5
sales_109,,1996-01-01 00:00:00,Namco,SCE,PlayStation,Fighting,89.0,8.9,T,5 000
sales_110,Destiny,2014-01-01 00:00:00,"Bungie Software, Bungie",Activision,PlayStation 4,Shooter,76.0,6.0,T,"5,000,000"
sales_111,LEGO Star Wars: The Complete Saga,2007-01-01 00:00:00,Tales Traveller's,LucasArts,Wii,Action,up,8.9,,5000
sales_112,,2006-01-01 00:00:00,Taito Corporation,505 Games,Nintendo DS,Simulation,67.0,7.2,E,5
sales_113,Assassin's Creed II,2009-01-01 00:00:00,Ubisoft Montreal,Ubisoft,PlayStation 3,Action,9 1,,M,"5,000,000"
sales_114,Assassin's,2007-01-01 00:00:00,Ubisoft Montreal,Uhisoft,Xbox 360,Adventure,81.0,7.7,M,5
sales_115,Forza Motorsport 3,2009-01-01 00:00:00,Turn 10,Microsoft Game Studios,Xbox 360,Racing,92.0,8.0,E,5
sales_116,Super Mario Advance,2001-01-01 00:00:00,Nintendo,Nintendo,Game Boy Advance,Platform,84.0,,E,
sales_118,Batman: Arkham City,2011-01-01 00:00:00,Rocksteady Studios,Warner Bros. Interactive Entertainment,PlayStation 3,,96.0,,T,5
sales_119,Grand Theft Auto V,2014-01-01 00:00:00,Rockstar North,Take-Two Interactive,Xbox One,Action,97.0,7.9,M,5
sales_120,Mario Kart: Super Circuit,,Intelligent Systems,Nintendo,,Racing,93.0,8.3,E,5
sales_121,Crash Bandicoot: Wrath of Cortex,2001-01-01 00:00:00,Traveller's Tales,Universal Interactive Entertainment,PlayStation 2,Platf,66.0,7.1,E,5000
sales_122,Call of Duty: World at War,2008-01-01 00:00:00,Treyarch,Activision,PlayStation 3,5hootcr,85.0,7.6,M,5
sales_123,Uncharted 4: A Thief's End,,Naughty Dog,Sony Computer Entertainment,PlayStation 4,Shooter,93.0,7.9,,5 000 000
sales_124,Final Fantasy XIII,2009-01-01 00:00:00,,Enix,PlayStation 3,Role-Playing,83.0,,T,
sales_125,Final Fantasy IX,2000-01-01 00:00:00,SquareSoft,SquareSoft,PlayStation,Rooe-Pkauing,94.0,8.9,T,5
sales_126,Assassin's Creed III,2012-01-01 00:00:00,Ubisoft,Ubis oft,,Action,,,M,"5,000"
sales_127,Final Fantasy X-2,2003-01-01 00:00:00,SquareSoft,Electronic Arts,,Role-Pkayimf,85.0,6.6,T,5
sales_128,Call of Duty: Advanced Warfare,2014-01-01 00:00:00,Sledgehammer Games,Activision,Xbox One,Shooter,,5.4,M,5000000
sales_129,Assassin's Creed II,2009-01-01 00:00:00,Ubusoft Mon64eal,Ubisoft,Xbox 360,Action,9 0,8.8,M,"5,000"
sales_130,New Super Mario Bros. U,2012-01-01 00:00:00,Nintendo,Nintendo,Wii U,Platform,84.0,8.1,E,"5,000"
sales_131,Dragon Quest VIII: Journey of the Cursed King,2004-01-01 00:00:00,Level 5,,PlayStation 2,RPG,89.0,8.8,T,"5,000"
sales_133,FIFA Soccer 13,2012-01-01 00:00:00,EA,Electronic Arts,Xbox 360,Action,op,G.l,,5
sales_134,Diablo III,,Blizzard Entertainment,Activision,Windows PC,Role-Playing,88.0,4.0,M,
sales_135,Medal of Honor: Rising Sun,2003-01-01 00:00:00,RS LQ,Electronic Arts,PlayStation 2,Shooter,68.0,7 .6,,5
sales_137,Fable III,2010-01-01 00:00:00,Lionhead Studio,Microsoft Game Studios,,RPG,80.0,6.5,M,"5,000,000"
sales_138,RE5,2009-01-01 00:00:00,Capcom,,PlayStation 3,Action,84.0,,M,5000000
sales_139,The Legend of Zelda: Phantom Hourglass,2007-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,,90.0,,,5
sales_140,FIFA Soccer 11,2010-01-01 00:00:00,EA Sports,Electronic Arts,PlayStation 3,Sports,,,E,5
sales_141,Resident Evil,1996-01-01 00:00:00,Capcom,Virgin Interactive,,Action,91.0,,,5
sales_142,Grand Theft Auto: Vice City Stories,2006-01-01 00:00:00,Rockstar Leeds,Take-Two Interactive,PlayStation Portable (PSP),Action,BG,8.0,M,5 000
sales_143,Tony Hawk's Pro Skater,1999-01-01 00:00:00,,ATVI,,Sports,92.0,,T,5000
sales_144,Guitar Hero III: Legends of Rock,2007-01-01 00:00:00,"Neversoft Entertainment, BudCat",Activision,PlayStation 2,Misc,82.0,,T,4000000
sales_145,Link Crossbow Training,2007-01-01 00:00:00,Nintendo,Nintendo,Wii,Shooter,68.0,7.0,T,4
sales_146,Fallout 3,,Bethesda Game Studios,Bethesda Softworks,Xbox 360,Role-Playing,,8.5,,4000
sales_148,Madden NFL 06,,,EA,PlayStation 2,Sports,88.0,8.0,E,4
sales_149,StarCraft II: Wings of Liberty,2010-01-01 00:00:00,,Ac6kgision,Windows PC,,,8.2,T,4 000
sales_151,God of War III,2010-01-01 00:00:00,Santa Monica,Sony Computer Entertainment,PlayStation 3,Actio,92.0,8.7,M,"4,000"
sales_152,Crash Team Racing,,Naughty Dog,Sony Computer Entertainment,PlayStation,Racing,88.0,,E,"4,000"
sales_153,LEGO Star Wars: The Complete Saga,2007-01-01 00:00:00,TT Fusio,LuCasArts,Nintendo DS,Action,80.0,5.4,E,4
sales_154,Driver 2,2000-01-01 00:00:00,Reflections Interactive,Atari,PlayStation,Action,62.0,,T,4 000 000
sales_156,Tony Hawk's Pro Skater 2,2000-01-01 00:00:00,Neversoft EntertAinment,Activision,PlayStation,Sports,,,T,
sales_158,Tomb Raider,1996-01-01 00:00:00,,Eidos Interactive,PlayStation,Action,91.0,,T,4000000
sales_159,Animal Crossing: City Folk,2008-01-01 00:00:00,Nintendo,Nintendo,Wii,Simulation,,7.6,E,
sales_160,Uncharted: The Nathan Drake Collection,2015-01-01 00:00:00,Bluepoint Games,Sony Computer Entertainment,PlayStation 4,Action,86.0,8.1,T,4 000
sales_163,Luigi's Mansion: Dark Moon,,Nsxt Level Fzmes,Nintendo,Nintendo 3DS,Act,86.0,8.4,E,4 000
sales_164,Forza Motorsport 4,2011-01-01 00:00:00,Turn,Microsoft Game Studios,,Racing,91.0,8.2,E,4
sales_167,Madden NFL 07,2006-01-01 00:00:00,EA Sports,EA,PlayStation 2,Sports,,8.2,E,4000000
sales_168,Halo 5: Guardians,2015-01-01 00:00:00,343 Ijduxtriws,Microsoft Game Studios,Xbox One,Shooter,84.0,,T,4
sales_169,Spider-Man: The Movie,2002-01-01 00:00:00,Treyarch,,PlayStation 2,Action,76.0,7.9,,4000
sales_170,Call of Duty: Infinite Warfare,2016-01-01 00:00:00,Infinity Ward,ATVI,PlayStation 4,Shooter,77.0,,,"4,000"
sales_172,Splatoon,2015-01-01 00:00:00,Nintendo,Nintendo,Wii U,Shooter,81.0,B.S,E10+,4 000
sales_173,Nintendo Land,2012-01-01 00:00:00,Nintendo,,Wii U,Misc,77.0,7.9,E10+,4
sales_174,Tony Hawk's Pro Skater 3,2001-01-01 00:00:00,Neversoft Entertainment,Activision,PlayStation 2,Sports,97.0,7.5,T,"4,000"
sales_175,Winning Eleven: Pro Evolution Soccer 2007,2006-01-01 00:00:00,KonamI,Konami Digital Entertainment,PlayStation 2,Sports,86.0,8.9,E,4
sales_176,The Elder Scrolls IV: Oblivion,2006-01-01 00:00:00,Bethesda Softworks,Take-Two Interactive,Xbox 360,Role-Playing,94.0,8.7,,
sales_177,Need for Speed: Most Wanted,2005-01-01 00:00:00,EA Canada,ElectronicArts,PlayStation 2,,,9.1,T,"4,000,000"
sales_179,Resistance: Fall of Man,,Insomniac Games,Sony Computer Entertainment Inc.,PlayStation 3,Shooter,86.0,8.1,M,"4,000,000"
sales_180,Kingdom Hearts II,2005-01-01 00:00:00,Square Enix,,PlayStation 2,Role-Playing,,9.0,E10+,4
sales_181,Super Mario 3D World,2013-01-01 00:00:00,Nintendo,Nintendo,Wii U,P1otform,93.0,9.0,E,4000000
sales_182,Fable II,2008-01-01 00:00:00,Lionhead Studios,Microsoft Game Studios,Xbox 360,Role-Playing,89.0,6.5,M,4 000 000
sales_183,Namco Museum,,Mass Media,Namco Bandai Games,Game Boy,Misc,79.0,,E,4
sales_184,,2009-01-01 00:00:00,Rocksteady Studios,Eidos Interactive,PlayStation 3,Action,91.0,8.9,T,4
sales_185,Metal Gear Solid 3: Snake Eater,,KCEJ,Konami Digital Entertainment,,Action,9 1,9.3,,"4,000,000"
sales_186,Assassin's Creed: Revelations,2011-01-01 00:00:00,Ubisoft Montreal,Uhisoft,PlayStation 3,Actio,80.0,7.5,M,4
sales_187,Fallout 4,2015-01-01 00:00:00,Bethesda Game Studios,Bethcsda 5oftworks,Xbox One,Role-Playing,88.0,6.2,M,
sales_188,FIFA 14,2013-01-01 00:00:00,,,Xbox 360,Sports,84.0,4.2,E,4
sales_189,,2006-01-01 00:00:00,Ready at Dawn,Sony Computer Entertainment,PlayStation Portable (PSP),Platform,85.0,8.7,E10+,4
sales_190,FIFA Soccer 06,2005-01-01 00:00:00,EA Canada,Electronic Arts,PlayStation 2,Sports,80.0,7.8,E,4 000
sales_191,EyeToy Play,2003-01-01 00:00:00,"SCEE, Zoe Mode",Computer Entertainment,PlayStation 2,,80.0,7.5,E,4 000
sales_192,Gran Turismo 5 Prologue,2007-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,,Roeing,80.0,7.1,E,4
sales_193,Assassin's Creed:,2011-01-01 00:00:00,,Ubisoft,Xbox 360,Action,80.0,7.2,,4
sales_195,Madden NFL 2003,,,Arts,PlayStation 2,,95.0,,E,4
sales_196,Half-Life,1997-01-01 00:00:00,Val ve Software,Vivendi Games,Windows PC,,96.0,9.1,,4
sales_197,World of Warcraft: The Burning Crusade,2007-01-01 00:00:00,Entertainment Blizzard,Activision,Windows PC,Role-Playing,91.0,,T,4000
sales_198,Battlefield I,2016-01-01 00:00:00,DICE EA,EA,,Shooter,88.0,8.4,M,
sales_199,God of War II,2007-01-01 00:00:00,SCD Ssnta Monifa,Sony Computer Entertainment,PlayStation 2,Aetion,93.0,8.9,,4000
sales_200,Fallout: New Vegas,2010-01-01 00:00:00,Obsidian Entertainment,Bethesda Softworks,Xbox 360,Role-Playing,84.0,8.1,M,4
sales_201,Forza Motorsport 2,2007-01-01 00:00:00,,Microsoft Game Studios,Xbox 360,Racing,90.0,8.3,,4
sales_202,Carnival,2007-01-01 00:00:00,Cat Daddy Games,Take-Two Interactive,Wii,,56.0,6.0,E,r
sales_203,Watch Dogs,2014-01-01 00:00:00,Ubisoft Montreal,Ubisoft,,Action,8 0,6.3,M,
sales_204,Tekken Tag Tournament,2000-01-01 00:00:00,Namco,Nameo Bondai Games,PlayStation 2,,85.0,,T,4000
sales_205,Far Cry 4,2014-01-01 00:00:00,Ubisoft Montreal,Ubisoft,PlayStation 4,Shooter,8 5,7.7,M,4 000 000
sales_206,Namco Museum: 50th Anniversary,2005-01-01 00:00:00,,Namco Bandai Games,PlayStation 2,Mise,61.0,,E10+,3 000
sales_207,Left 4 Dead 2,2009-01-01 00:00:00,Valve Software,EA,Xbox 360,Shooter,89.0,B.G,M,"3,000,000"
sales_208,The Witcher 3: Wild Hunt,2015-01-01 00:00:00,CD Projekt Red Studio,Namco Bandai Games,PlayStation 4,,92.0,9.2,M,"3,000"
sales_209,Assassin's Creed: Unity,2014-01-01 00:00:00,"Ubisoft, developed by Ubisoft Montreal",Ubisof,PlayStation 4,,70.0,4.9,,3000
sales_210,Batman: Arkham Knight,2015-01-01 00:00:00,Rocksteady Studios,,PlayStation 4,Beat 'em Up / Hack and Slash,87.0,,M,3
sales_211,The Legend of Zelda: Skyward Sword,2011-01-01 00:00:00,Nintendo,Nintendo,Wii,Action,93.0,8.0,E10+,
sales_212,Fallout 3,2008-01-01 00:00:00,Bethesda Game Sguxiow,Bethesda Softworks,PlayStation 3,Role-Playing,90.0,8.0,M,3
sales_213,Professor Layton and the Diabolical Box,2007-01-01 00:00:00,Ldgeo 5,Nintendo,Nintendo DS,Puzzle,,8.8,E10+,"3,000"
sales_214,EA Sports Active,2009-01-01 00:00:00,Canada EA,EA,,Sports,81.0,8.7,E,3
sales_215,Tony Hawk's Underground,2003-01-01 00:00:00,Entertainment Neversoft,,PlayStation 2,Sports,,8.7,,3000
sales_216,Monster Hunter 4U,2014-01-01 00:00:00,Capcom,Nintendo,Nintendo 3DS,RPG,86.0,8.7,T,3
sales_218,2K16 NBA,2015-01-01 00:00:00,Visual Concepts,Take-Two Interactive,PlayStation 4,Sports,87.0,6.7,E10+,3
sales_219,Tekken 5,2005-01-01 00:00:00,Namco,Namco Bandai,PlayStation 2,Fighting,88.0,8.6,,3
sales_220,MotorStorm,,Evolution Studios,Sony Computer Entcrtainmcnt,PlayStation 3,Racing,84.0,7.4,T,"3,000"
sales_221,World Soccer Winning Eleven 8 International,2004-01-01 00:00:00,JX3T,Konami Digital Entertainment,PlayStation 2,Sports,91.0,9.1,E,3
sales_222,Sports Champions,2010-01-01 00:00:00,"SCEA, Zindagi Games",Sony Computer Entertainment,PlayStation 3,Sports,76.0,7.9,E10+,3 000 000
sales_223,Call of Duty: Ghosts,2013-01-01 00:00:00,Infinity Ward,Activision,PlayStation 4,Shooter,78.0,3 .7,M,3
sales_224,Flash Focus: Vision Training in Minutes a Day,2007-01-01 00:00:00,"Nintendo, Namco Bandai Games",Nintendo,Nintendo DS,Misc,59.0,4.0,E,3
sales_225,Tom Clancy's The Division,2016-01-01 00:00:00,Massive Entertainment,Ubisoft,PlayStation 4,Shoo54t,80.0,7.0,,3
sales_226,Big Brain Academy: Wii Degree,,Nintendo,Nintendo,,Misc,68.0,,E,3
sales_227,LEGO Indiana Jones: The Original Adventures,2008-01-01 00:00:00,Traveller's Tales,activision,Xbox 360,Action,77.0,7.5,E10+,
sales_228,The Sims: Unleashed,2002-01-01 00:00:00,Maxis,Arts Electronic,Windows PC,Simulation,79.0,8.0,T,3
sales_229,Harry and the Sorcerer's Stone,,Games Argonaut,Electronic Arts,PlayStation,Act ion,64.0,7.5,,3
sales_230,Super Paper Mario,2007-01-01 00:00:00,Intelligent Systems,Nintendo,Wii,Platform,85.0,,E,3
sales_231,Spyro: Year of the,2000-01-01 00:00:00,Insomniac Games,Sony Computer Entertainment,PlayStation,Operating System,91.0,8.8,E,3
sales_232,Assassin's Creed IV: Black Flag,,Ubisoft,UBI,PlayStation 3,Action,88.0,8.1,M,3
sales_233,FIFA Soccer 2005,2004-01-01 00:00:00,EA Canada,Electronic Arts,PlayStation 2,Sports,81.0,7.6,E,3
sales_234,Tony Hawk's Pro Skater 4,2002-01-01 00:00:00,Neversoft Entertainment,Activision,PlayStation 2,Sports,94.0,8.5,T,
sales_236,Midnight Club 3: DUB Edition,2005-01-01 00:00:00,Rockstar Leed,Take-Two Interactive,PlayStation Portable (PSP),Racing,74.0,8.4,E10+,3 000 000
sales_237,SOCOM: U.S. Navy SEALs,2002-01-01 00:00:00,Zipper Interactive,Sony Computer Entertainment,PlayStation 2,,82.0,y.i,M,3
sales_238,Jak and Daxter: The Precursor Legacy,2001-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment,,Platform,90.0,8.7,E,3000000
sales_239,Pro Evolution Soccer 2008,2007-01-01 00:00:00,K onami,Konami Digital Entertainment,PlayStation 2,Sports,82.0,7.9,E,3000000
sales_241,Guitar Hero: World Tour,2008-01-01 00:00:00,Vicarious Visions,Activision,Wii,Misc,86.0,7.6,T,3
sales_242,FIFA Soccer 10,,4A S0o4ts,EA,PlayStation 3,Sports,91.0,,E,3000
sales_243,Star Wars: Battlefront,2004-01-01 00:00:00,Pandemic Studios,LucasArts,PlayStation 2,,82.0,,T,3000000
sales_245,Luigi's Mansion,2001-01-01 00:00:00,Nintendo,Nintendo,Nintendo GameCube,Action,78.0,8.5,E,3
sales_246,Battlefield 4,2013-01-01 00:00:00,,,PlayStation 4,Shooter,85.0,6.9,M,3
sales_248,Cooking Mama 2: Dinner With Friends,2007-01-01 00:00:00,Office Create,505 Games,Nintendo DS,,up,,E,3
sales_249,Grand Theft Auto: Liberty City Stories,2006-01-01 00:00:00,,Take-Two Interactive,,Action,78.0,7.8,M,3 000 000
sales_251,James Bond 007: Agent Under Fire,2001-01-01 00:00:00,EA Redwood Shores,,PlayStation 2,,72.0,7.9,,3000
sales_252,FIFA Soccer 11,,EA Sports,Electronic Arts,Xbox 360,Sports,88.0,7.5,E,w
sales_253,,2008-01-01 00:00:00,Certain Affinity,EA,Xbox 360,Shooter,89.0,7.9,M,
sales_254,Assassin's Creed: Unity,2014-01-01 00:00:00,"Ubisoft, Ubisoft Montreal",,Xbox One,,72.0,4.1,M,3
sales_255,Resident Evil 5,,Capcom,Capcom,Xbox 360,Action,83.0,7.5,M,3000
sales_256,Assassin's Creed: Brotherhood,2010-01-01 00:00:00,Ubisoft Montreal,Ubisoft,Xbox,Action,89.0,,,3000000
