id,nm,ly,stu,sys,g,fran
dbpedia_27,Fatal Fury 3: Road to the Final Victory,1995-01-01,"SIMS Co., Ltd.",Nep Beo FD,Fighting game,
dbpedia_28,List of Monster Jam video games,01/01/2015,Rainbow Studio,PSP,Racing game,Monster Jam
dbpedia_29,Raiden III,"January 01, 2005",Seibu Kaihatsu,Windows,Shoot 'em up,
dbpedia_30,List of Monster Jam video games,"January 01, 2017",Ubi Soft Barcelona,GBA,,
dbpedia_31,Tecmo Stackers,1995-01-01,Tecmo,P1ay5tation Network,Puzzle game,
dbpedia_32,Game of Thrones (2014 video game),01/01/2015,Telltale Games,PS3,Interactive movie,
dbpedia_33,Star Wars: Galaxy of Heroes,"January 01, 2015",EA,Android (operating system),Role-playing video game,
dbpedia_34,Ecco Jr.,01.01.2010,Appaloosa Interactive,Sega Genesis,Action-adventure game,Ecco the Dolphin (series)
dbpedia_35,Xanadu Next,"January 01, 2005",,Windows,Action RPG,
dbpedia_36,Pet Pals: Animal Doctor,2008-01-01,Legacy Interact,DS,Simulation game,
dbpedia_37,Looney Tunes Collector: Martian Alert!,01/01/2000,Infogrames,Game Boy Color,,
dbpedia_38,Disney Infinity (video game),2013-01-0,Heavy Studios,Wii U,Toys-to-life,Disney Infinity
dbpedia_39,1942 (video game),19B4-01-0l,,PlayStation,Scrolling shooter,
dbpedia_40,SpyHunter,"January 01, 2003",Sidhe (game developer),Game Boy Advance,Vehicular combat game,
dbpedia_41,Mobile Suit Gundam: Journey to Jaburo,01.01.2000,Bandai,PS2,Action game,
dbpedia_42,Bomberman (1983 video game),"January 01, 1985",Soft,Game Boy,,
dbpedia_43,Redcon (video game),01/01/2016,Hexag,Mac OS X,,
dbpedia_44,Virtua Tennis 4,,Sega,PS3,Sports game,Virtua Tennis (series)
dbpedia_45,Karous,"January 01, 2006",Milestone (Japanese developer),,Shoot 'em up,
dbpedia_46,Happy Tree Friends: False Alarm,01.01.2008,Stainless Games,Xbox 360,,
dbpedia_47,Star Wars: Battlefront (2004 video game),01/01/2005,,,First-person shooter,Star Wars: Battlefront
dbpedia_48,,"January 01, 1993",,Neo Geo (system),Fighting game,
dbpedia_49,Oxenfree,01.01.2016,School Night Studio,,Brapuix adventure game,
dbpedia_50,Risk (video game),01.01.2009,Runecraft,,TBS,
dbpedia_51,NBA Live 96,01.01.1995,Design Studios,Game Boy,,NBA Live
dbpedia_52,Batman: The Dark Knight (video game),,Pandemic Studios,Xbox 360,Steolth gome,
dbpedia_53,List of Monster Jam video games,01/01/2014,,GameCube,Racing game,
dbpedia_54,Shin Onigashima,"January 01, 2014",Nintendo R&D4,Game Boy Advance,,
dbpedia_55,NHL 2002,01/01/2001,PlayStation 2,PS2,Sports game,NHL (video game series)
dbpedia_56,,01.01.2008,E1cctronic Arts,BlackBerry,Roleplaying game,
dbpedia_57,Risk,01/01/2009,Runecraft,MS-DOS,Turn-based strategy,
dbpedia_58,Rayman M,01/01/2002,Uhi Sovt Mikan,PlayStation,Racing game,Rayman
dbpedia_59,Dragonriders: Chronicles of Pern,2001-01-01,Ubisof t,Dreamcast,Adventure game,Dragonriders of Pern
dbpedia_60,Ant Nation,2p08-01-91,"Art Co., Ltd",Wii,Real time strategy,
dbpedia_61,Tombs & Treasure,01.01.1988,Compile (publisher),FM-7,Role-playing video game,
dbpedia_62,Armored Core: Last Raven,2005-01-01,FromSoftware,PlayStation Portable,Third-person shooter,
dbpedia_63,Baldur's Gate: Siege of Dragonspear,,Beamdog,Linux,Role-play8ng vid4o gamr,
dbpedia_64,Boku no Natsuyasumi 3,01/01/2007,Millennium Kitchen,PS3,Adventure game,
dbpedia_65,Crown and Council,01/01/2016,Mojang,MacOS,TBS,
dbpedia_66,Shoot Many Robots,2012-01-01,,Microsoft,Shooter g,
dbpedia_67,,"January 01, 2012",,,Music video gaMe,
dbpedia_68,NeverDead,"January 01, 2012",Rebellion Developments,PS3,Hack and slash,
dbpedia_69,Metal Max Xeno,01.01.2018,Cattle Call,PS4,Role-playing video game,Metal Jaz (ssries)
dbpedia_70,List of Monster Jam video games,01/01/2002,,Xbox One,Combat racing game,
dbpedia_71,Power Drift,,Sega AM2,MSX,Kart racing game,
dbpedia_72,Evolution: The World of Sacred Device,1999-01-01,SNK,Dreamcast,Roguelike,
dbpedia_73,SpongeBob SquigglePants,2O11-O1-01,,3DS,Action video game,
dbpedia_74,Buffy the Vampire Slayer: Chaos Bleeds,01/01/2003,Eurocom Entertainment Software,GameCube,Action video gam,
dbpedia_75,Lego Harry Potter: Years 5–7,2011-01-01,TT Fusion,OS,Action Adventure,
dbpedia_76,Mega Man (1987 video game),01/01/1987,Capcom,Playstation,Platform,Mega Man (original series)
dbpedia_77,Oddworld: Stranger's Wrath,01.01.2022,BlackBerry,PS3,TPS,Oddworld
dbpedia_78,Angry Birds Friends,01/01/2019,Rovio Entertoinmcnt,Microsoft Windows,Puzzle video game,
dbpedia_80,Yoot Tower 2,01/01/1998,,Mac OS,Construction and management simulation games,
dbpedia_81,Heroes of Dragon Age,01.01.2013,,,Tactical role-playing game,Dragon Age
dbpedia_82,Oddworld: Stranger's Wrath,2015-01-01,Oddworld Inhabitants,Android system),Third-person shooter,
dbpedia_83,Donkey Kong (video game),01/01/1983,Nintendo Research & Development 1,Atari 2600,game,Donkey Kong
dbpedia_84,Talos Principle,"January 01, 2017",Croteam,Microsoft Windows,Puzzle video game,
dbpedia_85,Jet Set Radio,,Blir20rks,"Java Platform, Micro Edition",game,
dbpedia_87,Disney's Brother Bear (video game),"January 01, 2003",KnowWonder Digital Mediaworks,phone Mobile,Platform game,
dbpedia_88,,2002-01-01,,Game Boy Advance,RPG,
dbpedia_89,Shrek 2 (video game),2004-01-01,Vicarious,Game Boy Advance,Action-adventure game,
dbpedia_90,Grandia II,01.01.2000,Game Arts,Switch,Role-playing video game,
dbpedia_91,Super Ninja Boy,"January 01, 1991",Culture Brain,Super Nintendo,Action role-playing game,Super Chinese
dbpedia_92,Silent Scope (video game),01/01/2000,Now Production,IOS,Shoot 'em up,
dbpedia_93,Astonishia Stories,01.01.2005,,Mobile phone,Role-playing video game,
dbpedia_94,Assassin's Creed Rogue,2018-01-01,Ubisoft Sofia,PS3,Action-adventure game,
dbpedia_95,FIFA 11,2010-01-01,Android (operating system),Xbox 360,Sports game,FIFA (video game series)
dbpedia_96,Hydlide,01/01/1984,T&E Soft,PC-6001,Action role-playing game,
dbpedia_97,Digimon Story: Cyber Sleuth – Hacker's Memory,01/01/2017,Media.Vision,Windows,Role-playing video game,List of Digjmoj vidso games
dbpedia_98,List of Fire Pro Wrestling games,01.01.2002,Spike (company),Dreamcast,Fighting game,
dbpedia_99,,2015-01-01,,PS4,ARPG,Tales (video game series)
dbpedia_100,Jet Set Radio,2012-01-01,BlitWorks,Android (operating system),Sports game,
dbpedia_101,Dr. Mario,,Nintendo Research & Development 1,Advance Boy Game,Puzzle video game,
dbpedia_102,Enclave (video game),"January 01, 2002",Starbreeze Studios,Xbox,Action role-playing game,
dbpedia_103,Another World (video game),"January 01, 2011",Interplay Entertainment,3DS,Action game,
dbpedia_104,Mega Man X3,01/01/1995,Minakuchi Engineering,,Platform game,
dbpedia_105,Street Fighter II: Champion Edition,01.01.1992,Capcom,PC Engine,Fighting game,Street Fighter
dbpedia_106,Wizardry: Proving Grounds of the Mad Overlord,01/01/1999,Sir-Tech,IBM Personal Computer,Role-playing video game,Wizardry
dbpedia_107,Diva Starz: Mall Mania,"January 01, 2001",,,Action game,
dbpedia_108,Lego Star Wars II: The Original Trilogy,"January 01, 2006",Universomo,Deutsche Schule,Action-adventure game,
dbpedia_109,Oddworld Stranger's Wrath,2020-01-01,,,Action-adventure game,
dbpedia_110,List of Fire Pro Wrestling games,01/01/1995,Human Entertainment,PS2,,Fire Pro Wrestling
dbpedia_111,Call of Duty 2: Big Red One,,High Voltage Software,Xbox,First-person shooter,
dbpedia_112,College Hoops 2K7,"January 01, 2007",Visual Concepts LLC,X360,Sports video game,
dbpedia_113,Another World (video game),,,,Action game,
dbpedia_114,Dream Chronicles: The Book of Air,,,Microsoft Windows,Puzzle video game,Dream Chronicles (series)
dbpedia_115,Theme Park (video game),1995-01-01,EA Japan,Amiga CD32,Construction and managementsimulation game,
dbpedia_116,Faces...tris III,,Spectrum HoloByte,Amiga,Puzzle video game,
dbpedia_117,De Blob,,BlitWorks,Switch,Puzzle-platform game,
dbpedia_118,List of Monster Jam video games,2003-01-01,Rainbow Studios,Mierosoft Windows,Racing video game,
dbpedia_120,The Walking Dead: Michonne,"January 01, 2016",Telltale Ga,PS4,Grsphiv adv4nture game,The Walking Dead (video game series)
dbpedia_121,Monster Hunter Freedom Unite,"January 01, 2008",Capcom,IOS,Action role-playing g,Monster Hunter
dbpedia_122,Out of This World (video game),2014-01-01,Delphine Software International,TI-84 Plus CE,Platform game,
dbpedia_123,Call of Duty: Black Ops,01.01.2012,Treyarch,Wii,First-person shooter,Duty of Call
dbpedia_124,Kung Fu Panda: Showdown of Legendary Legends,"January 01, 2015",,PS4,Fighting gam,
dbpedia_125,World of Warcraft: Battle for Azeroth,,Blizzard Entertainment,,Massively multiplayer online role-playing game,Warcraft
dbpedia_126,Gauntlet (1985 video game),01/01/1985,Tengen (company),Nintendo Entertainment System,Beat 'em Up / Hack and Slash,
dbpedia_127,Surf's Up (video game),01.01.2007,Quebec,Xbox 360,Soorts gan4,
dbpedia_128,Oddworld: Stranger's Wrath,"January 01, 2015",IOS,,Third-person shooter,
dbpedia_129,Daisenryaku,1991-01-01,SystemSoft Alpha,Windows 98,,
dbpedia_130,You Don't Know Jack (Facebook game),2012-01-01,Jackbox Games,Android (operating system),Social Party Game,You Don't Know Jack (franchise)
dbpedia_131,Tilt! Pinball,01/01/1995,Microsoft,Macintosh operating systems,Arcade game,
dbpedia_132,Shinobi (2002 video game),01/01/2002,Overworks,PS2,,
dbpedia_133,Kingdom Hearts HD 1.5 Remix,,Enix,PS3,Action role-playing game,
dbpedia_134,Prison Architect,,Introversion Software,IOS,Construction and management simulation,
dbpedia_135,Fate of,01.01.2007,World Forge,Microsoft Windows,Real-time strategy,
dbpedia_136,Terraria,01.01.2014,Re-Log,PlayStation Vita,Sandbox game,
dbpedia_137,SteamWorld Heist,2020-01 -01,Image & Form,Switch,Action-adventure game,SteamWorld
dbpedia_138,Hardcore 4X4,1o06-01-02,Gremlin Interactive,,Racing,
dbpedia_139,Shienryu,"January 01, 1997",Worasbi,PS2,Shoot 'em up,
dbpedia_140,List of Saiyuki video games,2001-01-01,"GungHo Online Entertainment, Inc.",Windows XP,Adventure game,
dbpedia_141,Lumo (video game),01.01.2017,,Linux,platformer,
dbpedia_142,Mayhem of Agents,01.01.2017,Volition company,,Action-adventure game,
dbpedia_143,Baldo: The Guardian Owls,"January 01, 2021",NAPS team,Windows,Role-playing video game,
dbpedia_144,Cars 2 (video game),,,IOS,Racing game,
dbpedia_145,Lemony Snicket's A Series of Unfortunate Events (video game),,Adrenium Games,pS2,Platform game,
dbpedia_146,,01.01.2016,Aquaplus,PlayStation Vita,Tactical role-playing game,
dbpedia_147,Cloud Master,"January 01, 1988",,X68000,Scrolling shooter,
dbpedia_148,Tom Clancy's Ghost Recon: Future Soldier,01.01.2012,,Microsoft Windows,,Tom Clancy's Ghost Recon
dbpedia_149,Outlaw Golf,01.01.2002,Hypnotix,GameCube,Sports game,
dbpedia_150,James Bond 007: Nightfire,,Gearbox Softwar,PlayStation 2,First-person shooter,
dbpedia_151,List of Monster Jam video games,"January 01, 2016",Team6 Game Studios,Google Stadia,Racing game,Monster Jam
dbpedia_152,Oddworld: Stranger's Wrath,2011-01-01,BlackBerry,Xbox On,Action Adventure,
dbpedia_153,Section 8 (video game),01.01.2010,TimeGate StudioS,Xbox 360,First-person,
dbpedia_154,Judge Dredd (1995 video game),01.01.1995,,Microsoft Windows,Action game,
dbpedia_155,Brunswick Pro Bowling,2010-01-01,FarSight Studios,,Esports,
dbpedia_156,Worms World Party,01/01/2003,Team17,Game Boy Advance,Artillery game,
dbpedia_157,Centipede (1998 video game),01.01.1998,Mondo Media,Macintosh,Shoot 'em up,
dbpedia_158,Shrek Forever After (video game),01.01.2010,XPEC,Xbox 360,Action-adventure game,
dbpedia_159,Kingdom Hearts Chi,01.01.2013,Square Enix,IOS,,
dbpedia_160,Mega Man Legacy Collection,,Capcom,,tactics Real-time,Mega Man Battle Network
dbpedia_161,Obsidian (1997 video game),1997-01-01,Rocket Science Games,Mac OS,Adventure game,
dbpedia_162,Pitfall: The Lost Expedition,01.01.2006,,Game Boy Advance,Action game,
dbpedia_163,Monster Jam games,"January 01, 2008",Ubi Soft Barcelona,PS4,,
dbpedia_164,Temple Run,01/01/2011,Imangi Studios,Android (operating system),Endless runner,
dbpedia_165,Who Framed Roger Rabbit (1988 video game),01/01/1988,Disney Interactive Studios,DOS,Action game,
dbpedia_166,Cabela's Dangerous Hunts 2013,01/01/2012,,Wii U,Sports game,
dbpedia_167,Trine (video game),"January 01, 2015",Frozenbyt,Switch,Action-adventure,
dbpedia_168,WWF Royal Rumble (2000 video game),01/01/2000,Yuke's,Video game arcade cabinet,Fighting game,
dbpedia_169,NASCAR 2000,01.01.1999,Software Creations (UK),Microsoft Windows,Racing game,
dbpedia_170,Micro Commandos,2002-01-01,,Microsoft Windows,RTS,
dbpedia_171,Sega Rally Revo,01.01.2007,Bugbear Entertainment,0D2,,
dbpedia_172,Cruis'n Exotica,2000-01-01,,,Racing,Cruis'n (series)
dbpedia_173,Cabela's Outdoor Adventures (2005 video game),"January 01, 2005",Labs Fun,Microsoft Windows,Action game,
dbpedia_175,Nicktoons Unite!,,,GameCube,,
dbpedia_176,Dream Chronicles: The Chosen Child,01/01/2011,,MacOS,Adventuregame,
dbpedia_177,Sonic Jump,01.01.2012,Hardlight,Android (operating system),Platform game,
dbpedia_178,The Amazing Spider-Man (2012 video game),2012-01-01,Beenox,Vita PlayStation,Action-adventure game,
dbpedia_179,Elite (video game),1984-01-01,Ian Bell (prograjj4r),BBC Micro,Space trading and combat simulator,
dbpedia_180,Lemmings (video game),01/01/1991,,ZX Spectrum,Puzzle video game,
dbpedia_181,The Walking Dead: Michonne,01.01.2016,,Android (operating system),Interactive movie,
dbpedia_182,Worms (1995 video game),"January 01, 1995",Team17,Playstation,Artillery game,
dbpedia_183,Sheep (video game),01.01.2002,Capcom,,Strategy video game,
dbpedia_184,Disney Infinity 2.0,2014-01-01,Avalanche Software,,Toys-tO-life,
dbpedia_185,Star Wars Jedi Knight II: Jedi Outcast,,Aspyr,Switch,First-person shooter,Star Wars: Jedi (series)
dbpedia_186,Quake (video game),01.01.1997,IdSoftware,One Xbox,First-person shooter,Quake (series)
dbpedia_187,Aggressive Inline (video game),01/01/2002,,,Sports game,
dbpedia_188,List of Rock Band track packs,01/01/2008,Pi Studios,,,
dbpedia_189,Vigilante 8,1998-01-01,Vicarious Visions,Game Boy Color,Vehicular combat,
dbpedia_190,Counter-Strike: Global,2012-01,Valve Corporation,Xbox 360,shooter,
dbpedia_191,The Nightmare Before Christmas: Oogie's Revenge,2O04-01-O1,TOSE,Xbox,Hack and slash,
dbpedia_192,Disney's Dinosaur (video game),,Digital Eclipse,Playstation,Adventure game,
dbpedia_193,List of Fire Pro Wrestling games,"January 01, 2013",,Personal Computer Engine,Professional wrestling,Fire Pro Wrestling
dbpedia_194,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,,Sierra On-Line,Macintosh,Point-and-click adventure game,Gabriel Knight
dbpedia_195,Putt-Putt Saves the Zoo,01/01/2014,Humongous Entertainment,Mac OS,Adventure game,
dbpedia_196,Howrse,"January 01, 2014",Owlient,Browser game,Simulation video game,
dbpedia_197,Police Quest II: The Vengeance,,Sierra Entertainment,MS-DOS,,
dbpedia_198,From Russia with Love (video game),,Rebellion Developments,Xbox,Third-person shooter,
dbpedia_199,Socket (video game),10i3-01-91,Vic Tokai,Sega Sega Mega Drive,Platformer,
dbpedia_200,The Fancy Pants Adventures,"January 01, 2017",Brad Borne,Windows,Platform game,
dbpedia_201,Hugo (video game),,Interactive Television Entertainment,Commodore 64,Action game,Hugo (series)
dbpedia_202,Grey Goo,2015-01-01,Games Petroglyph,Microsoft Windows,Real-time strategy,
dbpedia_203,Rocksmith 2014,,Ubisoft San Francisco,Xbox One,Misuc fideo game,
dbpedia_204,Yoshi's Cookie,01/01/1993,Bluc Planet Softwore,,Puzzle video game,Compilation of Yoshi video games
dbpedia_205,Rayman Origins,,Ubisoft Montpellier,OS X,,
dbpedia_206,The Walking Dead: Season Two,2014-01-01,Telltale Games,Xbox One,,The Walking Dead (video game series)
dbpedia_207,,,,Switch,game,
dbpedia_208,Mat Hoffman's Pro BMX 2,01/01/2002,Rainbow Studios,GameCube,Sports game,
dbpedia_209,Volume (video game),2015-01-01,,PS4,Stealth game,
dbpedia_210,Wolfenstein 3D,19o4-o1-02,Id Software,3DO Multiplayer,First-pedson sgoot3r,Wolfenstein
dbpedia_211,Street Fighter Alpha,01/01/1995,Crawfish Interactive,Playstation,Fighting game,
dbpedia_212,Divinity: Original Sin II,2017-01-01,Larian Studios,Switch,Role-playing video game,Divinity (series)
dbpedia_213,Barnyard (video game),01.01.2006,,PS2,Party game,
dbpedia_214,Crack Down,"January 01, 1990",Sega,Commodore 64,Shoot 'em up,
dbpedia_215,Fall Guys,01.01.2020,Mediatonic,PlayStation 5,Platform game,
dbpedia_216,Marvel: Ultimate Alliance 2,,N-Space,,Actoon role-olzying,
dbpedia_218,,01.01.2009,Interactive,DS,Puzzle video game,
dbpedia_219,Dragon Ball Z: Budokai 3,"January 01, 2004",Dimps,PS2,Versus fighting game,
dbpedia_220,Winnie the Pooh's Rumbly Tumbly Adventure,01/01/2005,,GameCube,Action-adventure game,Winnie the Pooh (franchise)
dbpedia_221,Hamtaro (video game series),,1maginEnginc,,Puzzle game,
dbpedia_222,List of Monster video Jam games,01/01/2003,,Xbox 360,,
dbpedia_223,Formula One 2001 (video game),01/01/2001,Studio 33,,Racing video game,
dbpedia_224,Oddworld: Stranger's Wrath,"January 01, 2014",,Microsoft Windows,Third-person shooter,
dbpedia_225,Toy Story (video game),"January 01, 1996",Traveller's Tales,Nintendo Entertainment System,,
dbpedia_226,Shrek 2,01/01/2004,Vicarious,GameCube,Beat 'em up,
dbpedia_227,The Amazing Spider-Man 2 (2014 video game),01/01/2014,,PS4,Action-adventure game,
dbpedia_228,Barnyard (video game),01/01/2006,Halfbrick,GameCube,Adventure game,
dbpedia_230,Killing Floor (video game),01/01/2009,,Microsoft Windows,First-person shooter,
dbpedia_231,O-Chan no Oekaki Logic,01/01/1995,Sunsoft,Mobile phone,Nonogram,Hebereke (series)
dbpedia_232,TwinBee,,Konami,PS4,,
dbpedia_233,Samurai Spirits: Amakusa's Revenge,01.01.1996,SNK,,Fighting game,Samurai Shodown
dbpedia_234,Lemmings (video game),1993-01-01,Sunsoft,PlayStation,Puzzle video game,
dbpedia_235,Mortal Kombat 4,01.01.1998,computer,Playstation,Fighting game,Mortal Kombat
dbpedia_236,Turmoil (2016 video game),2016-01-01,Gamious,Windows,Simulation video game,
dbpedia_237,Dragon Ball Z: Idainaru Dragon Ball Densetsu,"January 01, 1996",Entertainment Bandai Company,Playstation,Fighter,Ball of Dragon List video games
dbpedia_238,Fallout 3 downloadable content,2009-01-01,Bethesda Game Studios,Xbox 36,,
dbpedia_240,The 7th Guest,"January 01, 1993",Trilobyte (company),IOS,Puzzle adventure game,
dbpedia_241,Worms World Party,2005-01-01,,Microsoft Windows,Strotegy gamc,Worms (series)
dbpedia_242,Theme Park (video game),"January 01, 1995",,PC-98,Construction and management simulation game,
dbpedia_243,Sonic Colors,,Sonic team,Amazon Luna Cloud Gaming,Open World,Sonic the Hedgehog
dbpedia_244,Wacky Races: Starring Dastardly and Muttley,"January 01, 2000",Gremlin Interactive,Dreamcast,Racing video game,
dbpedia_245,Bejeweled 2,01.01.2010,PopCap Games,Android (operating system),Puzzle video game,Bejeweled (series)
dbpedia_246,Dead Space: Extraction,2009-01-01,Euficpm,,,
dbpedia_247,Avatar: The Last Airbender (video game),2006-01-01,Halfbrick,Xbox,,
dbpedia_248,Toki Tori,2012-01-01,Two Tribes (company),IOS,Puzzle video game,
dbpedia_249,Battle Garegga,01/01/2016,"M2, video game developer",Xbox,Shoot 'em up,
dbpedia_250,Cho Aniki,2000-01-01,X-Nauts,PS2,,
dbpedia_251,NBA Jam (1993 video game),1995-01-01,,,Sports game,NBA Jam franchise
dbpedia_252,The King of Fighters '95,"January 01, 1995",,,Fighting game,The King of Fighters
dbpedia_253,MageSlayer,,Raven Software,Microsoft Windows,shooter Third-person,
dbpedia_255,Major League Baseball 2K7,"January 01, 2007",Kush Games,PS2,Sports game,
dbpedia_256,Ultima II: The Revenge of the Enchantress,"January 01, 1982",Richard Garriott,Atari 520ST,Role-playing video game,Ultima (series)
dbpedia_257,Baseball Stars 2,"January 01, 1992",,,Sports Video Game,
dbpedia_259,MotoHeroz,01/01/2012,RedLynx,,Platform game,
dbpedia_260,Prince of Persia: The Two Thrones,"January 01, 2005",Ubisoft Casablanca,GameCube,,
dbpedia_261,The Hitchhiker's Guide to the Galaxy (video game),01.01.1984,Knv0com,Amiga,Text Adventure,
dbpedia_262,Ghouls 'n Ghosts,"January 01, 2017",Capcom,Virtual Console,Platform game,Ghosts 'n Goblins
dbpedia_263,Growtopia,01/01/2019,Ubisoft Abu Dhabi,Microsoft Windows,Adventure game,
dbpedia_264,Might & Magic: Clash of Heroes,01.01.2011,Caoygwra Games,DS,Adventure game,
dbpedia_265,Spider-Man Web of Shadows,01.01.2008,Griptonite Games,PlayStation Portable,Action-Adventure Metroidvania,
dbpedia_266,Jet Set Radio,2012-01-01,BlitWorks,Dreamcast,Platform game,
dbpedia_267,Mortal Kombat: Armageddon,01.01.2006,Midway Games,Xbox,Fighter,MortalKombat
dbpedia_268,Bit.Trip Void,2012-01-01,Choice Provisions,Switch,Rhythm game,Bit.Trip
dbpedia_269,Jane's ATF: Advanced Tactical Fighters,01/01/1997,,Microsoft Windows,Combqt flight simulagoe,
dbpedia_270,Angry Birds (video game),,Rovio Snteetainmebt,3DS,,
dbpedia_271,Rome: Total War,2016-01-01,Creative Assembly,Microsoft Windows,Real-time tactics,
dbpedia_272,The Escapists II,01/01/2017,Team17,PS4,Strategy video game,
dbpedia_273,Bokosuka Wars,"January 01, 1985",ASCII (company),,,
dbpedia_274,The Mage's Tale,"January 01, 2017",InXile Entertainment,Oculus Rift,Role-playing video game,The Tale
dbpedia_275,Disney's Dinosaur (video game),q00p-01-0q,Sandbox Studio,,Action game,
dbpedia_276,Oddworld: Munch's Oddysee,2001-01-01,PlayStation 3,Microsoft Windows,Platform game,
dbpedia_277,Metro Exodus,"January 01, 2021",4A Games,,First-person shooter,Metro franchise
dbpedia_278,Scribblenauts Unlimited,01.01.2018,5th Ce11,Android (operating system),Sandbox,Scribhlenauts (video game scries)
dbpedia_279,Horde,,Toys for Bob,DOS,Strategy video game,
dbpedia_280,,"January 01, 2014",,PlayStation Vita,Side-scrolling video,
dbpedia_281,Daisenryaku,01.01.2006,"Genki, the company",Windows 9B,TBS,
dbpedia_282,Wonder Boy III: The Dragon's Trap,"January 01, 1991",Westone Bit Entertainment,Mobile phone,Actiob-adcehture game,Wonder Boy
dbpedia_283,SpyHunter,01.01.2003,Midway Games,Microsoft,Vehicular combat game,
dbpedia_284,Tom Clancy's Rainbow Six: Rogue Spear,"January 01, 1999",Majesco Entertainment,Dreamcast,,Tom Clancy's Rainbow Six
dbpedia_286,Bejeweled Twist,2009-01-01,PopCap Games,Symbian^3,Puzzle video game,Bejeweled game series
dbpedia_287,List of Fire Pro Wrestling games,"January 01, 2012",,,Fighting ga,
dbpedia_289,Ride to Hell: Retribution,01.01.2013,Eutechnyx,Microsoft Windows,Action-adventure game,
dbpedia_290,Harry Potter and the Philosopher's Stone (video game),"January 01, 2003",Xbox (console),PS2,Action-adventure game,
dbpedia_291,Lemonade Tycoon,01/01/2003,Jamdat,Phone,Business simulation game,
dbpedia_292,EA Sports UFC,01/01/2015,SkyBox Labs,PS4,Sports game,
dbpedia_293,,"January 01, 2020",Android (operating system),Xbox,shooter Third-person,Oddworld
dbpedia_294,Sorcerer (video game),"January 01, 1985",,Kaypro II,Interactive fiction,
dbpedia_295,List of Fire Pro Wrestling games,01/01/2001,Spikc Cbunsoft,,,Fire Pro Wrestling
dbpedia_296,Where the Wild Things Are (video game),"January 01, 2009",Wii,Xbox 360,Platform game,
dbpedia_297,Micro Machines (video game),2003-01-01,Eutechnyx,Sega Game Gear,Racing video game,Micro Machines (video game series)
dbpedia_298,Age of Zombies,2010-01-01,,,Survival horror,
dbpedia_299,Driver 76,"January 01, 2007",Igisoft Reflectilns,PlayStation Portable,Action Adventure,Series driver
dbpedia_300,Michael Jackson: The Experience,2010-01-01,Ubisoft Milan,3DS,Instrument Simulation,
dbpedia_301,List of Saiyuki video games,01/01/2002,Enix,XP Windows,Card game,
dbpedia_302,Gradius II,"January 01, 2007",,PC Engine,Scrolling shoote,
dbpedia_303,GripShift,01/01/2005,Sidhe (game developer),PlayStation Network,Puzzle-platform game,
dbpedia_304,Mega Man X (video game),2011-01-01,Capcom,Super Nintendo,Action game,
