id,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6
fullcontact_122,Avago Technologies,United States,San Jose,,01/01/05
fullcontact_123,"Avis Budget Group, Inc.",,,,
fullcontact_124,Aviva,UK,,,
fullcontact_125,Avnet,States United,Phoenix,,
fullcontact_126,RealNames,,,,
fullcontact_127,BAE Systems,,Arlington,,1971-01-01
fullcontact_129,Ball Corporation,United States,,,1880-01-01
fullcontact_130,Baloise Jobs,Switzerland,Basel,,1863-01-01
fullcontact_131,Bankia,,,,
fullcontact_133,Bank Muscat,Oman,Muscat,,01/01/82
fullcontact_135,Bank of India,,,,
fullcontact_136,Bank of Ireland,,,,
fullcontact_137,Barclays PLC,,,,
fullcontact_138,BASF,Germany,Ludwigshafen,,
fullcontact_139,Bayer,Germany,Leverkusen,,1863-01-01
fullcontact_140,BayWa AG,,,,
fullcontact_142,Bell Canada Inc.,Canada,,,
fullcontact_143,Becton Dickinson,United States,,Marc Zemel,
fullcontact_144,B/e Aerospace,USA,West Palm Beach,,
fullcontact_145,Beam Central Vacuums,,,,
fullcontact_146,Bed Bath & Beyond,,,,1971-01-01
fullcontact_147,Beiersdorf AG,Germany,Hamburg,,
fullcontact_148,"Best Buy Co., Inc.",United Kingdom,Berkhamsted,,01.01.1966
fullcontact_149,BG Group,United Kingdom,Reading,,
fullcontact_150,Bharat Petroleum Corporation Limited,India,Mumbai,,01/01/1977
fullcontact_151,BHP Billiton,Australia,Melbourne,,
fullcontact_152,Bidvest,South Africa,Johannesburg,,
fullcontact_153,Bilfinger,GermAny,Mannheim,,
fullcontact_155,Basellandschaftliche Kantonalbank,,,,
fullcontact_156,BlackRock,,,,
fullcontact_158,BMW Group,Germany,,,
fullcontact_159,BNP Paribas,,,,
fullcontact_160,The Boeing Store,UnitedStates,Seattle,,01/01/1916
fullcontact_161,Bombardier Services Corporation,United States,Bridgeport,,
fullcontact_162,Bank of Queensland - BOQ,,,,1971-01-01
fullcontact_163,BorgWarner Inc.,,,,
fullcontact_165,Bouygues Group,,,,01/01/1952
fullcontact_166,BP,United Kingdom,London,,1870-01-01
fullcontact_167,Jonathan Brambles - Full Service Email Consultant,,Sydney,,
fullcontact_168,Braskem,Brasil,São Paulo,,
fullcontact_169,Brenntag AG,Germany,Mülheim An Der Ruhr,,
fullcontact_170,Bridgestone Metalpha,States United,,,
fullcontact_172,Brookfield Asset Management,,Toronto,,01.01.1899
fullcontact_173,Brown-Forman Corp.,United States,,,01.01.1870
fullcontact_174,Brunswick Corporation,United States,Lake Fores,,01/01/1845
fullcontact_177,Buy Domains,United States,"Waltham, Massachusetts",,
fullcontact_178,Buy a Domain,,Wo1tham,,
fullcontact_179,Buy Domains,United States,Waltham,,
fullcontact_180,,USA,Los,,01.01.1995
fullcontact_182,Cablevision Systems Corporation,United States,Santa Monica,,
fullcontact_183,Caesars Entertainment Corporation,,,,
fullcontact_184,CaixaBank,,,,1844-01-01
fullcontact_185,Calpine,United States,City of Houston,,
fullcontact_186,Cameco Corporation,,Saskatoon,,01/01/1988
fullcontact_187,Canara Bank,,,,
fullcontact_188,Capgemini,France,Paris,,01/01/1967
fullcontact_189,Capita Press Office,,,,
fullcontact_190,CapitaLand Hope Foundation,Singapore,Singapore,,2002-01-01
fullcontact_191,Cardinal Health Community Relations,United States,,,
fullcontact_192,CareFusion Corporation,United States,,,01/01/2015
fullcontact_195,Carnival,United States of America,Miami,,01/01/1972
fullcontact_196,Carrefour Global Sourcing,France,,,
fullcontact_197,Caterpillar Inc.,,,,
fullcontact_198,Cathay Pacific Airways Ltd.,Hong Kong,Chek Lap Kok,,
fullcontact_199,Cbs Usa Inc,,New York,,
fullcontact_200,Celanese Corporation,United States,,,
fullcontact_202,Ccmcx S.A.B. De C.V.,Mexico,,,1906-01-01
fullcontact_203,Cencosud,Argentina,,,
fullcontact_204,Centrica,United Kingdom,Windsor,,
fullcontact_207,Chevron Corporation,United States,,,01.01.1879
fullcontact_212,"Church & Dwight, Co., Inc.",,Trenton,,
fullcontact_213,Cigna Corporation,United States,Bloomfield,,
fullcontact_214,CITIC Pacific,Hong Kong,,,
fullcontact_215,Citigroup,United States,NYC,,
fullcontact_216,"Citrix Systems, Inc.",United States,Fort Lauderdale,,01.01.1989
fullcontact_218,Clariant,Dwitxerlans,Muttenz,,1995-01-0
fullcontact_219,Cliffs Natural Resources,United States,Cleveland,,
fullcontact_220,Clorox Company (the),,Oakland,,
fullcontact_221,CNP Assurances,France,Paris,,
fullcontact_223,Colgate Deutschland,,,,
fullcontact_224,Coloplast,Denmark,Humleb,,1954-01-01
fullcontact_227,Compass Group UK & Ireland,United States,,,
fullcontact_228,"ConAgra Foods, Inc.",United States,,,
fullcontact_231,CONSOL Energy Inc.,United States,,,
fullcontact_234,Cosmo Energy Limited,United Kingdom,,,
fullcontact_235,Costco Wholsale,United States,Enfield,,
fullcontact_238,Credit Agricole,France,Paris,,1885-01-01
fullcontact_239,Crescent Point Energy Corp.,Canada,Calgary,,
fullcontact_240,CRH,Ireland,Dublin 22,,
fullcontact_241,Crown Holdings,United States,Ponte Vedra Beach,,
fullcontact_242,CSR,UK,Cambridge,,01.01.1999
fullcontact_245,Daimler AG,Germany,Stuttgart,,01.01.1886
fullcontact_246,Danaher Corporation,United States,Washington,,
fullcontact_247,Dangote Industries,,,,01/01/81
fullcontact_248,Danone,France,Paris,,
fullcontact_250,"Darden Restaurants, Inc.",,,,
fullcontact_251,Dassault Aviation,France,Saint-cloud,,
fullcontact_252,DaVita HealthCare Partners Inc.,,,,01/01/1990
fullcontact_253,Deutsche Bank,,,,
fullcontact_255,Delek Group,Israel,,,
fullcontact_256,"Etablissements Delhaize Freres Et Cie ""Le Lion"" S.A.",Belgium,,,
fullcontact_257,Dentsu Indonesia,Indonesia,,,
fullcontact_259,Dexia,,,,
fullcontact_260,Diageo Plc,United Kingdom,London,,01/01/97
fullcontact_262,Dior Corp,France,,,
fullcontact_263,DIRECT TV,States United,El Segundo,,
fullcontact_264,Dish Systems,United States,"Meridian, Colorado",,
fullcontact_266,Dun & Bradstreet,United States,,,
fullcontact_267,Doosan Grp.,Ireland,,,
fullcontact_268,The Dow Company,,Garrison,,
fullcontact_274,Duke Power Company,United States,C harlotte,,
fullcontact_275,Eastman Chemical Company,United States,,,
fullcontact_276,EasyJet,,,,
fullcontact_277,"Eaton Corporation, PLC",United States,Cleveland,,1911-0 1-01
fullcontact_278,eBay,USA,,,01/01/1995
fullcontact_279,Ecolab,,,,1923-01-01
fullcontact_280,ECOPETROL S.A,,Bogotá,,
fullcontact_281,EDF,France,Paris,,
fullcontact_283,Eisai,United States,Woodcliff Lake,,01/01/95
fullcontact_284,Electrolux,,,,
fullcontact_285,Eletrobrás,Brazil,Brasília,,1962-01-01
fullcontact_286,Embraer,Brazil,José dos Campos,,01/01/1969
fullcontact_287,EMC Corporation,United States,Hopkinton,,
fullcontact_288,Empire Power Systems,USA,Tucson,,
fullcontact_290,Encana Corporation,,Calgary,,01/01/2002
fullcontact_291,Enel,Italy,Rome,,01.01.1962
fullcontact_292,ENGIE Group,,Courbevoie,,
fullcontact_293,Eni,Italy,,,
fullcontact_294,ENKA İnşaat Ve Sanayi A.Ş. Engineering for A Better Future,Turkey,Istanbul,,
fullcontact_295,Entergy,United States,,,
fullcontact_298,"Equifax, Inc.",United States,Atlanta,,
fullcontact_299,Equity Residential,,,,
fullcontact_300,Ericsson,India,Bangalore,,
fullcontact_301,Erste IR Group,,,,
fullcontact_302,Essar Communications Holdings,India,,,
fullcontact_303,Etisalat UAE,,,,1976-01-01
fullcontact_304,Eurazeo,France,,,
fullcontact_305,Eutelsat SA,France,Paris,,01/01/77
fullcontact_306,Everest Re Group Ltd (ERE),,,,
fullcontact_307,Accelerated Sciences,Republic of Italy,Torino,,
fullcontact_308,Experian,United States,Costa Mes,,1980-01-01
fullcontact_311,Federal National Mortgage (Fannie Mae),United States,"Washington, District of Columbia",,
fullcontact_312,Fastenal,States,Winona,,
fullcontact_315,First Bank of Nigeria Limited,Nigeria,,,
fullcontact_316,FedEx Corporation,United States,Memphis,,1973-01-01
fullcontact_318,Finmeccanica,Italy,,,
fullcontact_319,FirstEnergy Capital,Canada,Calgary,,01/01/1993
fullcontact_320,First Republic,,,,
fullcontact_323,Fluor Corporation,United States,Irving,,
fullcontact_324,,United States,Philadelphia,,
fullcontact_325,Foncière Des Régions,France,Paris,,
fullcontact_327,Fortum,,Espoo,,01/01/98
fullcontact_328,Frankling Inc,United States,,,
fullcontact_329,Fraport AG,,Frankfurt,,
fullcontact_330,Fresenius Helios Gmbh,Germany,Bad Homburg,,01.01.1912
fullcontact_331,Frontier Communications,,,,
fullcontact_333,Fuji Electric France S.A.S.,,,,
fullcontact_335,Fujitsu,Australia,North Sydney,,1935-01-01
fullcontact_337,Galaxy Productions,United States,,,
fullcontact_338,"Gannett Co., Inc.",United States,McLean,,1960-01-01
fullcontact_342,Gazprom,Russia,Moscow,,
fullcontact_346,Gemalto,Netherlands,,,01.01.2006
fullcontact_347,Gemdale Corp.,China,SHENZHEN,,
fullcontact_348,Generali Group,Italy,,,01.01.1831
fullcontact_349,"General Mills, Inc.",,,,
fullcontact_350,Genting Berhad,Malaysia,,,
fullcontact_352,General Growth Properties,,Chicago,,
fullcontact_353,Givaudan,Swiss Confederation,Vernier,,
fullcontact_354,Gjensidige i Norge,Norway,Oslo,,
fullcontact_356,General Motors,Africa South,Stanger,,1908-01-01
fullcontact_357,Goldcorp Corporation,Canada,Vancouver,,
fullcontact_358,The Goodyear Tire & Rubber Company,,,,
fullcontact_359,Google Inc.,,,,01/01/1998
fullcontact_360,Google Inc.,United States,Mountain View,,1998-01-01
fullcontact_361,Grainger Colombia,United States,Lake Forest,,
fullcontact_362,Groupe SEB,France,Ecully Cedex,,
fullcontact_363,Grupo Argos,,,,
fullcontact_364,Grupo Aval,Colombia,,,
fullcontact_365,GRUPO BANCOLOMBIA,,,,
fullcontact_366,Grupo Bimbo,,,,
fullcontact_367,Gruppo Carige,Italy,,,
fullcontact_372,HDFC Ltd.,,,,
fullcontact_373,HeidelbergCement,,,,
fullcontact_375,Henry Schein Inc.,USA,Melville,,01/01/1932
fullcontact_376,Herbalife Ltd,India,Gurgaon,,01/01/80
fullcontact_377,HERSHEY'S,United States,Farmington,,
fullcontact_378,Hess Corp.,United States,Marysville,,
fullcontact_380,Hilton Worldwide,United States,,,1919-01-01
fullcontact_382,Hitachi,,"50 Prospect Ave Tarrytown, NY",,01.01.1910
fullcontact_383,H&M Clothing Company,Sweden,Stockholm,,
fullcontact_384,Holcim,Switzerland,Jona,,
fullcontact_385,HollyFrontier,United States,Dallas,,01.01.1947
fullcontact_386,The Home Depot,United States,Atlanta,,01.01.1978
fullcontact_387,Hormel Foods Corporation,United States,Austin,,
fullcontact_388,Hoya,Germany,Frankfurt,,
fullcontact_389,Hewlett-Packard,USA,Palo Alto,Dovid Paekard,01/01/1939
fullcontact_390,HSBC,United Kingdom,London,,
fullcontact_391,HugeDomains.com,United States,Denver,,
fullcontact_392,HugeDomains.com,USA,Denver,,
fullcontact_393,HugeDomains.com,,Denver,,
fullcontact_394,,United States,Denver,,
fullcontact_395,HugeDomains.com,United States,Denver,,
fullcontact_396,HugeDomains.com,United States,Denver,,
fullcontact_397,HugeDomains.com,,Denver,,
fullcontact_398,HugeDomains.com,USA,Denver,,
fullcontact_399,HugeDomains.com,United States,,,
fullcontact_400,HugeDomains.com,United States,Denver,,
fullcontact_402,Humana,United States,Louisville,,01/01/1961
fullcontact_403,Huntsman Corporation,,The Woodlands,,
fullcontact_405,Hyundai Steel,"North Korea,",,,
fullcontact_407,IBM,United States,Armonk,,
fullcontact_408,ICBC,Canada,North Vancouver,,
fullcontact_409,iHeartMedia Inc.,United States,,,
fullcontact_410,IHG Hotels Group,,,,
fullcontact_411,Interactive Iliad,USA,Norristown,,
fullcontact_412,"Illumina, Inc.",United States,,,1998-01-0
fullcontact_413,Inchcape Plc,Other,,,
fullcontact_414,Inditex,Spain,Arteixo,,
fullcontact_416,Infineon Technologies,Germany,"Neubiberg, Münch",,2000-01-01
fullcontact_417,Infor,United States,,,01/01/2002
fullcontact_419,Ingram Micro Inc.,USA,Irvine,,
fullcontact_420,Ingredion Incorporated (former Corn Products International),USA,Westchester,,
fullcontact_422,Integrys Energy Group,USA,Baltimore,,01/01/07
fullcontact_423,Intel in Deutschland,,,,01/01/1968
fullcontact_424,Inter RAO,,N0scpw,,01.01.1997
fullcontact_426,Intuit,United States,,,01.01.1983
fullcontact_427,Intuitive Surgical,,,Fred Moll,
fullcontact_428,Inventec,,,,
fullcontact_429,Invesco Canada,Canada,,,1958-01-01
fullcontact_430,Investec,South Africa,Cape Town,,
fullcontact_431,Türkiye İş Bankası,,,,
fullcontact_432,Israel Corp,Israel,Tc1 Aviv,,
fullcontact_437,JCPenney,,Plano,,1902-01-01
fullcontact_439,JGC Associates,United States,West Orange,,
fullcontact_440,JINDAL STEEL & POWER LIMITED,India,New Delhi,,
fullcontact_442,Johnson & Johnson,USA,New Brunswick,,01.01.1886
fullcontact_446,Julius Baer Group,Switzerland,Zürich,,01.01.1890
fullcontact_447,Juniper Networks,United States of America,Sunnyvale,,1999-01-01
fullcontact_448,Kajima,United States,,,
fullcontact_449,Kasikorn Bank,,Bangkok,,
fullcontact_450,KDDI Corporation,Nippon,Tokyo,,
fullcontact_451,Kellogg's Froot Loops®,,,,
fullcontact_452,Kering,France,PARIS,,
fullcontact_453,Kesko,Finland,Helsinki,,
fullcontact_454,Keyence Corporation,Japan,,,1974-01-01
fullcontact_456,Kimberly-Clark Corporation (United States),United States,,,01.01.1872
fullcontact_457,Kinnevik,,,,
fullcontact_458,Kintetsu International,United States,GardeNa,,01.01.1965
fullcontact_459,KLA Tencor,,,,
fullcontact_460,Kohl's Corporation,,,,1962-01-01
fullcontact_461,Komatsu Rental Ltd.,Japan,,,
fullcontact_462,KONE Areeco,,,,
fullcontact_463,"Konica Minolta Medical Imaging USA, Inc.",United States,Wayne,,1936-01-01
fullcontact_464,Kotak Mahindra Bank Ltd.,India,Mumbai,,1985-01-01
fullcontact_466,KPN,,"The Hague, Netherlands",,
fullcontact_467,Kroger,United States,Cincinnati,,
fullcontact_468,Kubota Tractor Corporation,,,,1972-01-01
fullcontact_470,Lafarge,Switzerland,Jona,,1924-01-01
fullcontact_472,Estatesgazette,,,,
fullcontact_473,Lear Corporation,,,,
fullcontact_474,Legrand,,,,
fullcontact_476,LG Electronics USA,,,,01/01/77
fullcontact_477,LG Co,South Korea,Seoul,,
fullcontact_479,Linde Services Group LLC,Germany,Munich,,
fullcontact_481,LKQ Route 16 Used Auto Parts,United States of America,Webster,,
fullcontact_482,Lloyds Banking Group Plc,,,,
fullcontact_483,Lufthansa,,Cologne,,1955-01-01
fullcontact_484,Lundbergs Produkter AB,Sweden,,,
fullcontact_485,LyondellBasell,,Houston,,
fullcontact_486,Mahlpwer,United States,Milwaukee,,01.01.1948
fullcontact_487,Manulife Financial Corp,Canada,,,1887-01-01
fullcontact_489,Markel Corporation,United States,Glen Allen,,
fullcontact_490,Marubeni Metal,,,,
fullcontact_491,MasterCard,United States,Purchase,,
fullcontact_494,Maxis,,,,
fullcontact_495,Maybank,Malaysia,Kuala Lumpur,,
fullcontact_496,McDonald's Corporation,United States,Oak Brook,,1955-01-01
fullcontact_497,McKesson Corp.,United States,SF,,1833-01-01
fullcontact_498,Mead Johnson,,,,
fullcontact_499,Mechel OAO,Russia,,,
fullcontact_500,Media Option,,,,01/01/07
fullcontact_501,MediaTek,Taiwan,,,
fullcontact_502,"Medtronic, Inc.",United States,Minneapolis,,01/01/1949
fullcontact_504,"Company, & Merck Inc.",,Kenilworth,,
fullcontact_507,METRO GROUP,Germany,Düsseldorf,,
fullcontact_508,Metso,Finland,Helsinki,,01/01/1999
fullcontact_509,Meyer & Partenaires,,,,
fullcontact_510,MGM Resorts International,,,,
fullcontact_512,Microsoft,,Redmond,,01.01.1975
fullcontact_514,Mitsubishi Elevator India Pvt. Ltd.,India,Chennai,,2012-01-01
fullcontact_515,Mitsubishi North America,,,,
fullcontact_517,MONDI (Shanghai) International Limited,Hong Kong,,,1967-01-01
fullcontact_518,Monsanto Company,United States,St. Louis,,
fullcontact_519,Moody Services,Unitcd 5tates,Baytown,,
fullcontact_520,Morgan Stanley,United States,York New,,
fullcontact_521,Mosaic Sales Solutions,United States,Irving,,
fullcontact_522,"Motorola Solutions, Inc.",United States,,,
fullcontact_524,MWV Netherlands B.V.,Netherlands,Roosendaal,,
fullcontact_525,Mylan Inc.,,,,
fullcontact_526,Nasdaq,United States,New York,Lisa Weiner,
fullcontact_527,National Grid,,,,
fullcontact_528,Natixis,France,Paris,,
fullcontact_529,NCC Group Website Performance & Optimisation,United kingdom,Manchester,,
fullcontact_530,NCR Corporation,USA,Denver,,
fullcontact_531,NEC Corporation,Taiwan,,,
fullcontact_533,Neste,Finland,Espoo,,
fullcontact_534,Nestlé,Switzerland,Vevey,,
fullcontact_535,NETAPP Corporation,United States,Sunnyvale,,01/01/92
fullcontact_536,Netflix,United States,Los Gatos,,01/01/1997
fullcontact_540,Nikon,,Tokyo,,
fullcontact_541,"Nintendo Co., Ltd.",Nippon,,,01/01/1889
fullcontact_543,NiSource,United States,Merrillville,,
fullcontact_545,Nokia Corporation,,Helsinki,,01.01.2012
fullcontact_546,Nomura’s Healthcare,Japan,,,
fullcontact_548,Northrop Grumman Corporation,United States,Falls Church,,
fullcontact_549,Novatek,United States,,,
fullcontact_550,Novozymes,Denmark,,,01/01/00
fullcontact_551,Norfolk Southern Corp.,,Norfolk,,
fullcontact_552,BarNY,,,,
fullcontact_553,NTPC,,,,
fullcontact_554,Nucor Corporation,United State,Carlotta,,
fullcontact_555,Nvidia,,,,01.01.1993
fullcontact_556,LeaveXpert by Optis,,,,
fullcontact_557,OLYMPUS OPTICAL LIMITED,,,,
fullcontact_559,"ONEOK, Inc.",United States,"Tulsa, Oklahoma",,
fullcontact_560,Onex,Canada,,,01/01/1984
fullcontact_561,Oracle Corporation,United States,,,01/01/1977
fullcontact_562,Orange,French Republic,Paris,,
fullcontact_564,Orica,,,,01/01/1874
fullcontact_565,Orix,Japan,Dallas,,
fullcontact_566,Orkla Foods Norge,,,,
fullcontact_567,OshKosh B'gosh,,,,
fullcontact_568,FC Otkritie Bank,,,,
fullcontact_569,Outokumpu Group,Finland,Espoo,,
fullcontact_570,PACCAR,United States,,,01.01.1905
fullcontact_572,Panasonic / Worldwide Olympic Partner and Worldwide Paralympic Partner,United States,Newark,,01/01/1957
fullcontact_573,Pandora,United States,Oakland,,01/01/2000
fullcontact_574,Parker-Hannifin,,Marion,,
fullcontact_580,PepsiCo,United States,Purchase,,1898-01-01
fullcontact_582,Petrobras,,Rio de Janeiro,,1953-01-01
fullcontact_583,Petro Rabigh,Saudi Arabia,Rabigh,,01/01/2005
fullcontact_584,"PetSmart, Inc",United Sta,Phoenix,,01/01/1987
fullcontact_586,Pfizer,United States,New York,,01/01/1848
fullcontact_588,Philips PRESSE,,,,
fullcontact_589,Σκέψου Πάσινα,,,,
fullcontact_590,Pirelli,Italy,Milan,,
fullcontact_591,PLDT Public Affairs,,,,
fullcontact_592,Philip Morris International,United States,,,
fullcontact_596,POSCO,South Korea,Seoul,,1968-01-01
fullcontact_597,Pacific Power,United States,Portland,,
fullcontact_598,Prada,Italy,Milan,,
fullcontact_599,"Praxair, Inc.",,,,
fullcontact_601,Principal Financial Group,United States,Des Moines,,01/01/1879
fullcontact_602,Progressive Insurance,United States,,,
fullcontact_603,Prologis,United States,,,
fullcontact_604,Protective Life Corporation,United States,,,
fullcontact_606,Prudential - Bring your Challenges,United States,Newark,,01.01.1875
fullcontact_607,Prudential - Bring your Challenges,United States,,,1875-01-01
fullcontact_608,Group Prysmian,Italy,Milan,,
fullcontact_609,Publicis Groupe,France,,,
fullcontact_612,PVH Corp.,United States,NYC,,1881-01-01
fullcontact_613,Qualcomm,,CaliforniaSan Diego,,01.01.1985
fullcontact_615,Rakuten.com,United States,,,
fullcontact_616,Randstad Holding,Netherlands,Amsterdam,,1960-01-01
fullcontact_617,Ranger Resources,States,,,
fullcontact_618,"Raymond James Financial, Inc.",United States,,,
fullcontact_620,REINWERK Informatik AG,Switzerland,Urdorf,,2010-01-01
fullcontact_621,Remgro Limited,South Africa,Stellenbosch,,
fullcontact_622,Guía Repsol,,,,
fullcontact_623,Rexel,French Republic,PARIS,,
fullcontact_624,"Reynolds Transformation Services, Inc.",United States,Ardmore,,
fullcontact_625,Richemont,,,,01.01.1988
fullcontact_626,リコー / RICOH,Japan,Chuo-ku,,01/01/1936
fullcontact_627,Rio Tinto Plc,,,,
fullcontact_628,Rite Aid Corporation,,,,
fullcontact_630,"Rockwell Collins, Inc.",,,,1933-01-01
fullcontact_631,Rosneft,Russia,,,
fullcontact_632,Ross Dress for Less,United Sta,Dublin,,
fullcontact_633,RTL Group,Luxembourg,Luxembourg,,
fullcontact_634,RWE Intelligente Energie,Germany,Essen,,
fullcontact_635,SABMiller PLC,United Kingdom,London,,1895-01-01
fullcontact_636,Safeway Stores Inc.,,,,
fullcontact_637,Safran Software Solutions,Norway,,,01/01/97
fullcontact_638,SAINT-GOBAIN,France,Courbevoie,,
fullcontact_642,SanDisk,United States,Mi1pitos,,01/01/1988
fullcontact_643,Las Vegas Sands,United States,,,
fullcontact_644,Sanlam,South Africa,Bellville,,
fullcontact_646,Banco Santander,Spain,Madrid,,
fullcontact_647,Saputo Inc,Canada,,,
fullcontact_649,SBI,,,,
fullcontact_650,Svenska Cellulosa Aktiebolaget (SCA),Sweden,,,
fullcontact_652,Schindler Group,Switzerland,Ebikon,,
fullcontact_653,Schneider Electric,,"HQ in Paris, France",,01/01/1836
fullcontact_654,Schroders,United Kingdom,,,
fullcontact_655,SCOR,France,,,q970-pq-01
fullcontact_657,Seadrill,,,,
fullcontact_658,Securitas Group,United Kingdom,Uxbridge,,
fullcontact_659,SES Satellites,Luxembourg,Betzdorf,,
fullcontact_662,Sharp HealthCare,United States,,,01/01/91
fullcontact_663,Sherwin-Williams,,Cleveland,,
fullcontact_667,Shire,Republic of Ireland,,,
fullcontact_668,The Official Shiseido (USA) Page,Canada,,,
fullcontact_670,Siemens,Canada,München,,01.01.1847
fullcontact_671,Sigma-Aldrich Corporation,United States,St. Louis,,
fullcontact_672,Signature Bank,,,,01/01/06
fullcontact_673,Sika AG,Switzerland,Baar,,1910-01-01
fullcontact_674,Silver Wheaton Corp,,,,
fullcontact_675,Sime Darby,,,,
