id,name,releaseYear,developer,platform,genres,series
dbpedia_43,Redcon,"January 01, 2016",He xage,Mac OS X,Real-time strategy,
dbpedia_44,Virtua Tennis 4,,Sega,PS3,Sports game,Virtua Tennis (series)
dbpedia_45,Karous,"January 01, 2006",Milestone (Japanese developer),3DS,Shoot 'em up,
dbpedia_46,Happy Tree Friends: False Alarm,"January 01, 2008",Stainless Games,Xbox 360,,
dbpedia_47,Star Wars: Battlefront,"January 01, 2005",Beenox,Microsoft Windows,First-person shooter,Star Wars: Battlefront
dbpedia_48,Samurai Shodown,"January 01, 1993",Japan Home Video,Neo Geo (system),Fighting game,
dbpedia_49,Oxenfree,"January 01, 2016",Night School Studio,PS4,Graphic adventure game,
dbpedia_50,Risk,"January 01, 2009",Runecraft,Apple II,Turn-based strategy,
dbpedia_51,NBA Live 96,"January 01, 1995",Tiertex Design Studios,Game Boy,Sports video game,NBA Live
dbpedia_52,Batman: The Dark Knight,,Pandemic Studios,Xbox 360,Stealth game,
dbpedia_53,List of Monster Jam video games,"January 01, 2014",,GameCube,Racing game,
dbpedia_54,Shin Onigashima,"January 01, 2014",Nintendo R&D4,Game Boy Advance,,
dbpedia_55,NHL 2002,"January 01, 2001",PlayStation 2,PS2,Sports game,NHL (video game series)
dbpedia_56,Spore Creatures,"January 01, 2008",Electronic Arts,BlackBerry,Roleplaying game,
dbpedia_57,Risk,"January 01, 2009",Runecraft,MS-DOS,Turn-based strategy,
dbpedia_58,Rayman M,"January 01, 2002",Ubi Soft Milan,PlayStation,Racing game,Rayman
dbpedia_59,Dragonriders: Chronicles of Pern,"January 01, 2001",Ubisoft,Dreamcast,Adventure game,Dragonriders of Pern
dbpedia_60,Ant Nation,"January 01, 2009","Art Co., Ltd",Wii,Real time strategy,
dbpedia_61,Tombs & Treasure,"January 01, 1988",Compile (publisher),FM-7,Role-playing video game,
dbpedia_62,Armored Core: Last Raven,"January 01, 2005",FromSoftware,PlayStation Portable,Third-person shooter,
dbpedia_63,Baldur's Gate: Siege of Dragonspear,,Beamdog,Linux,Role-playing video game,
dbpedia_64,Boku no Natsuyasumi 3,"January 01, 2007",Millennium Kitchen,PS3,Adventure game,
dbpedia_65,Crown and Council,"January 01, 2016",Mojang,MacOS,Turn-based strategy,
dbpedia_66,Shoot Many Robots,"January 01, 2012",,Microsoft Windows,Shooter game,
dbpedia_67,Michael Jackson: The Experience,"January 01, 2012",,,Music video game,
dbpedia_68,NeverDead,"January 01, 2012",Rebellion Developments,PS3,Hack and slash,
dbpedia_69,Metal Max Xeno,"January 01, 2018",Cattle Call (company),PS4,Role-playing video game,Metal Max (series)
dbpedia_70,List of Monster Jam video games,"January 01, 2002",Virtuos,Xbox One,Vehicular combat game,
dbpedia_71,Power Drift,,Sega AM2,MSX,Kart racing game,
dbpedia_72,Evolution: The World of Sacred Device,"January 01, 1999",SNK,Dreamcast,Roguelike,
dbpedia_73,SpongeBob SquigglePants,"January 01, 2011",,3DS,Action video game,
dbpedia_74,Buffy the Vampire Slayer: Chaos Bleeds,"January 01, 2003",Eurocom Entertainment Software,GameCube,Action video game,
dbpedia_75,Lego Harry Potter: Years 5–7,"January 01, 2011",TT Fusion,OS X,Action-adventure game,
dbpedia_76,Mega Man,"January 01, 1987",Capcom,Playstation,Platform game,Mega Man (original series)
dbpedia_77,Oddworld: Stranger's Wrath,"January 01, 2022",BlackBerry,PS3,Third-person shooter,Oddworld
dbpedia_78,Angry Birds Friends,"January 01, 2019",Rovio Entertainment,Microsoft Windows,Puzzle video game,
dbpedia_79,Dynasty Warriors: Gundam 2,,Omega Force,PS2,Hack and slash,Mobile Suit Gundam
dbpedia_80,Yoot Tower,"January 01, 1998",OPeNBooK9003,Mac OS,Construction and management simulation games,
dbpedia_81,Heroes of Dragon Age,"January 01, 2013",,IOS,Tactical role-playing game,Dragon Age
dbpedia_82,Oddworld: Stranger's Wrath,"January 01, 2015",Oddworld Inhabitants,Android (operating system),Third-person shooter,
dbpedia_83,Donkey Kong,"January 01, 1983",Nintendo Research & Development 1,Atari 2600,Platform game,Donkey Kong
dbpedia_84,The Talos Principle,"January 01, 2017",Croteam,Microsoft Windows,Puzzle video game,
dbpedia_85,Jet Set Radio,"January 01, 2012",BlitWorks,"Java Platform, Micro Edition",Action game,
dbpedia_86,Dark Summit,"January 01, 2001",Radical Entertainment,Xbox,Snowboarding video game,
dbpedia_87,Disney's Brother Bear,"January 01, 2003",KnowWonder Digital Mediaworks,Mobile phone,Platform game,
dbpedia_88,Shin Megami Tensei II,"January 01, 2002",,Game Boy Advance,Role-playing video game,
dbpedia_89,Shrek 2,"January 01, 2004",Vicarious Visions,Game Boy Advance,Action-adventure game,
dbpedia_90,Grandia II,"January 01, 2000",Game Arts,Switch,Role-playing video game,
dbpedia_91,Super Ninja Boy,"January 01, 1991",Culture Brain,Super Nintendo,Action role-playing game,Super Chinese
dbpedia_92,Silent Scope,"January 01, 2000",Now Production,IOS,Shoot 'em up,
dbpedia_93,Astonishia Story,"January 01, 2005",Compile Heart,Mobile phone,Role-playing video game,
dbpedia_94,Assassin's Creed Rogue,"January 01, 2018",Ubisoft Sofia,PS3,Action-adventure game,
dbpedia_95,FIFA 11,"January 01, 2010",Android (operating system),Xbox 360,Sports game,FIFA (video game series)
dbpedia_96,Hydlide,"January 01, 1984",T&E Soft,PC-6001,Action role-playing game,
dbpedia_97,Digimon Story: Cyber Sleuth – Hacker's Memory,"January 01, 2017",Media.Vision,Windows,Role-playing video game,List of Digimon video games
dbpedia_98,List of Fire Pro Wrestling games,"January 01, 2002",Spike (company),Dreamcast,Fighting game,
dbpedia_99,Tales of Zestiria,"January 01, 2015",,PS4,Action role-playing game,Tales (video game series)
dbpedia_100,Jet Set Radio,"January 01, 2012",BlitWorks,Android (operating system),Sports game,
dbpedia_101,Dr. Mario,,Nintendo Research & Development 1,Game Boy Advance,Puzzle video game,
dbpedia_102,Enclave,"January 01, 2002",Starbreeze Studios,Xbox,Action role-playing game,
dbpedia_103,Another World,"January 01, 2011",Interplay Entertainment,3DS,Action game,
dbpedia_104,Mega Man X3,"January 01, 1995",Minakuchi Engineering,3DO Interactive Multiplayer,Platform game,
dbpedia_105,Street Fighter II: Champion Edition,"January 01, 1992",Capcom,PC Engine,Fighting game,Street Fighter
dbpedia_106,Wizardry: Proving Grounds of the Mad Overlord,"January 01, 1999",Sir-Tech,IBM Personal Computer,Role-playing video game,Wizardry
dbpedia_107,Diva Starz: Mall Mania,"January 01, 2001",EA DICE,,Action game,
dbpedia_108,Lego Star Wars II: The Original Trilogy,"January 01, 2006",Universomo,DS,Action-adventure game,
dbpedia_109,Oddworld: Stranger's Wrath,"January 01, 2020",Just Add Water (company),Android (operating system),Action-adventure game,
dbpedia_110,List of Fire Pro Wrestling games,"January 01, 1995",Human Entertainment,PS2,Fighting game,Fire Pro Wrestling
dbpedia_112,College Hoops 2K7,"January 01, 2007",Visual Concepts,Xbox 360,Sports video game,
dbpedia_113,Another World,"January 01, 2018",Interplay Entertainment,PS4,Action game,
dbpedia_115,Theme Park,"January 01, 1995",EA Japan,Amiga CD32,Construction and management simulation game,
dbpedia_116,Faces...tris III,,Spectrum HoloByte,Amiga,Puzzle video game,
dbpedia_117,De Blob,"January 01, 2008",BlitWorks,Switch,Puzzle-platform game,
dbpedia_118,List of Monster Jam video games,"January 01, 2003",Rainbow Studios,Microsoft Windows,Racing video game,
dbpedia_119,F1 2016,"January 01, 2016",Codemasters,PS4,Racing video game,
dbpedia_121,Monster Hunter Freedom Unite,"January 01, 2008",Capcom,IOS,Action role-playing game,Monster Hunter
dbpedia_122,Another World,"January 01, 2014",Delphine Software International,TI-84 Plus CE,Platform game,
dbpedia_123,Call of Duty: Black Ops,"January 01, 2012",Treyarch,Wii,First-person shooter,Call of Duty
dbpedia_124,Kung Fu Panda: Showdown of Legendary Legends,"January 01, 2015",Vicious Cycle Software,PS4,Fighting game,
dbpedia_125,World of Warcraft: Battle for Azeroth,,Blizzard Entertainment,Microsoft Windows,Massively multiplayer online role-playing game,Warcraft
dbpedia_126,Gauntlet,"January 01, 1985",Tengen (company),Nintendo Entertainment System,Hack and slash,
dbpedia_127,Surf's Up,"January 01, 2007",Ubisoft Quebec,Xbox 360,Sports game,
dbpedia_128,Oddworld: Stranger's Wrath,"January 01, 2015",IOS,,Third-person shooter,
dbpedia_129,Daisenryaku,"January 01, 1991",SystemSoft Alpha,Windows 98,,
dbpedia_130,You Don't Know Jack (Facebook game),"January 01, 2012",Jackbox Games,Android (operating system),Party game,You Don't Know Jack (franchise)
dbpedia_131,Full Tilt! Pinball,"January 01, 1995",Microsoft,Macintosh operating systems,Arcade game,
dbpedia_132,Shinobi,"January 01, 2002",Overworks,PS2,,
dbpedia_133,Kingdom Hearts HD 1.5 Remix,"January 01, 2013",Square Enix,PS3,Action role-playing game,
dbpedia_134,Prison Architect,"January 01, 2015",Introversion Software,IOS,Construction and management simulation,
dbpedia_135,Fate of Hellas,"January 01, 2007",World Forge,Microsoft Windows,Real-time strategy,
dbpedia_136,Terraria,"January 01, 2014",Re-Logic,PlayStation Vita,Sandbox game,
dbpedia_137,SteamWorld Heist,"January 01, 2020",Image & Form,Switch,Action-adventure game,SteamWorld
dbpedia_138,Hardcore 4X4,"January 01, 1996",Gremlin Interactive,Sega Saturn,Racing,
dbpedia_139,Shienryu,"January 01, 1997",WaraShi,PS2,Shoot 'em up,
dbpedia_140,List of Saiyuki video games,"January 01, 2001",GungHo Online Entertainment,Windows XP,Adventure game,
dbpedia_141,Lumo,"January 01, 2017",Just Add Water (company),Linux,3D platformer,
dbpedia_142,Agents of Mayhem,"January 01, 2017",Volition (company),Microsoft Windows,Action-adventure game,
dbpedia_143,Baldo: The Guardian Owls,"January 01, 2021",NAPS team,Microsoft Windows,Role-playing video game,
dbpedia_144,Cars 2,,,IOS,Racing game,
dbpedia_145,Lemony Snicket's A Series of Unfortunate Events,"January 01, 2004",Adrenium Games,PS2,Platform game,
dbpedia_146,Utawarerumono: Mask of Truth,"January 01, 2016",Aquaplus,PlayStation Vita,Tactical role-playing game,
dbpedia_147,Cloud Master,"January 01, 1988",,X68000,Scrolling shooter,
dbpedia_148,Tom Clancy's Ghost Recon: Future Soldier,"January 01, 2012",,Microsoft Windows,,Tom Clancy's Ghost Recon
dbpedia_149,Outlaw Golf,"January 01, 2002",Hypnotix,GameCube,Sports game,
dbpedia_150,James Bond 007: Nightfire,,Gearbox Software,PS2,First-person shooter,
dbpedia_151,List of Monster Jam video games,"January 01, 2016",Team6 Game Studios,Google Stadia,Racing game,Monster Jam
dbpedia_152,Oddworld: Stranger's Wrath,"January 01, 2011",BlackBerry,Xbox One,Action-adventure game,
dbpedia_153,Section 8,"January 01, 2010",TimeGate Studios,Xbox 360,First-person shooter,
dbpedia_154,Judge Dredd,"January 01, 1995",,Microsoft Windows,Action game,
dbpedia_155,Brunswick Pro Bowling,"January 01, 2010",FarSight Studios,,Sports,
dbpedia_156,Worms World Party,"January 01, 2003",Team17,Game Boy Advance,Artillery game,
dbpedia_157,Centipede,"January 01, 1998",Mondo Media,Macintosh,Shoot 'em up,
dbpedia_158,Shrek Forever After,"January 01, 2010",XPEC Entertainment,Xbox 360,Action-adventure game,
dbpedia_159,Kingdom Hearts χ,"January 01, 2013",Square Enix,IOS,Role-playing video game,
dbpedia_160,Mega Man Legacy Collection,"January 01, 2015",Capcom,,Real-time tactics,Mega Man Battle Network
dbpedia_161,Obsidian,"January 01, 1997",Rocket Science Games,Mac OS,Adventure game,
dbpedia_162,Pitfall: The Lost Expedition,"January 01, 2006",Beenox,Game Boy Advance,Action game,
dbpedia_163,List of Monster Jam video games,"January 01, 2008",Ubi Soft Barcelona,PS4,Racing game,
dbpedia_164,Temple Run,"January 01, 2011",Imangi Studios,Android (operating system),Endless runner,
dbpedia_165,Who Framed Roger Rabbit,"January 01, 1988",Disney Interactive Studios,DOS,Action game,
dbpedia_166,Cabela's Dangerous Hunts 2013,"January 01, 2012",,Wii U,Sports game,
dbpedia_167,Trine,"January 01, 2015",Frozenbyte,Switch,Action-adventure,
dbpedia_168,WWF Royal Rumble,"January 01, 2000",Yuke's,Video game arcade cabinet,Fighting game,
dbpedia_169,NASCAR 2000,"January 01, 1999",Software Creations (UK),Microsoft Windows,Racing game,
dbpedia_170,Micro Commandos,"January 01, 2002",Monte Cristo (company),Microsoft Windows,Real-time strategy,
dbpedia_171,Sega Rally Revo,"January 01, 2007",Bugbear Entertainment,PS3,,
dbpedia_172,Cruis'n Exotica,"January 01, 2000",,Arcade game,Racing,Cruis'n (series)
dbpedia_173,Cabela's Outdoor Adventures,"January 01, 2005",Fun Labs,Microsoft Windows,Action game,
dbpedia_175,Nicktoons Unite!,,Climax Studios,GameCube,Action-adventure game,
dbpedia_176,Dream Chronicles: The Chosen Child,"January 01, 2011",,MacOS,Adventure game,
dbpedia_177,Sonic Jump,"January 01, 2012",Hardlight,Android (operating system),Platform game,
dbpedia_178,The Amazing Spider-Man,"January 01, 2012",Beenox,PlayStation Vita,Action-adventure game,
dbpedia_179,Elite,"January 01, 1984",Ian Bell (programmer),BBC Micro,Space trading and combat simulator,
dbpedia_180,Lemmings,"January 01, 1991",,ZX Spectrum,Puzzle video game,
dbpedia_181,The Walking Dead: Michonne,"January 01, 2016",,Android (operating system),Interactive movie,
dbpedia_182,Worms,"January 01, 1995",Team17,Playstation,Artillery game,
dbpedia_183,Sheep,"January 01, 2002",Capcom,Playstation,Strategy video game,
dbpedia_184,Disney Infinity 2.0,"January 01, 2014",Avalanche Software,Xbox One,Toys-to-life,
dbpedia_186,Quake,"January 01, 1997",Id Software,Xbox One,First-person shooter,Quake (series)
dbpedia_187,Aggressive Inline,"January 01, 2002",Z-Axis,,Sports game,
dbpedia_188,List of Rock Band track packs,"January 01, 2008",Pi Studios,PS2,Music video game,
dbpedia_190,Counter-Strike: Global Offensive,"January 01, 2012",Valve Corporation,Xbox 360,Tactical shooter,
dbpedia_191,The Nightmare Before Christmas: Oogie's Revenge,"January 01, 2004",TOSE,Xbox,Hack and slash,
dbpedia_192,Disney's Dinosaur,"January 01, 2000",Digital Eclipse,Playstation,Adventure game,
dbpedia_193,List of Fire Pro Wrestling games,"January 01, 2013",Human Entertainment,PC Engine,Professional wrestling,Fire Pro Wrestling
dbpedia_194,Gabriel Knight: Sins of the Fathers,,Sierra On-Line,Macintosh,Point-and-click adventure game,Gabriel Knight
dbpedia_195,Putt-Putt Saves the Zoo,"January 01, 2014",Humongous Entertainment,Mac OS,Adventure game,
dbpedia_196,Howrse,"January 01, 2014",Owlient,Browser game,Simulation video game,
dbpedia_197,Police Quest II: The Vengeance,,Sierra Entertainment,MS-DOS,Adventure game,
dbpedia_198,From Russia with Love,"January 01, 2005",Rebellion Developments,Xbox,Third-person shooter,
dbpedia_199,Socket,"January 01, 1993",Vic Tokai,Sega Genesis,Platform game,
dbpedia_200,The Fancy Pants Adventures,"January 01, 2017",Brad Borne,Windows,Platform game,
dbpedia_201,Hugo,,Interactive Television Entertainment,Commodore 64,Action game,Hugo (series)
dbpedia_202,Grey Goo,"January 01, 2015",Petroglyph Games,Microsoft Windows,Real-time strategy,
dbpedia_203,Rocksmith 2014,,Ubisoft San Francisco,Xbox One,Music video game,
dbpedia_204,Yoshi's Cookie,"January 01, 1993",Blue Planet Software,Game Boy,Puzzle video game,List of Yoshi video games
dbpedia_205,Rayman Origins,"January 01, 2012",Ubisoft Montpellier,OS X,Platform game,
dbpedia_206,The Walking Dead: Season Two,"January 01, 2014",Telltale Games,Xbox One,Interactive movie,The Walking Dead (video game series)
dbpedia_207,Lego Jurassic World,"January 01, 2016",TT Fusion,Switch,Action-adventure game,
dbpedia_208,Mat Hoffman's Pro BMX 2,"January 01, 2002",Rainbow Studios,GameCube,Sports game,
dbpedia_209,Volume,"January 01, 2015",,PS4,Stealth game,
dbpedia_210,Wolfenstein 3D,"January 01, 1994",Id Software,3DO Interactive Multiplayer,First-person shooter,Wolfenstein
dbpedia_211,Street Fighter Alpha,"January 01, 1995",Crawfish Interactive,Playstation,Fighting game,
dbpedia_212,Divinity: Original Sin II,"January 01, 2017",Larian Studios,Switch,Role-playing video game,Divinity (series)
dbpedia_213,Barnyard,"January 01, 2006",Blue Tongue Entertainment,PS2,Party game,
dbpedia_214,Crack Down,"January 01, 1990",Sega,Commodore 64,Shoot 'em up,
dbpedia_215,Fall Guys,"January 01, 2020",Mediatonic,PlayStation 5,Platform game,
dbpedia_216,Marvel: Ultimate Alliance 2,"January 01, 2009",N-Space,Xbox 360,Action role-playing,
dbpedia_217,Record of Lodoss War: Deedlit in Wonder Labyrinth,"January 01, 2021",,Microsoft Windows,,
dbpedia_218,Puzzle Quest: Galactrix,"January 01, 2009",Infinite Interactive,DS,Puzzle video game,
dbpedia_219,Dragon Ball Z: Budokai 3,"January 01, 2004",Dimps,PS2,Versus fighting game,
dbpedia_220,Winnie the Pooh's Rumbly Tumbly Adventure,"January 01, 2005",,GameCube,Action-adventure game,Winnie the Pooh (franchise)
dbpedia_221,Hamtaro (video game series),,ImaginEngine,,Computer puzzle game,
dbpedia_222,List of Monster Jam video games,"January 01, 2003",,Xbox 360,,
dbpedia_223,Formula One 2001,"January 01, 2001",Studio 33,Playstation,Racing video game,
dbpedia_224,Oddworld: Stranger's Wrath,"January 01, 2014",IOS,Microsoft Windows,Third-person shooter,
dbpedia_225,Toy Story,"January 01, 1996",Traveller's Tales,Nintendo Entertainment System,,
dbpedia_226,Shrek 2,"January 01, 2004",Vicarious Visions,GameCube,Beat 'em up,
dbpedia_227,The Amazing Spider-Man 2,"January 01, 2014",Beenox,PS4,Action-adventure game,
dbpedia_228,Barnyard,"January 01, 2006",Halfbrick,GameCube,Adventure game,
dbpedia_229,Star Wars: Episode III – Revenge of the Sith,"January 01, 2005",LucasArts,Xbox,Action game,
dbpedia_230,Killing Floor,"January 01, 2009",Tripwire Interactive,Microsoft Windows,First-person shooter,
dbpedia_231,O-Chan no Oekaki Logic,"January 01, 1995",Sunsoft,Mobile phone,Nonogram,Hebereke (series)
dbpedia_232,TwinBee,,Konami,PS4,,
dbpedia_233,Samurai Shodown IV,"January 01, 1996",SNK,Neo Geo CD,Fighting game,Samurai Shodown
dbpedia_234,Lemmings,"January 01, 1993",Sunsoft,PlayStation,Puzzle video game,
dbpedia_235,Mortal Kombat 4,"January 01, 1998",Personal computer,Playstation,Fighting game,Mortal Kombat
dbpedia_236,Turmoil,"January 01, 2016",Gamious,Windows,Simulation video game,
dbpedia_237,Dragon Ball Z: Idainaru Dragon Ball Densetsu,"January 01, 1996",Bandai Entertainment Company,Playstation,Fighting game,List of Dragon Ball video games
dbpedia_238,Fallout 3 downloadable content,"January 01, 2009",Bethesda Game Studios,Xbox 360,,
dbpedia_240,The 7th Guest,"January 01, 1993",Trilobyte (company),IOS,Puzzle adventure game,
dbpedia_241,Worms World Party,"January 01, 2005",The Code Monkeys,Microsoft Windows,Strategy game,Worms (series)
dbpedia_242,Theme Park,"January 01, 1995",,PC-98,Construction and management simulation game,
dbpedia_243,Sonic Colors,"January 01, 2021",Sonic Team,Amazon Luna,Action-adventure,Sonic the Hedgehog
dbpedia_244,Wacky Races: Starring Dastardly and Muttley,"January 01, 2000",Gremlin Interactive,Dreamcast,Racing video game,
dbpedia_246,Dead Space: Extraction,"January 01, 2009",Eurocom,Wii,Shoot 'em up,
dbpedia_247,Avatar: The Last Airbender,"January 01, 2006",Halfbrick,Xbox,,
dbpedia_249,Battle Garegga,"January 01, 2016",M2 (game developer),Xbox One,Shoot 'em up,
dbpedia_250,Cho Aniki,"January 01, 2000",X-Nauts,PS2,Fighting game,
dbpedia_251,NBA Jam,"January 01, 1995",Iguana Entertainment,Arcade game,Sports game,NBA Jam (series)
dbpedia_252,The King of Fighters '95,"January 01, 1995",,Playstation,Fighting game,The King of Fighters
dbpedia_253,MageSlayer,,Raven Software,Microsoft Windows,Third-person shooter,
dbpedia_254,Layers of Fear 2,"January 01, 2021",Bloober Team,Xbox One,Psychological horror game,
dbpedia_255,Major League Baseball 2K7,"January 01, 2007",Kush Games,PS2,Sports game,
dbpedia_256,Ultima II: The Revenge of the Enchantress,"January 01, 1982",Richard Garriott,Atari ST,Role-playing video game,Ultima (series)
dbpedia_257,Baseball Stars 2,"January 01, 1992",M2 (game developer),Neo Geo (system),Sports game,
dbpedia_258,System Shock 2,"January 01, 1999",Irrational Games,Windows,First-person shooter,
dbpedia_259,MotoHeroz,"January 01, 2012",RedLynx,Wii,Platform game,
dbpedia_260,Prince of Persia: The Two Thrones,"January 01, 2005",Ubisoft Casablanca,GameCube,Hack and slash,
dbpedia_261,The Hitchhiker's Guide to the Galaxy,"January 01, 1984",Infocom,Amiga,Interactive fiction,
dbpedia_262,Ghouls 'n Ghosts,"January 01, 2017",Capcom,Virtual Console,Platform game,Ghosts 'n Goblins
dbpedia_263,Growtopia,"January 01, 2019",Ubisoft Abu Dhabi,Microsoft Windows,Adventure game,
dbpedia_264,Might & Magic: Clash of Heroes,"January 01, 2011",Capybara Games,DS,Adventure game,
dbpedia_265,Spider-Man: Web of Shadows,"January 01, 2008",Griptonite Games,PlayStation Portable,Metroidvania,
dbpedia_266,Jet Set Radio,"January 01, 2012",BlitWorks,Dreamcast,Platform game,
dbpedia_267,Mortal Kombat: Armageddon,"January 01, 2006",Midway Games,Xbox,Fighting game,Mortal Kombat
dbpedia_268,Bit.Trip Void,"January 01, 2012",Choice Provisions,Switch,Rhythm game,Bit.Trip
dbpedia_269,Jane's ATF: Advanced Tactical Fighters,"January 01, 1997",Electronic Arts,Microsoft Windows,Combat flight simulator,
dbpedia_270,Angry Birds,,RovioEntertainment,3DS,Puzzle video game,
dbpedia_271,Rome: Total War,"January 01, 2016",Creative Assembly,Microsoft Windows,Real-time tactics,
dbpedia_272,The Escapists 2,"January 01, 2017",Team17,PS4,Strategy video game,
dbpedia_273,Bokosuka Wars,"January 01, 1985",ASCII (company),NEC PC-8801,,
dbpedia_274,The Mage's Tale,"January 01, 2017",InXile Entertainment,Oculus Rift,Role-playing video game,The Bard's Tale
dbpedia_275,Disney's Dinosaur,"January 01, 2000",Sandbox Studios,,Action game,
dbpedia_276,Oddworld: Munch's Oddysee,"January 01, 2001",PlayStation 3,Microsoft Windows,Platform game,
dbpedia_277,Metro Exodus,"January 01, 2021",4A Games,PS4,First-person shooter,Metro (franchise)
dbpedia_278,Scribblenauts Unlimited,"January 01, 2018",5th Cell,Android (operating system),Sandbox game,Scribblenauts (video game series)
dbpedia_279,The Horde,"January 01, 1997",Toys for Bob,DOS,Strategy video game,
dbpedia_280,Resogun,"January 01, 2014",Housemarque,PlayStation Vita,Side-scrolling video game,
dbpedia_281,Daisenryaku,"January 01, 2006",Genki (comPany),Windows 98,Turn-based strategy,
dbpedia_282,Wonder Boy III: The Dragon's Trap,"January 01, 1991",Westone Bit Entertainment,Mobile phone,Action-adventure game,Wonder Boy
dbpedia_283,SpyHunter,"January 01, 2003",Midway Games,Microsoft Windows,Vehicular combat game,
dbpedia_284,Tom Clancy's Rainbow Six: Rogue Spear,"January 01, 1999",Majesco Entertainment,Dreamcast,Tactical shooter,Tom Clancy's Rainbow Six
dbpedia_285,Icewind Dale: Enhanced Edition,"January 01, 2014",Overhaul Games,Microsoft Windows,Role-playing video game,
dbpedia_286,Bejeweled Twist,"January 01, 2009",PopCap Games,Symbian^3,Puzzle video game,Bejeweled (series)
dbpedia_287,List of Fire Pro Wrestling games,"January 01, 2012",,Game Boy Advance,Fighting game,
dbpedia_288,America's Army,"January 01, 2009",United States Army,Microsoft Windows,,
