id,prod_title,launch_dt,studio,dist,hw,genre,press_score,comm_rating,age_class,units_sold_mm
sales_81,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,Activision,PS3,,94,8.4,M,6000000
sales_82,Uncharted 2: Among Thieves,2009-01-01,Naughty Dog,Sony Computer Entertainment,PS3,Action,96,8.8,T,6000000
sales_83,Big Brain Academy,2005-01-01,,Nintendo,DS,Misc,74,7.4,E,6000000
sales_84,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,PS3,Action,95,8.8,M,6000000
sales_85,FIFA 14,2013-01-01,EA Canada,,PS3,Sports,86,4.3,E,6000000
sales_86,Assassin's Creed III,,UBI,Ubisoft,PS3,Action,,6.9,M,6000000
sales_87,Donkey Kong Country Returns,2010-01-01,Retro Studios,Nintendo,Wii,Platform,87,8.6,E,6000000
sales_88,Halo: Combat Evolved,2001-01-01,,Microsoft Game Studios,Xbox,Shooter,97,,m,6000000
sales_89,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,PS3,Role-Playing,92,6.4,M,6000000
sales_90,Pokémon Emerald Version,2004-01-01,Game Freak,,Game Boy Advance,Role-Playing,76,,E,6000000
sales_91,Kingdom Hearts,2002-01-01,SquareSoft,,PS2,Role-Playing,85,8.8,E,6000000
sales_92,Halo 3: ODST,2009-01-01,"Bungie Software, Bungie",Game Microsoft Studios,Xbox 360,,83,7.1,M,6000000
sales_93,Red Dead Redemption,2010-01-01,Rockstar San Diego,Take-Two Interactive,Xbox 360,Action,95,9.0,M,6000000
sales_94,Super Mario Sunshine,2002-01-01,Nintendo,Nintendo,GameCube,Platform,,,,6000000
sales_95,World of Warcraft,2004-01-01,Blizzard Entertainment,Activision,PC,Role-Playing,93,7.3,T,6000000
sales_96,Driver,,Reflections Interactive,GT Interactive,Playstation,Action,87,,T,6000000
sales_97,Gears of War 3,2011-01-01,Epic Games,Microsoft Game 5tudios,Xbox 360,Shooter,91,7.8,Mature 17+,6000000
sales_98,Kinect,2010-01-01,Rare Ltd.,Microsoft Game Studios,Xbox 360,Sports,73,7.4,E10+,6000000
sales_99,Gears of War,2006-01-01,Epic Games,Microsoft Game Studios,Microsoft Xbox 360,,94,8.3,M,
sales_100,FIFA 15,2014-01-01,Sports EA,Electronic Arts,PS4,Sports,,5.7,E,
sales_101,Metal Gear Solid 2: Sons of Liberty,2001-01-01,KCEJ,Konami Digital Entertainment,PS2,,96,8.7,M,6000000
sales_102,Metal Gear Solid,1998-01- 01,KCEJ,Konami Digital Entertainment,Playstation,Action,94,9.4,M,6000000
sales_103,Metal Gear Solid 4: Guns of the Patriots,2008-01-01,Kojima Productions,Konami Digital Entertainment,PS3,Action,94,8.7,M,5000000
sales_104,Final Fantasy XII,2006-01-01,Square Enix,Square Enix,PS2,Role-Playing,92,7.6,T,5000000
sales_105,The Last of Us,2013-01-01,Naughty Dog,Sony Computer Entertainment Europe,PS3,Action,95,9.1,M,5000000
sales_106,LittleBigPlanet,2008-01-01,"SCE/WWS, Media Molecule",Sony Computer Entertainment,PS3,Platform,95,6.8,E,5000000
sales_107,Resident Evil 2,1998-01-01,Capcom,Virgin Interactive,Playstation,Action,89,9.2,M,5000000
sales_108,Dragon Quest IX: Sentinels of the Starry Skies,200901-01,Level 5,Nintendo,,Role-Playing,87,8.8,E10+,5000000
sales_109,Tekken 2,1996-01-01,Namco,Sony Computer,Playstation,Fighting,89,8.9,T,5000000
sales_110,Destiny,2014-01-01,"Bungie Software, Bungie",Activision,PS4,Shooter,76,6.1,T,5000000
sales_111,LEGO Star Wars: The Complete Saga,2007-01-01,Traveller's Tales,LucasArts,Wii,Action,80,8.9,,5000000
sales_112,Cooking Mama,2006-01-01,Taito Corporation,505 Games,DS,Simulation,67,7.2,E,5000000
sales_113,Assassin's Creed II,2009-01-01,Ubisoft Montreal,Ubisoft,PS3,Action,92,,M,5000000
sales_114,Assassin's Creed,2007-01-01,Ubisoft Montreal,Ubisofg,Xbox 360,Adventure,81,7.7,M,5000000
sales_115,Forza Motorsport 3,2009-01-01,Turn 10,Microsoft Game Studios,Xbox 360,Racing,92,8.0,E,5000000
sales_116,Super Mario Advance,2001-01-01,Nintendo,Nintendo,Game Boy Adv ance,Platform,84,,E,
sales_117,Monster Hunter Freedom Unite,2008-01-01,Capcom,Capcom,Playstation Portable,Role-Playing,,8.7,T,5000000
sales_118,Batman: Arkham City,2011-01-01,Rocksteady Studios,Warner Bros. Interactive Entertainment,PS3,,96,,T,5000000
sales_119,Grand Theft Auto V,2014-01-01,Rockstar North,Take-Two Interactive,XOne,Action,97,7.9,M,5000000
sales_120,Mario Kart: Super Circuit,2001-01-01,Intelligent Systems,Nintendo,,Racing,93,8.3,E,5000000
sales_121,Crash Bandicoot: The Wrath of Cortex,2001-01-01,Traveller's Tales,Universal Interaetive,PS 2,Platform,66,7.1,E,5000000
sales_122,Call of Duty: World at War,2008-01-01,Treyarch,Activision,PS3,Action,85,7.6,M,5000000
sales_123,Uncharted 4: A Thief's End,2016-01-01,Naughty Dog,Sony Computer Entertainment,PS4,Shooter,93,7.9,,5000000
sales_124,Final Fantasy XIII,2009-01-01,,"Square Enix Co., Ltd.",PS3,Role-Playing,83,,T,
sales_125,Final Fantasy IX,2000-01-01,SquareSoft,SquareSoft,Playstation,Role-Playing,94,8.9,T,5000000
sales_126,Assassin's Creed III,2012-01-01,Ubisoft,Ubisoft,,Action,,,M,5000000
sales_127,Final Fantasy X-2,2003-01-01,SquareSoft,Electronic Arts,P S2,Role-Playing,85,6.6,T,5000000
sales_128,Call of Duty: Advanced Warfare,2014-01-01,Sledgehammer Games,Activision,XOne,Shooter,,5.4,M,5000000
sales_129,Assassin's Creed II,2009-01-01,Ubisoft Montreal,Ubisoft,Xbox 360,Action,90,8.8,M,5000000
sales_130,New Super Mario Bros. U,2012-01-01,Nintendo,Nintendo,WiiU,Platform,84,8.1,E,5000000
sales_131,Dragon Quest VIII: Journey of the Cursed King,2004-01-01,Level 5,,PS2,Role-Playing,89,8.8,T,5000000
sales_133,FIFA Soccer 13,2012-01-01,Electronic Arts,Electronic Arts,Xbox 360,Action,90,6. 1,R,5000000
sales_134,Diablo III,,Blizzard Entertainment,Activision,PC,RPG,88,4.0,M,
sales_135,Medal of Honor: Rising Sun,2003-01-01,EW LA,Electronic Arts,PS2,Shooter,68,7.6,,5000000
sales_136,Guitar Hero II,2006-01-01,Harmonix Music Systems,RedOctane,PS2,Misc,92,8.5,T,5000000
sales_137,Fable III,2010-01-01,Lionhead Studios,Microsoft Game Studios,,Role-Playing,80,6 .5,M,5000000
sales_138,Resident Evil 5,2009-01-01,Capcom,,PS3,Action,84,,M,5000000
sales_139,The Legend of Zelda: Phantom Hourglass,2007-01-01,Nintendo,Nintendo,DS,,90,,,5000000
sales_140,FIFA Soccer 11,2010-01-01,EA Sports,Electronic Arts,PS3,Sports,,8.0,E,5000000
sales_141,Resident Evil,1996-01-01,Capcom,Virgin Interactive,,Action,91,,M,5000000
sales_142,Grand Theft Auto: Vice City Stories,2006-01-01,Rockstar Leeds,Take-Two Interactive,Playstation Portable,Action,86,8.0,M,5000000
sales_143,Tony Hawk's Pro Skater,1999-01-01,,Activision,,Sports,92,9.2,T,5000000
sales_144,Guitar Hero III: Legends of Rock,2007-01-01,"Neversoft Entertainment, BudCat",Activision,PS2,Misc,82,8.2,T,4000000
sales_145,Link's Crossbow Training,2007-01-01,Nintendo,Nintendo,Wii,Shooter,68,7.l,T,4000000
sales_146,Fallout 3,2o08-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox 360,Role-Playing,,8.5,K,4000000
sales_147,Uncharted: Drake's Fortune,2007-01-01,"Naughty Dog, SCE/WWS",Sony Computer Entertainment,PlayStation 3,Action,88,,T,4000000
sales_148,Madden NFL 06,2005-01-01,,Electronic Arts,PS2,Sports,88,8. 0,E,4000000
sales_149,StarCraft II: Wings of Liberty,2010-01-01,,Activision,PC,,,8.2,T,4000000
sales_150,Assassin's Creed,2007-01-01,Ubisoft Montreal,,PS3,Adventure,81,7.3,,4000000
sales_151,God of War III,2010-01-01,Sony Computer Entertainment Santa Monica,Sony Computer Entertainment,PS3,Action,92,8.7,M,4000000
sales_152,Crash Team Racing,,Naughty Dog,Sony Computer Entertainment,Playstation,Racing,88,,E,4000000
sales_153,LEGO Star Wars: The Complete Saga,2007-01-01,TT Fusion,LucasArts,DS,Action,80,5.4,E,4000000
sales_154,Driver 2,2000-01-01,Reflections Interactive,Atari,Playstation,Action,62,,T,4000000
sales_155,Batman: Arkham City,2011-01-01,Rocksteady Studios,Interactive Bros. Warner Entertainment,Xbox 360,Action,94,8.7,T,4000000
sales_156,Tony Hawk's Pro Skater 2,2000-01-01,Neversoft Entertainment,Activision,Playstation,Sports,,,T,
sales_157,The Lord of the Rings: The Two Towers,2002-01-01,,Electrohic Arts,PS2,Action,82,8.2,,4000000
sales_158,Tomb Raider,1996-01-01,,Eidos Interactive,Playstation,Action,91,,T,4000000
sales_159,Animal Crossing: City Folk,2008-01-01,Nintendo,Nintendo,Wii,Simulation,,7.6,E,
sales_160,Uncharted: The Nathan Drake Collection,2015-01-01,Bluepoint Games,Sony Computer Entertainment,PS4,Action,86,8.1,T,4000000
sales_161,The Legend of Zelda: The Wind Waker,2002-01-01,Nintendo,Nintendo,GameCube,Action,96,8.9,E,4000000
sales_162,Guitar Hero III: Legends of Rock,2007-01-01,,Activision,,Misc,86,,T,
sales_163,Luigi's Mansion: Dark Moon,,Next Level Gomes,Nintendo,3DS,A ction,86,8.4,E,4000000
sales_164,Forza Motorsport 4,2011-01-01,Turn 10,Microsoft Game Studios,Zbox 360,Racing,91,8.2,E,4000000
sales_165,Madden NFL 2005,2004-01-01,EA Tiburon,Electronic Arts,PS2,Sports,91,7.9,E,4000000
sales_166,Guitar Hero III: Legends of Rock,2007-01-01,Neversoft Entertainment,ATVI,Xbox 360,Misc,85,,T,4000000
sales_167,Madden NFL 07,2006-01-01,EA Sports,Electronic Arts,PS2,Sports,,8.2,E,4000000
sales_168,Halo 5: Guardians,2015-01-01,343 Industries,Microsoft Game Studios,XOne,Shooter,84,6.4,T,4000000
sales_169,Spider-Man: The Movie,2002-01-01,Treyarch,,PS2,Action,76,7.9,,4000000
sales_170,Call of Duty: Infinite Warfare,2016-01-01,Infinity Ward,Activision,PS4,Shooter,77,,,4000000
sales_171,God of War,2005-01-01,SCE Santa Monica,Sony Computer Entertainment,,Action,94,8.9,,4000000
sales_172,Splatoon,2015-01-01,Nintendo,Nintendo,WiiU,Shooter,81,8.5,E10+,4000000
sales_173,Nintendo Land,2012-01-01,Nintendo,,WiiU,Misc,77,7.9,E10+,4000000
sales_174,Tony Hawk's Pro Skater 3,2001-01-01,Neversoft Entertainment,Activision,PS2,Sports,97,7.5,T,4000000
sales_175,Winning Eleven: Pro Evolution Soccer 2007,2006-01-01,Konami,Konami Digital Entertainment,PS2,Sports,86,8.9,E,4000000
sales_176,The Elder Scrolls IV: Oblivion,2006-01-01,Bethesda Softworks,Take-Two Interactive,Xbox 360,Role-Playing,94,8.7,,
sales_177,Need for Speed: Most Wanted,2005-01-01,EA Canada,Electronic Arts,PS2,,,9.1,T,4000000
sales_178,Michael Jackson: The Experience,2010-01-01,"Ubisoft Paris, Ubisoft Montpellier",Ubisoft,Wii,Misc,56,8.3,E10+,4000000
sales_179,Resistance: Fall of Man,,Insomniac Games,Sony Computer Entertainment,PS3,Shooter,86,8.1,Mature 17+,4000000
sales_180,Kingdom Hearts II,2005-01-01,Square Enix,,PS2,Role-Playing,,9.0,E10+,4000000
sales_181,Super Mario 3D World,2013-01-01,Nintendo,Nintendo,WiiU,Platform,93,9.0,Everyone,4000000
sales_182,Fable II,2008-01-01,Lionhead Studios,Microsoft Game Studios,Xbox 360,Role-Playing,89,6.5,M,4000000
sales_183,Namco Museum,,Mass Media,Namco Bandai Games,Boy Game Advance,Misc,79,7.3,E,4000000
sales_184,Batman: Arkham Asylum,2009-01-01,Rocksteady Studios,Eidos Interactive,PS3,Action,91,8.9,T,4000000
sales_185,Metal Gear Solid 3: Snake Eater,,KCEJ,Konami Digital Entertainment,,Action,91,9.3,,4000000
sales_186,Assassin's Creed: Revelations,2011-01-01,Ubisoft Montreal,Ub isoft,PS3,Action,80,7.5,M,4000000
sales_187,Fallout 4,2015-01-01,Bethesda Game Studios,Bethesda Softworks,XOne,Role-Playing,88,6.2,M,
sales_188,FIFA 14,2013-01-01,,,Xbox,Sports,84,4.2,E,4000000
sales_189,Daxter,2006-01-01,Ready at Dawn,Sony Computer Entertainment,Playstation Portable,Platform,85,8.7,E10+,4000000
sales_190,FIFA Soccer 06,2005-01-01,EA Canada,Electronic Arts,PS2,Sports,80,7.8,E,4000000
sales_191,EyeToy Play,2003-01-01,"SCEE, Zoe Mode",Sony Computer Entertainment,PS2,,80,7.5,E,4000000
sales_192,Gran Turismo 5 Prologue,2007-01-01,Polyphony Digital,Sony Computer Entertainment,,Racing,80,7.1,E,4000000
sales_193,Assassin's Creed: Revelations,2011-01-01,,Ubisoft,Xbox 360,Action,80,7.2,,4000000
sales_194,Street Fighter IV,2009-01-01,Capcom,Capcom,PS3,Fighting,94,7.3,T,4000000
sales_195,Madden NFL 2003,2002-O1-01,,Arts Electronic,PS2,,95,,E,4000000
sales_196,Half-Life,1997-01-01,Valve Software,Vivendi Games,PC,,96,9.1,,4000000
sales_197,World of Warcraft: The Burning Crusade,2007-01-01,Blizzard Entertainment,Activision,PC,Role-Playing,91,7.9,T,4000000
sales_198,Battlefield 1,2016-01-01,DICE EA,Electronic Arts,,Shooter,89,8.4,M,
sales_199,God of War II,2007-01-01,SCE Santa Monica,Sony Computer Entertainment,PS2,Action,93,8.9,K,4000000
sales_200,Fallout: New Vegas,2010-01-01,Obsidian Entertainment,Bethesda Softworks,Xbox 360,Role-Playing,84,8.1,M,4000000
sales_201,Forza Motorsport 2,2007-01-01,,Microsoft Game Studios,Xbox 360,Racing,90,8.3,,4000000
sales_202,Games Carnival,2007-01-01,Cat Daddy Games,Take-Two Interactive,Wii,,56,6.0,E,4000000
sales_203,Watch Dogs,2014-01-01,Ubisoft Montreal,Ubisoft,,Action,80,6.3,M,
sales_204,Tekken Tag Tournament,2000-01-01,Namco,Namco Bandai GamEs,PS2,,85,,T,4000000
sales_205,Far Cry 4,2014-01-01,Ubisoft Montreal,Ubisoft,PS4,Shooter,86,7.7,M,4000000
sales_206,Namco Museum: 50th Anniversary,2005-01-01,,Namco Bandai Games,PS2,MisC,61,,E10+,3000000
sales_207,Left 4 Dead 2,2009-01-01,Valve,Electronic Arts,Xbox 360,Shooter,89,8.6,M,3000000
sales_208,The Witcher 3: Wild Hunt,2015-01-01,CD Projekt Red Studio,Namco Bandai Games,PS4,,92,9.2,M,3000000
sales_209,Assassin's Creed: Unity,2014-01-01,"Ubisoft, Ubisoft Montreal",Ubisoft,PS4,,70,4.9,,3000000
sales_210,Batman: Arkham Knight,2015-01-01,Rocksteady Studios,,PlayStation 4,Action,87,,M,3000000
sales_211,The Legend of Zelda: Skyward Sword,2011-01-01,Nintendo,Nintendo,Wii,Action,93,8.0,E10+,
sales_212,Fallout 3,2008-O1-01,Be5hesda Game Studios,Softworks Bethesda,PS3,Role-Playing,90,8.0,M,3000000
sales_213,Professor Layton and the Diabolical Box,2007-01-01,Level 5,Nintendo,DS,Puzzle,,8.8,E10+,3000000
sales_214,EA Sports Active,2009-01-01,Canada EA,Electronic Arts,,Sports,81,8.7,E,3000000
sales_215,Tony Hawk's Underground,2003-01-01,Neversoft Entertainment,,PS2,Sports,,8.7,T,3000000
sales_216,Monster Hunter 4 Ultimate,2014-01-01,Capcom,Nintendo,3DS,Role-Playing,86,8.7,T,3000000
sales_217,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,,PC,Role-Playing,94,8.1,M,3000000
sales_218,NBA 2K16,2015-01-01,Visual Concepts,Take-Two Interactive,PS4,Sports,87,6.7,E10+,3000000
sales_219,Tekken 5,2005-01-01,Namco,Namco Bandai Games,PS2,Fighting,88,8.6,,3000000
sales_220,MotorStorm,,Evolution Studios,Sony Computer Entertainment,PS3,Racing,84,7.4,T,3000000
sales_221,World Soccer Winning Eleven 8 International,2004-01-01,KCE T,Digital Konami Entertainment,PS2,Sports,91,9.1,W,3000000
sales_222,Sports Champions,2010-01-01,"SCEA, Zindagi Games",Sony Computer Entertainment,PS3,Sports,76,7.9,E10+,3000000
sales_223,Call of Duty: Ghosts,2013-01-01,Infinity Ward,ATVI,PS4,Shooter,78,3.7,M,3000000
sales_224,Flash Focus: Vision Training in Minutes a Day,2007-01-01,"Nintendo, Namco Bandai Games",Nintendo,DS,Misc,59,4.0,E,3000000
sales_225,Tom Clancy's The Division,2016-01-01,Massive Entertainment,Ubisoft,PS4,Whooter,80,7.0,,3000000
sales_226,Big Brain Academy: Wii Degree,,Nintendo,Nintendo,,Misc,68,,E,3000000
sales_227,LEGO Indiana Jones: The Original Adventures,2008-01-01,Traveller's Tales,Activision,Xbox 360,Action,77,7.5,E10+,
sales_228,The Sims: Unleashed,2002-01-01,Maxis,Electronic Arts,PC,Simulation,79,8.0,T,3000000
sales_229,Harry Potter and the Sorcerer's Stone,2001-01-01,Argonaut Games,Electronic Arts,Playstation,Actiin,64,7.5,,3000000
sales_230,Super Paper Mario,2007-01-01,Intelligent Systems,Nintendo,Wii,Platform,85,7.9,E,3000000
sales_231,Spyro: Year of the Dragon,2000-01-01,Insomniac Games,Sony Computer Entertainment,Playstation,Platform,91,8.8,E,3000000
sales_232,Assassin's Creed IV: Black Flag,,Ubisoft,Ubisoft,PS3,Action,88,8.1,M,3000000
sales_233,FIFA Soccer 2005,2004-01-01,EA Canada,Electronic Arts,PS2,Sports,81,7.6,E,3000000
sales_234,Tony Hawk's Pro Skater 4,2002-01-01,Neversoft Entertainment,Activision,PS2,Sports,94,8.5,T,
sales_235,MySims,,TOSE,Arts Electronic,,Simulation,67,,E,
sales_236,Midnight Club 3: DUB Edition,2005-01-01,Rockstar Lceds,Take-Two Interactive,Playstation Portable,Racing,74,8.4,E10+,3000000
sales_237,SOCOM: U.S. Navy SEALs,2002-01-01,Zipper Interactive,Sony Computer Entertainment,PS2,,82,7.9,M,3000000
sales_238,Jak and Daxter: The Precursor Legacy,2001-01-01,Naughty Dog,Sony Computer Entertainment,PS2,Platform,90,8.7,E,3000000
sales_239,Pro Evolution Soccer 2008,2007-01-01,konami,Konami Digital Entertainment,PS2,Sports,82,7.9,E,3000000
sales_240,Resident Evil 4,2005-01-01,Capcom,Capcom,PS2,Action,96,8.9,M,3000000
