id,t,ar,rd,rc,du,lb,g,tk
mbrainz_80,The Low Empire,Mainline Cr ux,2001-01-01,United Kingdom of Great Britain and Northern Ireland,0s,,,"['Modern Days', 'Shutter the Fog', 'Horizon', 'The Maze', 'Lowdown', 'La Only', 'Ask the Judge', 'Bad Blood', 'Automatic Operator', 'Sparkle On', 'Burning Room', 'The Fade', ""Liar's Rain"", 'Exit Ramp']"
mbrainz_81,I Can't (Fall in Love With Another One),Dub Taylor,10/01/2000,Germany,1428,,,"[""I Can't (Fall in Love With Another One)"", 'Saturday Morning', 'Lush']"
mbrainz_83,Replicant EP (album),Pacou,01/01/2001,Netherlands,0:00,,,"['Bond Energy', 'ATP', 'Robot M', 'Controlling Atoms']"
mbrainz_86,Health Warning,trance[]control feat.,01.01.2000,United States of America,0:04:46,,,"['Psychotic Chaos', 'Welcome to the House']"
mbrainz_87,Electronic Illusions,"Tomasone, Chris",01.01.2000,United States of America,0s,,,"['Its Getting Closer', 'Furious Loops', 'Anythings Possible']"
mbrainz_88,Final / Connections,Kraken,01/01/1997,United Kingdom of Great Britain and Northern Ireland,0,,,"['Final Warning', 'Connections']"
mbrainz_89,Angel Dust / Nerve,Cause 4 Concern,2000,United Kingdom of Great Britain and Northern Ireland,12m 2s,,,"['Angel Dust', 'Nerve']"
mbrainz_90,Broken Promise / Pulse Code,Simon V,08/01/1998,Germany,14:20,,,"['Broken Promise', 'Pulse Code']"
mbrainz_91,Haze / Contrast,OYX,01/01/1999,United Kingdom of Great Britain and Northern Ireland,0:18:04,,,"['Haze', 'Contrast']"
mbrainz_92,Classics 1,Ten City Band,01/01/2001,United States of America,18m 44s,,,"['Only Time Will Tell', 'All Loved Out', 'Suspicious']"
mbrainz_94,Fairlight / Desert Traveller,Artemis,1999,United Kingdom of Great Britain and Northern Ireland,940,,,"['Fairlight', 'Desert Traveller']"
mbrainz_95,Absolution E.P.,G-Force,2000-01-01,Belgium,0:00:00,,,"['Action', 'Feeling', 'Feeling (Gaetano Parisio remix)', 'Action (Samuel L. remix)']"
mbrainz_96,Life in the Savage Garden E.P. (album),"Curtin, Dan",01/01/1997,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"['Maintain', 'Fade', 'At You', 'Running']"
mbrainz_99,Butterfly Catcher,Fauna Flash,01/01/1995,Germany,1 476,,,"['Butterfly Catcher', 'Journey Into Scoose', 'Lunatic Jam', 'Butterfly Catcher (In the Ozone)']"
mbrainz_100,Brave New World,"Ripdy, Hill",01/01/2000,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Brave New World', 'Plan B']"
mbrainz_102,Soul Experience,Soul Experience,2004-01-22,United States of America,0:00:00,,,"['Listen to Me', ""I Can't Stand Up""]"
mbrainz_103,Purple EP,"Assault, DJ",01.01.2003,United States of America,12:35,,,"['Dia Daa Daa (remix)', 'Sex on the Beach', 'Funky Bitch', 'Funky Bitch (instrumental)']"
mbrainz_104,Diagnosis / Accelerate,Felony,2001,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Diagnosis', 'Accelerate']"
mbrainz_106,Mono in Chrome,"Stoll, Steve",01/01/1998,America States of United,0:00:00,,,
mbrainz_107,Electronic Radiation E.P.,G-Force,11/02/1999,UK,0:00:00,,,"['Look at the Curve!', 'Special AJ', 'Terminate the Source!', 'It Burns']"
mbrainz_108,Feel the Drums,Native,2000-01-27,United Kingdom of Great Britain and Northern Ireland,0:00,,,
mbrainz_110,Supernatural You're So,"Stoll, Steve",1999-09-01,United States of America,0:00,,,
mbrainz_111,Fruits of the Spirit,"Williams, Boo",07/31/1999,United States of America,0:00:00,,,
mbrainz_112,Visions Of The Future,"Gene Farris,",2008-04-01,United America of States,936,,,"['Visions Of The Future (Roy Davis Jr. Remix)', 'Visions Of The Future (Fabio Bacchini Dub Mix)', 'Visions Of The Future (Original Mix)']"
mbrainz_114,Deep Experience EP,"Miller, Alton",13.11.2000,United States of America,22m 29s,,,"['Sonic System', ""No Stoppin'"", 'Deep Experience', 'Line 2']"
mbrainz_115,Requiem pour un Empire,Autopsia,01.01.1991,Germany,16m 0s,,,"['Intro 1982', 'Lebensherrgabe 1983 - 1991', 'Zinnia 1982']"
mbrainz_116,Tidal Frequencies,Norken,1998-01-01,UK,O,,,"['Just a Phase', 'Instamatic', 'Motor Breeze', 'Fragile']"
mbrainz_117,Blackout / Dogfight (album),Dylan,16.11.1998,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Blackout', 'Dogfight']"
mbrainz_118,Inside Straight / Trouble Funk,EinzelgÃ¤nger,07/06/1998,Germany,0:00,,,"['Inside Straight', 'Troublefunk']"
mbrainz_119,Gaia,Dubtribe Sound System,01.01.1993,United States of America,1827,,,"['Mother Earth', 'Mother Earth (remix)', ""Mother Earth (Sunshine's remix) (feat. DJ Collage)"", 'Memory (edit)']"
mbrainz_120,Sensitive Electronic Devices,Eoec6rostatkc,01.01.1997,United States of America,0:37:57,,,"['Eternity', 'Someday', 'Magnetic Pulse (instrumental)', 'Reflection', 'Swallowtail', 'Stain', 'Inside You', 'Feel']"
mbrainz_122,Primitive,Rubec,22.10.2001,United Kingdom of Great Britain and Northern Ireland,0s,,,"['Primitive', 'Primitive (Wardance mix)']"
mbrainz_124,Millions Now Living Will Never Die,,1996,Germany,2579,,,"['Djed', 'Glass Museum', 'A Survey', 'The Taut and Tame', 'Dear Grandma and Grandpa', 'Along the Banks of Rivers']"
mbrainz_127,Un Dia Soleado / Only Dubbin' on My 808,Jeremiah,09/11/2000,Austria,0:00:00,,,"['Un Dia Soleado', ""Only Dubbin' on My 808""]"
mbrainz_129,Too Dark Park,Headroom,07/19/1999,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Tuker', 'Cope', 'Top']"
mbrainz_130,Fa1lcn,One dove,1991-10-01,United Kingdom of Great Britain and Northern Ireland,19:15,,,"['Fallen (Darkest Hour)', 'Fallen (Dawn)', 'Fallen (Dusk)']"
mbrainz_131,Resurrection EP,Mark Verbos,20.08.2001,United States of America,0,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
mbrainz_132,Jupiter Sunrise,"Deason, Sean",1996,Germany,0s,,,"['Jupiter Sunrise', 'Inside Out', 'Razorback', 'Vibe']"
mbrainz_134,Small Craft Warnings Remixes (orig.),"Gordon, Alex",01/01/2001,United States of America,0:00:00,,,"['Small Craft Warnings (John Tejada remix)', 'Small Craft Warnings (Alex Gordon/Low Fi remix)', 'Small Craft Warnings (Justin Warfield remix)', 'Small Craft Warnings (Alex Gordon Land mix)']"
mbrainz_135,Colors,Future Prophecies,2001-10-0,UK,14:48,,,"['Colors', 'Colors (dub)']"
mbrainz_136,Man Out of Time EP,G.O.L.,01/01/2000,United States of America,23:45,,,
mbrainz_137,Danger Room / Lost Souls,"Fitzpatrick, Lester",1997,United Kingdom of Great Britain and Northern Ireland,0,,,"['Danger Room', 'Lost Souls']"
mbrainz_139,The Continuation,"Architex, The",01.01.1996,United Kingdom of Great Britain and Northern Ireland,0:13:44,,,"['Somewhere', 'Secrets']"
mbrainz_140,Hyper Experience / Strobe Light Network,Cold,1996-01-01,Belgium,27:58,,,"['Hyper Experience', 'Hyper Experience (Hyper dub mix)', 'Strobe Light Network']"
mbrainz_141,It's the Music,Meat Beat Manifesto,01.01.1996,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"[""It's the Music"", ""It's Just the Music"", 'I Control (Audio Collage #2)', 'Asbestos Lead Asbestos (Plug mix)']"
mbrainz_143,Fallen (remix) / Bad Dreams,Matrix,2001-01-01,United Kingdom of Britain Great and Northern Ireland,696,,,"['Fallen (remix)', 'Bad Dreams']"
mbrainz_144,,S-Club feat.,1998,Germany,13m 55s,,,"['Gentlemen Need Struggle', 'Gentlemen Need Deeper']"
mbrainz_145,United Future Organization,United Future Organization,01.01.1993,United Kingdom of Great Britain and Northern Ireland,47:27,,,"['The Sixth Sense', 'On Est Ensemble Sans Se Parler', 'Vinyl Junkie', 'Upa Neguinho', ""I'll Bet You Thought I'd Never Find You"", 'Poetry and All That Jazz', 'Be Here Now', 'My Foolish Dream', 'Off Road']"
mbrainz_147,Disco Damnation,Wicked,1996-12-09,Netherlands,20:55,,,"['Disco Damnation (remix)', 'Disco Damnation (original)', 'Work It']"
mbrainz_151,Face the Future EP,,01.01.1992,Netherlands,1477,,,
mbrainz_153,Butterfly,Mondo Grosso,01/01/2000,France,0:32:11,,,"['Butterfly (original)', 'Butterfly (Francois K Jazzy Vibe mix)', 'Butterfly (Sleepy Tongue Love mix)', 'Butterfly (instrumental)']"
mbrainz_154,Sunrise,Dave,2001,Federal Republic of Germany,0:18:32,,,"['Sunrise', 'Pole Position', 'Tower Power']"
mbrainz_155,The Future,"Lissat, Jens",01/01/1994,,19m 52s,,,"['The Future', 'Bulga', 'New Float']"
mbrainz_159,The Traveller,Richard Bartz,1998,Germany,0:18:08,,,"['The Traveller 1', 'The Traveller 2', 'The Traveller 3', 'The Traveller 4']"
mbrainz_160,Drukqs 2-Track Promo,Aphex Twin,2001-08-01,United Kingdom of Great Britain and Northern Ireland,669,,,"['54 Cymru Beats (Argonaut mix)', 'Cock 10 (Delco Freedom mix)']"
mbrainz_162,Spiritual Aura,"Rap, DJ",2001,United Kingdom of Great and Northern Ireland,0,,,"['Spiritual Aura (Danny C remix)', 'Spiritual Aura (Freestylers remix)']"
mbrainz_164,No Texture / Not For Outsiders,Paradox,01.01.1999,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['No Texture', 'Not For Outsiders']"
mbrainz_168,Don't Stop the Rock: The Millennium Mixes,Freestyle,01/01/1999,United States of America,4269,,,"[""Don't Stop the Rock (Drop the Boom)"", ""Don't Stop the Rock"", ""It's Automatic"", ""Don't Stop the Rock (Toxik Twins Chemlab Meltdown mix)"", 'In Your Face', ""Don't Stop the Rock"", ""Jam the Box '99"", 'Count Me In', ""Don't Stop the Rock"", 'Jam the Box, Fix It in the Mix', 'Don\'t Stop the Rock (The original 12"")', ""Don't Stop the Rock (original album version)""]"
mbrainz_169,From Beyond EP,"Cole, Dean",2001-0l-O1,United Kingdom of Great Britain and Northern Ireland,0s,,,"[""Physics (Karl O'Connor rework)"", 'Physics', 'Dancefloor']"
mbrainz_173,You See the Trouble With Me,Black Legend,2000-07-10,Germany,0:20:18,,,"[""You See the Trouble With Me (We'll Be in Trouble radio edit)"", 'You See the Trouble With Me (Sharam Jey remix)', 'You See the Trouble With Me (original radio edit)', 'Across the Ocean (album version)']"
mbrainz_174,Beautiful Electronic Music,Benge,1996-02-01,United Kingdom of Great Britain and Northern Ireland,0:56:15,,,"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven', 'Eight']"
mbrainz_175,Polyrhythmica Electronica,Benge,1996-08-01,United Kingdom of Great Britain and Northern Ireland,26:46,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']"
mbrainz_176,and Dangerous,"Richardson, Murray",2000,United Kingdom of Great Britain and Northern Ireland,0:19:57,,,"['Armed', 'Dangerous']"
mbrainz_177,Every Day (album),Cyclop,109o-02-01,Belgium,0:19:12,,,"['Every Day', 'Alturned']"
mbrainz_180,Ya Mama / Song for Shelter,,09/03/2001,United Kingdom of Great Britain and Northern Ireland,19m 54s,,,"['Song for Shelter (Chemical Brothers remix)', ""Song for Shelter (The 20:20 Vision Rollin' remix)"", 'Ya Mama (radio edit)']"
mbrainz_188,Le Surboomer,Grand Tourism (and others),2001,United States of America,1:06:15,,,"['Jim Clark Theorem', ""Les courants d'air"", 'Snakeplayer', 'Bassmajazz', 'Hybrid Story', 'Variations Sur Emma Peel', 'Sweet Sitar Street', 'Act of Love', 'Le Surboomer', 'Romantic Hold Up', 'La Baie Du Fakir', 'Vega Music', 'La guitare enchantÃ©e']"
mbrainz_192,Sweet Shelter EP,Beroshima,01.01.1999,Germany,,,,"['The Movemaker', 'Sweet Shelter', 'Watch the Moving Bodies', 'Stringmachine', 'Monday Loop', 'SO36 Loop', 'The Move']"
mbrainz_193,Echoes Beyond Tomorrow,Transparent Sound,2001-11-09,United Kingdom of Great Britain and Northern Ireland,0,,,"['Never Fall Again (original)', 'Never Fall Again (Scape One remix)', 'Never Fall Again (Subfunk remix)']"
mbrainz_199,Fuzzy Logic,Super Furry Animals,1996-10-08,United States of America,41m 28s,,,"['God! Show Me Magic', 'Fuzzy Birds', 'Something 4 the Weekend', 'Frisbee', 'Hometown Unicorn', 'Gathering Moss', ""If You Don't Want Me to Destroy You"", 'Bad Behaviour', 'Mario Man', ""Hangin' with Howard Marks"", 'Long Gone', 'For Now and Ever']"
mbrainz_206,There Are No Right Angles Found in Nature,Eighty Mile Beach (and others),1998,United States of America,0,,,"['There Are No Right Angles Found in Nature', 'There Are No Right Angles Found in Nature (Soulstice remix)', 'There Are No Right Angles Found in Nature (Thievery Corporation remix)', 'What We Did Last Summer']"
mbrainz_208,Dub Electronics,Electronic Dub,01/01/1994,United Kingdom of Great Britain and Ireland Northern,1h 8m 31s,,,"['Electronic Dub 1', 'Electronic Dub 2', 'Electronic Dub 3', 'Electronic Dub 4', 'Electronic Dub 5', 'Electronic Dub 6']"
mbrainz_209,Get Into the Music,DJ's Rule,1996-01-01,UK of Great Britain and Northern Ireland,0:33:09,,,"['Get Into the Music (Goodfellos radio edit)', 'Get Into the Music (Goodfellos remix)', 'Get Into the Music (Hybrid mix)', 'Get Into the Music (1990 Serious mix)', 'Get Into the Music (Cyber mix)']"
mbrainz_212,Tempesta II,Statik Sound System,1997,Jnited Sfates lf America,1:03:23,,,"['Free to Choose, Hard to Be', 'Living in Essential Times', 'Jack', 'Essential Times', 'Sonar', 'Amazed by You', 'Dr Wheeler', 'Valentine', 'Dreams of Mine', 'Hear My Plea', 'Seven Shades', '[untitled]']"
mbrainz_219,Shooter,Bandulu,1996-01-01,United Kingdom of Great Britain and Northern Ireland,1159,,,"['Trouble Shooter', 'Trinity ""Version""', 'Jester']"
mbrainz_222,Dangerous,Dub Taylor,2002-01-01,Germany,0s,,,
mbrainz_227,Sounds Like Trouble EP,HÃ¶sh!,2001,France,,,,"['Sacred Souls', 'Miniatures', 'Foundations', 'Compelled']"
mbrainz_231,Bricolage,"Tobin, Amon",1997-06-01,United Kingdom of Northern Britain and Great Ireland,37:30,,,"['Easy Muffin', 'Yasawas', 'Dream Sequence', 'New York Editor', 'Defocus', 'The Nasty', 'Bitter & Twisted', 'Mission', 'Wires & Snakes', 'Creatures', 'Stoney Street', 'One Small Step', 'One Day in My Garden']"
mbrainz_233,The Music in My Mind,"Monolith, The",2002-02-11,United Kingdom of Great Britain and Northern Ireland,0,,,"['Carpenta', 'I-Yaz', 'Nextphaze', 'Nextphaze (Splinterfaction mix)']"
mbrainz_234,Spiritualized,Bravemusic,01.01.2002,United Kingdom of Great Britain and Northern Ireland,0:00,,,"['Spiritualized (vocal mix)', ""Spiritualized (Mark Wheawill's 'Eat Your Heart Out Baby dub')""]"
mbrainz_236,Pocket Monsters Remixes,Multipara,05/01/2000,Germany,0:29:47,,,"['Pocket Monster Buy!Buy!Buy (remix)', 'Deep Pocket, Cute Monster', 'Monster Out of the Pocket Amx', 'Pocket Monster', '4-Framecomicstripmix', 'Pocket Monster (Extra Life)', 'Pocket Monster 2000 (feat. Blaxista)', 'Tilt! Tilt! Tilt! M:X']"
mbrainz_237,Happiness,Sound De-Zign,01.01.2001,Germ,1553,,,"['Happiness (original mix)', 'Happiness (Grant Nelson remix)', 'Happiness (Tall Paul remix)', 'Happiness (Coast to Coast remix)']"
mbrainz_241,Electronic Noise EP,Relic,01.01.2001,Germany,0:00,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
mbrainz_242,,Luygi Van,2001,Sweden,0:00:00,,,"['Plaect', 'Luup', 'Luup', 'Effebo', 'Feclac']"
mbrainz_243,Sweet Pink Lemonade,Khan,1994-01-01,Gd5jany,0:00,,,"['Sweet Pink Lemonade, Part I', 'Sweet Pink Lemonade, Part II', '[untitled]']"
mbrainz_244,The Ambush / Fearless Calypso,Twintone,01/01/2000,Germany,713,,,"['The Ambush', 'Fearless Calypso']"
mbrainz_246,Dangerous Liasons,Nigel,01/01/1997,United States of America,0:00,,,"[""Why'd Ya Do It?"", 'The Missionary', 'Snakestyle']"
mbrainz_247,Slave of the Empire EP,"Wishmaster, The",01/01/2001,Italy,0,,,"[""Now Please Don't Panic"", 'Slave of the Empire', 'Take a Little Time']"
mbrainz_249,In Deep Trouble / One Consciousness,"Energy, Kevin",01/01/2001,United Kingdom of Great Britain and Northern Ireland,0,,,"['In Deep Trouble (Trance mix)', 'One Consciousness (Slow mix)']"
mbrainz_251,Electronic World,"Stoll, Steve",01/01/1994,Germany,0,,,"['Drive Over', 'Liquid', 'Electronic World', 'Transposer', 'Waveform']"
mbrainz_252,From Beyond Infinity,Danny Breaks,2000,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"['Invader, Part 1', 'Invader, Part 2', 'Devil Girl From Mars', 'Earthshaker', 'Milkshaker', 'Mars to Jupiter', 'Space Maidens', 'From Beyond Infinity']"
mbrainz_253,Electronic Tax Return,Pimmon,26.01.2001,United States of America,0:36:26,,,"['Yemdatem', 'Beach Party', 'Vovul Lj', 'Smiggins Whole / Loss', 'Ditoko', 'Slow Burn Friends / Dub Aquanauts', 'Arc of Crown and Feather', 'Pulsebuzzkid']"
mbrainz_254,Oporto Deep Cuts,OLN,,United Kingdom of Great Britain and Northern Ireland,0:00:00,,,"['Reboot 144 (Acid Error mix)', 'Reboot 144 (original mix)', 'Places of Pleasure (Sound System)', 'Places of Pleasure (original mix)']"
mbrainz_256,SpiritualInterface (orig.),Det Up Ays5em,1991,Belgium,1288,,,
