id,br,t,dsc,amt,ccy,cluster_id,Link,tdsc,m,mno,ptyp,cn,vrm,stg,rs,ws,bt,it,wd,ln,ht,wt,sc,mt,col,ff
products_3_53085468,Samsung,Samsung 860 Evo 4TB Solid State Drive/SSD,"MZ-76E4T0B/EU, Samsung 860 Evo 4TB SSD, Read Speed: 550MB/Sec, Write Speed: 520MB/Sec, Flash: Samsung V-NAND 3bit MLC",634.53,EUR,1057972,https://www.novatech.co.uk/products/samsung-860-evo-4tb-solid-state-drivessd/mz-76e4t0beu.html,"Samsung 860 Evo 4TB Solid State Drive/SSD. Description: MZ-76E4T0B/EU, Samsung 860 Evo 4TB SSD, Read Speed: 550MB/Sec, Write Speed: 520MB/Sec, Flash: Samsung V-NAND 3bit MLC",860 Evo,MZ-76E4T0B,SSD,,,,550.0 MB/s,0.52 GB/s,,,,,,,,,,
products_3_71446077,Asus,"ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2","ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2 x DisplayPort, USB-C","1,563.20",EUR,1063063,https://www.balistik.fr/cartes-video-graphique/436635-asus-rog-strix-rtx2080ti-o11g-gaming-oc-edition-carte-graphique-gf-rtx-2080-ti-1-4718017136570.html,"ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2. Description: ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2 x DisplayPort, USB-C",ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition,ROG-STRIX-RTX2080TI-O11G-GAMING,GPU,GeForce RTX 2080 Ti,,,,,,,,,,,,GDDR6,,
products_3_86084034,Transcend,"Transcend SSD220 2.5\"" 120GB SATA III Solid State Drive",With Super Fluid performance due to it's SATA III interface and super Smooth 550Mbps read speed .,21.44,GBP,1066948,https://www.cclonline.com/product/211591/TS120GSSD220S/Solid-State-Drives-SSDs-/Transcend-SSD220-120GB-2-5-SATA-III-Solid-State-Drive/SSD0494,"Transcend SSD220 2.5\"" 120GB SATA III Solid State Drive. Description: With Super Fluid performance due to it's SATA III interface and super Smooth 550Mbps read speed .",SSD220,,SSD,,,111.76 GiB,,,,SATA III,,,,,2.5-inch SATA,,,2.5-inch
products_3_43317133,Patriot,SSD 2.5 SATA3 6Gb/s 240GB Patriot Burst 555MBs/500MBs PBU240GS25SSDR,"Patriot SSD 240GB 2.5\"" SATA3 SSD",128.32,GBP,1068495,https://www.slot.ba/proizvod/patriot-ssd-240gb-2-5-sata3,"Patriot SSD 240GB 2.5\"" SATA3. Description: Patriot SSD 240GB 2.5\"" SATA3 SSD",SSD,,SSD,,,,,,,SATA III,,,,,,,,2.5-inch
products_3_55714499,Sandisk,Pendrive Sandisk PEN Drive SDCZ50-128G-B35,Cruzer Blade 128GB,19.16,EUR,1068990,https://mir-informatica.com/perifericos/21470-SDCZ50-128G-B35.html,Pendrive Sandisk PEN Drive SDCZ50-128G-B35. Description: Cruzer Blade 128GB,,SDCZ50-128G-B35,USB_STICK,,,119.21 GiB,,,,,,,,,,,,
products_3_42867068,Samsung,Samsung 970 EVO SSD M.2 2280 - 1TB,"SSD (Solid state drive), 1 TB, intern, Datahastighet:3400 MBps (les) / 2500 MBps (skriv), IOPS: 500000 (les) / 450000 (skriv), 1GB LPDDR4 cache, M.2 2280 (80mm), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.2 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller","1,867.21",NOK,106914,https://www.proshop.no/SSD/Samsung-970-EVO-SSD-M2-2280-1TB/2655438,"Samsung 970 EVO SSD M.2 2280 - 1TB. Description: SSD (Solid state drive), 1 TB, intern, Datahastighet:3400 MBps (les) / 2500 MBps (skriv), IOPS: 500000 (les) / 450000 (skriv), 1GB LPDDR4 cache, M.2 2280 (80mm), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.2 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",,,SSD,,,931.32 GiB,"3,400.0 MB/s",,PCI Express x4,,,,,,,,,
products_3_18920928,Western Digital,HDX 3.5 4Tb WD WDBWLG0040HBK-EESN,"Western Digital Elements Desktop 4TB. Capacità hard disk: 4000 GB,",109.93,,1077512,https://www.esseshop.it/hdx-35-4tb-wd-wdbwlg0040hbkeesn-p-34881.html,"HDX 3.5 4Tb WD WDBWLG0040HBK-EESN. Description: Western Digital Elements Desktop 4TB. Capacità hard disk: 4000 GB,",Western Digital Elements Desktop,WDBWLG0040HBK-EESN,HDD,,,"3,725.29 GiB",,,,,,,,,3.5,,,
products_3_80346269,Asrock,"ASRock Phantom Gaming Radeon RX550 2GB DisplayPort, HDMI, DVI Graphics Card","Core Clock/Memory OC Mode: 1223 MHz / 6024 MHz Default Mode: 1183 MHz / 6000 MHz Silent Mode: 1135 MHz / 5976 MHz 2 GB GDDR5Features Double Ball Bearings Fan Design Graphic Outputs: DisplayPort, HDMI, DVIPhantom Gaming Tweak Utility Temperature and Fan Speed Monitoring Core / Memory Clock Tweak Core / Memory Voltage TweakRadeon WattMan Save, load and share custom Radeon WattMan profiles to quickly and easily optimize performance or create a personalized gaming experienceRadeon Chill Radeon chill designed to save power, lower temperature, Radeon Chill enables high performance graphics when you battle and saves power when you explore.Specification Graphics Engine AMD Radeon RX 560Bus Standard PCI Express x16 Gen3 (uses x8)DirectX 12OpenGL OpenGL 4.5Memory GDDR5 2GBEngine Clock 1183MHzStream Processors 512Memory Clock 6000MHzMemory Bus 128-bitResolution Digital Max Resolution: 5120 x 2880  60HzInterface 1 x Dual-link DVI-D 1 x HDMI 2.0 1 x Display Port 1.4HDCP YesMultiview 3Accessories 1 x Support CD 1 x Quick Installation GuideDimensions 169.58 x 130.89 x 42.05mm","4,836.64",MUR,1080185,https://www.shop4mu.com/graphics-video-and-tv-cards/asrock-phantom-gaming-radeon-rx550-2gb-displayport-hdmi-dvi-graphics-card,"ASRock Phantom Gaming Radeon RX550 2GB DisplayPort, HDMI, DVI Graphics Card. Description: Core Clock/Memory OC Mode: 1223 MHz / 6024 MHz Default Mode: 1183 MHz / 6000 MHz Silent Mode: 1135 MHz / 5976 MHz 2 GB GDDR5Features Double Ball Bearings Fan Design Graphic Outputs: DisplayPort, HDMI, DVIPhantom Gaming Tweak Utility Temperature and Fan Speed Monitoring Core / Memory Clock Tweak Core / Memory Voltage TweakRadeon WattMan Save, load and share custom Radeon™ WattMan profiles to quickly and easily optimize performance or create a personalized gaming experienceRadeon Chill Radeon chill designed to save power, lower temperature, Radeon Chill enables high performance graphics when you battle and saves power when you explore.Specification Graphics Engine AMD Radeon RX 560Bus Standard PCI Express x16 Gen3 (uses x8)DirectX 12OpenGL OpenGL 4.5Memory GDDR5 2GBEngine Clock 1183MHzStream Processors 512Memory Clock 6000MHzMemory Bus 128-bitResolution Digital Max Resolution: 5120 x 2880 @ 60HzInterface 1 x Dual-link DVI-D 1 x HDMI 2.0 1 x Display Port 1.4HDCP YesMultiview 3Accessories 1 x Support CD 1 x Quick Installation GuideDimensions 169.58 x 130.89 x 42.05mm",Phantom Gaming Radeon RX550,,GPU,Radeon RX 560,,,,,PCI Express x16,,,,130.9,,,GDDR5,,
products_3_95284377,Kihgston,Kingston DataTraveler MicroDuo 3C USB Flash Drive 128GB,"The Kingston DataTraveler MicroDuo 3C 128GB with USB 3.1, has read speeds of up to 100 MB/s and write speeds of connector. to 15 MB/s. It has two connectors, one standard USB and one USB Type-C up",35.83,GBP,1085000,https://www.picstop.co.uk/usb-flash-drive/kingston-datatraveler-microduo-3c-usb-flash-drive-128gb.html,"Kingston DataTraveler MicroDuo 3C USB Flash Drive 128GB. Description: The Kingston DataTraveler MicroDuo 3C 128GB with USB 3.1, has read speeds of up to 100 MB/s and write speeds of up to 15 MB/s. It has two connectors, one standard USB and one USB Type-C connector.",DataTraveler MicroDuo 3C,,,,,119.21 GiB,,,USB 3.0,USB Type-C,,,,,USB Type-C,,,
products_3_8832468,Kingston,Kingston 256GB USB 3.0 Flash Drive,DataTraveler 100 G3 256GB,97.53,AUD,1090670,https://www.ishoptech.com.au/products/dt100g3-256gb,"Kingston 256GB USB 3.0 Flash Drive. Description: Mpn: DT100G3/256GBVendor: KingstonKingston 256GB USB 3.0 Flash Drive Description:Kingston USB 3.0 256GB Flash Drive, 5 Year Warranty Long Description: N/A",,DT100G3/256GB,USB_STICK,,,,,,,,,,,,,,,
products_3_10330594,Western Digital,WD Black P10 3TB Game Drive for XBox One - Black/White,"WD Black P10 3TB Game Drive for XBox One - Black/WhiteThe WD_Black P10 Game Drive for Xbox One gives your Xbox the performance-enhancing tools it needs to keep your competitive edge. With up to 5TB1of storage capacity, the WD_Black P10 Game Drive for Xbox One is a top-tier external HDD built specifically for gamers looking to expand the potential of their Xbox so they can drive their game the way they choose. Also included with your purchase is a free, 2-month Xbox Game Pass Ultimate membership which includes all the benefits of Xbox Live Gold, plus access to 100+ high-quality console and PC gamesExpand Your RealmWith up to 5TB1 of additional storage that can save up to 125 games3, the WD_Black P10 Game Drive for Xbox One provides the space you need to grow your game library. Deleting your old games to make room for new ones is a thing of the past, and the WD_Black P10 Game Drive for Xbox One comes with 2-Months of Xbox Game Pass Ultimate for free, so you can continue to collect new titles with over 100+ games available for download in addition to enjoying Xbox Live Gold.5Wherever You Go, Your Games FollowQuickly get into the game, no matter where you are. The WD_Black P10 Game Drive for Xbox One's portable and durable form factor gives you the ability to bring your Xbox game library with you wherever you go. Simply plug in, log on, and you're ready to play any game in your coveted collection4.Built For BetterEverything that goes into WD_Black devices are specifically designed to take your game further, no matter what you play. With speeds up to 130MB/s2 and up to 5TB of extra storage, the WD_Black P10 Game Drive for Xbox One will push your console to new levels of performance, allowing you to drive your game and play without limits.Our Legacy Lives OnTried and true, gamers trust WD_Black with their lives (and saves). Our mission with WD_Black is simple: a brand dedicated to save and enhance your games. Offering dependable, optimized speed boosts, stability and expansion, you can be certain that your WD_Black P10 Game Drive for Xbox One will have your back as you quest for video game greatness.Win Without WorryWD_Black is breaking the mold when it comes to premium storage expansion and performance. Purpose-built for gamers, the WD_Black P10 Game Drive for Xbox One gives your Xbox the trusted, reliable performance boost it needs to perform at a high level, so you'll spend less time worrying about your hardware, and more time winning.SPECIFICATIONS:Capacity : 3 TBInterface: USB 3.2 Gen 1Connector : Micro BCompatibility : Xbox OneDimensions( L X W X H ) : 4.65\"" X 3.46\"" X 0.82\""In the Box : 1)WD_Black P10 Game Drive for Xbox One2) USB Type-A to Micro-B cableProduct Number:WDBA5G0030BBK-WESN",198.59,AUD,1103088,https://www.umart.com.au/WD-Black-P10-3TB-Game-Drive-for-XBox-One---Black-White_53992G.html,"WD Black P10 3TB Game Drive for XBox One - Black/White. Description: WD Black P10 3TB Game Drive for XBox One - Black/WhiteThe WD_Black™ P10 Game Drive for Xbox One™ gives your Xbox the performance-enhancing tools it needs to keep your competitive edge. With up to 5TB1of storage capacity, the WD_Black™ P10 Game Drive for Xbox One™ is a top-tier external HDD built specifically for gamers looking to expand the potential of their Xbox so they can drive their game the way they choose. Also included with your purchase is a free, 2-month Xbox Game Pass Ultimate membership which includes all the benefits of Xbox Live Gold, plus access to 100+ high-quality console and PC gamesExpand Your RealmWith up to 5TB1 of additional storage that can save up to 125 games3, the WD_Black™ P10 Game Drive for Xbox One™ provides the space you need to grow your game library. Deleting your old games to make room for new ones is a thing of the past, and the WD_Black™ P10 Game Drive for Xbox One™ comes with 2-Months of Xbox Game Pass Ultimate for free, so you can continue to collect new titles with over 100+ games available for download in addition to enjoying Xbox Live Gold.5Wherever You Go, Your Games FollowQuickly get into the game, no matter where you are. The WD_Black™ P10 Game Drive for Xbox One™'s portable and durable form factor gives you the ability to bring your Xbox game library with you wherever you go. Simply plug in, log on, and you're ready to play any game in your coveted collection4.Built For BetterEverything that goes into WD_Black™ devices are specifically designed to take your game further, no matter what you play. With speeds up to 130MB/s2 and up to 5TB of extra storage, the WD_Black™ P10 Game Drive for Xbox One™ will push your console to new levels of performance, allowing you to drive your game and play without limits.Our Legacy Lives OnTried and true, gamers trust WD_Black™ with their lives (and saves). Our mission with WD_Black™ is simple: a brand dedicated to save and enhance your games. Offering dependable, optimized speed boosts, stability and expansion, you can be certain that your WD_Black™ P10 Game Drive for Xbox One™ will have your back as you quest for video game greatness.Win Without WorryWD_Black™ is breaking the mold when it comes to premium storage expansion and performance. Purpose-built for gamers, the WD_Black™ P10 Game Drive for Xbox One™ gives your Xbox the trusted, reliable performance boost it needs to perform at a high level, so you'll spend less time worrying about your hardware, and more time winning.SPECIFICATIONS:Capacity : 3 TBInterface: USB 3.2 Gen 1Connector : Micro BCompatibility : Xbox OneDimensions( L X W X H ) : 4.65\"" X 3.46\"" X 0.82\""In the Box : 1)WD_Black P10 Game Drive for Xbox One2) USB Type-A to Micro-B cableProduct Number:WDBA5G0030BBK-WESN",Black P10 Game Drive for XBox One,WDBA5G0030BBK-WESN,HDD,,,,,,USB 3.0,,87.9,,,,,,,
products_3_32141517,Hewlett Packard Enterprise,HPE 1.8TB SAS 12G Enterprise 10K SFF (2.5in) SC 3yr Wty 512e Digitally Signed Firmware HDD,"HPE G8-G10 1.8TB was engineered to deliver optimum performance, reliability, compatibility, and data security across all types of server and storage platforms. Suitable for critical, and entry-level storage solutions","1,379.25",SAR,110368,https://sa.senetic.com/product-872481-b21,"HPE 1.8TB SAS 12G Enterprise 10K SFF (2.5in) SC 3yr Wty 512e Digitally Signed Firmware HDD. Description: HPE G8-G10 1.8TB was engineered to deliver optimum performance, reliability, compatibility, and data security across all types of server and storage platforms. Suitable for critical, and entry-level storage solutions",,,HDD,,,,,,SAS,SAS,,,,,2.5-inch SATA,,,2.5-inch
products_3_42589927,,"SSD 2.5\"" 960GBIntel DC S4510 TLC Bulk Sata 3","SSD 2.5\"" 960GBIntel DC S4510 TLC Bulk Sata 3",487.39,EUR,1121132,https://voelzke.de/SSD-25-960GB-Intel-DC-S4510-TLC-Bulk-Sata-3,"SSD 2.5\"" 960GBIntel DC S4510 TLC Bulk Sata 3. Description: SSD 2.5\"" 960GBIntel DC S4510 TLC Bulk Sata 3",DC S4510,,SSD,,,894.07 GiB,,,SATA,,,,,,2.5-inch SATA,,,
products_3_84153542,,"ADATA SSD 512GB XPG SPECTRIX S40G, PCIe Gen3x4 M.2 2280 (R:3500/W:3000 MB/s)","XPG Spectrix S40G, 512 GB, M.2, 3500 MB/s",810.81,HRK,1125926,https://www.uzishop.hr/ssd-m2/73010-xpg-spectrix-s40g-m2-512-gb-pci-express-30-3d-tlc-nvme-4710273771113.html,"XPG Spectrix S40G512 GB M.2 PCI Express 3.0 3D TLC NVMe. Description: XPG Spectrix S40G, 512 GB, M.2, 3500 MB/s",Spectrix S40G,,SSD,,,476.84 GiB,"3,500.0 MB/s",,PCI Express x16,NVMe,,,,,M.2,,,
products_3_43259269,Samsung,"Samsung 860 QVO 2TB SSD, V-NAND 4bit MLC","Samsung 2TB SSD, 860 QVO, SATA III 2.5inch 7mm, Read up to 550MB/s, Write up to 520MB/s, 97K/89K IOPS Random R/W, V-NAND 4bit MLC",351.35,GBP,1134888,https://computers.scorptec.com.au/computer/Samsung-860-Qvo,"Samsung 860 QVO 2TB SSD, V-NAND 4bit MLC. Description: Samsung 2TB SSD, 860 QVO, SATA III 2.5inch 7mm, Read up to 550MB/s, Write up to 520MB/s, 97K/89K IOPS Random R/W, V-NAND 4bit MLC",860 QVO,,SSD,,,"1,862.65 GiB",550.0 MB/s,520.0,SATA,SATA III,,,,,,,,2.5-inch
products_3_66328929,Gigabyte,Gigabyte AORUS M.2 2280 NVMe 1TB PCIe 4.0 Internal SSD 5000MB/s GP-ASM2NE6100TTTD | PCByte,"Capacity: 1TB (1000GB)Form Factor : M.2(2280)Read : Up to 5000 MB/sWrite : Up to 4400 MB/sInterface: NVMe 1.3, PCIe Gen4x4",339.60,AUD,11349,https://www.pcbyte.com.au/store/product/gigabyte-aorus-m-2-2280-nvme-1tb-pcie-4-0-internal-ssd-5000mb-s-gp-asm2ne6100tttd-24287,"Gigabyte AORUS M.2 2280 NVMe 1TB PCIe 4.0 Internal SSD 5000MB/s GP-ASM2NE6100TTTD | PCByte. Description: Capacity: 1TB (1000GB)Form Factor : M.2(2280)Read : Up to 5000 MB/sWrite : Up to 4400 MB/sInterface: NVMe 1.3, PCIe Gen4x4",,GP-ASM2NE6100TTTD,SSD,,,,"5,000.0 MB/s",,PCI Express x4,NVMe 1.3,,,,,M.2,,,
products_3_54935090,Kingston,Kingston Data Traveler 100 G3 USB 3.1 Flash Drive Memory Stick 100MB/s- 128GB,"This drive is supplied brand new in sealed retail / card packaging complete with a reassuring manufacturers 5 year warranty.SUPERFAST USB 3.1 MODEL!! Transfer music, video and more quickly and easily: Up to a whopping 100MB/s read and 10MB/s write speeds. Stylish black-on-black, sliding cap design Product Dimensions: 60mm x 21.2mm x10mm. USB 3.1 is USB 3.0 compatible and backwards compatible with USB 2.0. Amazing value: A perfect choice for everyday uses for photography, large files, music, video etc. etc. Use out and about or at work, home or college/school/university etc. - 128GB flash drive",12.89,GBP,1153072,https://www.picstop.co.uk/usb-flash-drive/kingston-datatraveler-100-g3-usb-flash-drive-30-128gb.html,Kingston DataTraveler 100 G3 USB Flash Drive 3.0 128GB. Description: The Kingston DataTraveler 100 G3 USB Flash Drive 3.0 128GB is a black USB which takes advantage of newer technology,DataTraveler 100 G3,,,,,128.0,,,USB 3.0,,,,,,,,,
products_3_68616904,,"10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD","10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD",436.95,USD,1174110,https://www.avadirect.com/10TB-Exos-X10-Helium-ST10000NM0016-7200-RPM-SATA-6Gb-s-Hyperscale-512e-256MB-cache-3-5-Inch-HDD/Product/10461909,"10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD. Description: 10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD",Exos X10 (Helium),ST10000NM0016,HDD,,,"9,313.23 GiB",,,,,,,,,,,,
