id,brnd,prd_ttl,desc,prc,cur,cluster_id,link,t_desc,mdl,mdl_no,prd_typ,chip,vram,stor,rd_speed_mbs,wr_speed_mbs,bus_t,iface_t,w_mm,l_mm,h_mm,wt_g,stor_conn,mem_t,clr,form_f
products_4_19320322,Western Digital,"WD 4TB Elements USB 3.0 3.5"" Desktop Hard Drive","WD 4TB Elements USB 3.0 3.5"" Desktop Hard Drive",104.2,GBP,1077512,https://shop.bt.com/products/wd-4tb-elements-usb-3-0-3-5--desktop-hard-drive-wdbwlg0040hbk-eesn-9H00.html,"WD 4TB Elements USB 3.0 3.5"" Desktop Hard Drive. Description: WD 4TB Elements USB 3.0 3.5"" Desktop Hard Drive",Components,,HDD,,,3725.29 GiB,,,USB 3.0,,,,,,,,,
products_4_48009265,Asrock,"Asrock , Radeon Rx 550, 2 Gb, Gddr5, 128 Bit, 5120 X 2880 Pixeles,",", Radeon Rx 550, 2 Gb, Gddr5, 128 Bit, 5120 X 2880 Pixeles, Pci Express X16 3.0",99.19,EUR,1080185,https://powertechbcn.com/es/tarjetas-graficas/662-asrock-radeon-rx-550-2-gb-gddr5-128-bit-5120-x-2880-pixeles-4717677335842.html,"Asrock , Radeon Rx 550, 2 Gb, Gddr5, 128 Bit, 5120 X 2880 Pixeles,. Description: , Radeon Rx 550, 2 Gb, Gddr5, 128 Bit, 5120 X 2880 Pixeles, Pci Express X16 3.0",Radeon Rx 550,,GPU,,,,,,PCI Express x16,,,,,,,Gddr5,,
products_4_21755591,Kingston,Kingston Technology DataTraveler microDuo 3C 128GB USB flash drive USB Type-A / USB Type-C 3.0 (3.1 Gen 1) Silver,Kingston USB microDuo 128GB DataTraveler 3.0,28.59,GBP,1085000,https://shop.bt.com/products/kingston-datatraveler-microduo-128gb-usb-3-0-dtduo3c-128gb-DQPR.html?AddToWishlist=1,Kingston DataTraveler microDuo 128GB USB 3.0. Description: Kingston DataTraveler microDuo 128GB USB 3.0,DataTraveler microDuo,,,,,119.21 GiB,,,USB 3.0,,,,,,,,,
products_4_30847749,Kkngston,Kingston DataTraveler 100 256GB USB 3.0,Kingston DataTraveler 100 256GB USB 3.0,39.92,EUR,1090670,https://shop.bt.com/products/kingston-datatraveler-100-256gb-usb-3-0-dt100g3-256gb-DQPN.html?refs=50543-50113,Kingston DataTraveler 100 256GB USB 3.0. Description: Kingston DataTraveler 100 256GB USB 3.0,DataTraveler 100,,USB_STICK,,,238.42 GiB,,,USB 3.0,,,,,,,,,
products_4_73423155,Western Digital,"HDD extern WD Black P10 Game Drive for Xbox 3TB, 2.5\"", USB 3.2 Gen1 - WDBA5G0030BBK-WESN","HDD extern WD Black P10 Game Drive for Xbox 3TB, 2.5\"", USB 3.2 Gen1 - WDBA5G0030BBK-WESN",788.0,RON,1103088,http://shop.avansoft.ro/cumpara/hdd-extern-wd-black-p10-game-drive-for-xbox-3tb-2-5-usb-3-2-gen1-17343,"HDD extern WD Black P10 Game Drive for Xbox 3TB, 2.5\"", USB 3.2 Gen1 - WDBA5G0030BBK-WESN. Description: HDD extern WD Black P10 Game Drive for Xbox 3TB, 2.5\"", USB 3.2 Gen1 - WDBA5G0030BBK-WESN",Drive P10 Game Black for Xbox,,HDD,,,2793.97 GiB,,,USB 3.0,,,,,,,,,2.5-inch
products_4_45388399,Hewlett Packard Enterprise,HPE 1.8TB SAS 10K SFF SC 512e DS HDD,"Capacity: 1.8 Terabyte | Speed: 10,000 rpm | Interface: SAS 12 Gb/s 6.4 cm (2.5\"") | Application: Server, Storage",282.0,EUR,110368,https://www.bechtle.com/pt-en/shop/hpe-1-8tb-sas-10k-sff-sc-512e-ds-hdd--4165320--p,"HPE 1.8TB SAS 10K SFF SC 512e DS HDD. Description: Capacity: 1.8 TB | Speed: 10,000 rpm | Interface: SAS 12 Gb/s 6.4 cm (2.5\"") | Application: Server, Storage",,,HDD,,,1676.38 GiB,,,SAS,SAS,,,,,2.5-inch SAS,,,
products_4_49018985,,"Intel® SSD DC S4510 Series (960GB, 2.5in SATA 6Gb/s, 3D2, TLC)","Intel® SSD DC S4510 Series (960GB, 2.5in SATA 6Gb/s, 3D2, TLC) Generic Single Pack",112000.0,HUF,1121132,https://www.ikontakt.hu/Intel-SSD-DC-S4510-Series-960GB-2-5in-SATA-6Gb/s-3,"Intel® SSD DC S4510 Series (960GB, 2.5in SATA 6Gb/s, 3D2, TLC). Description: Intel® SSD DC S4510 Series (960GB, 2.5in SATA 6Gb/s, 3D2, TLC) Generic Single Pack",SSD DC S4510 Series,,SSD,,,894.07 GiB,,,SATA,,,,,,2.5-inch SATA,,,2.5-inch
products_4_58494350,,Samsung 860 QVO 2TB Solid State Drive/SSD,Warranty : 3 Years with Local Distributor - Eternal Asia,429.0,SGD,1134888,https://www.allstars.com.sg/samsung-2tb-860-qvo-int-2-5-sata3-ssd-mz-76q2t0bw-wrty-w-ea,"SAMSUNG 2TB 860 QVO INT 2.5\"" SATA3 SSD (MZ-76Q2T0BW)-WRTY W/EA. Description: Warranty : 3 Years with Local Distributor - Eternal Asia",,,SSD,,,1862.65 GiB,,,,,,,,,2.5-inch SATA,,,2.5-inch
products_4_54449018,Gigabyte,Gigabyte 1TB NVMe Gen4 AORUS M.2 SSD,"(Solid, 1TB, AORUS, Drive), Gen4, Gigabyte, M.2, NVMe, SSD, State",199.0,EUR,11349,https://www.megekko.nl/product/5093/263398/SSD-M-2/Gigabyte-AORUS-NVMe-Gen4-1TB-M-2-SSD,"Gigabyte AORUS NVMe Gen4 1TB M.2 SSD. Description: (Solid, 1TB, AORUS, Drive), Gen4, Gigabyte, M.2, NVMe, SSD, State",AORUS NVMe Gen4,,SSD,,,931.32 GiB,,,PCIe 4.0,,,,,,M2,,,
products_4_58191363,,"DataTraveler 100 G3, 128GB, USB 3.0, Black, Flash Drive","Kingston’s DataTraveler® 100 G3 (DT100G3/128GB) USB Flash drive is compliant with USB 3.0 specifications1 to take advantage of technology in newer notebooks, desktop PCs and digital devices. DT100G3 makes it easier than ever to store and transfer documents, presentations, music, video and more.",18.49,USD,1153072,https://www.avadirect.com/DataTraveler-100-G3-128GB-USB-3-0-Black-Flash-Drive/Product/10047180,"DataTraveler 100 G3, 128GB, USB 3.0, Black, Flash Drive. Description: Kingston’s DataTraveler® 100 G3 (DT100G3/128GB) USB Flash drive is compliant with USB 3.0 specifications1 to take advantage of technology in newer notebooks, desktop PCs and digital devices. DT100G3 makes it easier than ever to store and transfer documents, presentations, music, video and more.",Data Traveler 100 G3,DT100G3/128GB,USB_STICK,,,119.21 GiB,,,USB 3.0,,,,,,,,,
products_4_78036655,Seagate,Seagate 10TB Enterprise Capacity 3.5'' HDD 10TB 7200 RPM 256MB Cache Hyperscale 512e ST10000NM0016,"10TB Storage Capacity3.5\"" Form FactorSATA 6 Gb/s Interface256MB Cache7200 rpmUp to 254 MB/s Max. Transfer Rate2.5 Million Hours MTBFReduced Power Consumption",278.99,USD,1174110,https://www.dealsaday.com/seagate-10tb-enterprise-capacity-3-5-hdd-10tb-7200-rpm-256mb-cache-hyperscale-512e-st10000nm0016.html,"Seagate 10TB Enterprise Capacity 3.5'' HDD 10TB 7200 RPM 256MB Cache Hyperscale 512e ST10000NM0016. Description: 10TB Storage Capacity3.5\"" Form FactorSATA 6 Gb/s Interface256MB Cache7200 rpmUp to 254 MB/s Max. Transfer Rate2.5 Million Hours MTBFReduced Power Consumption",Enterprise Capacity,,HDD,,,9313.23 GiB,,,SATA,SATA III,,,,,3.5-inch SATA,,,
products_4_70763343,ADATA,ADATA SU800 M.2 2280 256GB SSD 3D NAND SATA 6Gb/s,Device LocationPlug-in CardForm FactorM.2Storage Capacity256 GBSupports Data ChannelSATA III-600External Data Bit Rate6 GbpsFlash Memory Cell TechnologyTriple-Level CellMaximum Random Read Rate90000 IOPSMaximum Random Write Rate80000 IOPSMaximum Sequential Read Rate560 MB/sMaximum Sequential Write Rate520 MB/sSATA III Interface Quantity1Mean Time Between Failures2000000 hrSolid State Drive FeaturesRAID SupportShock Tolerance Operating1500G  0.5msMaximum Operating Ambient Temperature70 °CMinimum Operating Ambient Temperature0 °CMaximum Non-Operating Ambient Temperature85 °CMinimum Non-Operating Ambient Temperature40 °CDepth (mm)3.5 mmHeight (mm)80 mmWidth (mm)22 mmNominal Weight0.008 kgPackage TypeRetailWarranty Products ReturnableYesWarranty Term (month)36 month(s)Warranty Validation CriteriaSerial NumberPack Weight Brutto (kg)0.02 kgPieces in pack1Box Weight Brutto (kg)0.02 kgRetail Packaging Net Weight Carton0.02 kgRetail Packaging Net Weight Plastic0.02 kgPacks in Box1,38.99,EUR,1178275,https://www.epksistemos.lt/kompiuteriu-komponentai/kietieji-diskai-ssd/adata-su800-m-2-2280-256gb-ssd-3d-nand-detail.html,ADATA SU800 M.2 2280 256GB SSD 3D NAND SATA 6Gb/s. Description: Device LocationPlug-in CardForm FactorM.2Storage Capacity256 GBSupports Data ChannelSATA III-600External Data Bit Rate6 GbpsFlash Memory Cell TechnologyTriple-Level CellMaximum Random Read Rate90000 IOPSMaximum Random Write Rate80000 IOPSMaximum Sequential Read Rate560 MB/sMaximum Sequential Write Rate520 MB/sSATA III Interface Quantity1Mean Time Between Failures2000000 hrSolid State Drive FeaturesRAID SupportShock Tolerance Operating1500G @ 0.5msMaximum Operating Ambient Temperature70 °CMinimum Operating Ambient Temperature0 °CMaximum Non-Operating Ambient Temperature85 °CMinimum Non-Operating Ambient Temperature-40 °CDepth (mm)3.5 mmHeight (mm)80 mmWidth (mm)22 mmNominal Weight0.008 kgPackage TypeRetailWarranty Products ReturnableYesWarranty Term (month)36 month(s)Warranty Validation CriteriaSerial NumberPack Weight Brutto (kg)0.02 kgPieces in pack1Box Weight Brutto (kg)0.02 kgRetail Packaging Net Weight Carton0.02 kgRetail Packaging Net Weight Plastic0.02 kgPacks in Box1,SU800,,SSD,,,,560.0 MB/s,,SATA,SATA III,22.0,88.9,,8.0,,,,
products_4_47513440,Inno3D,Inno3D N20702-08D6-1710VA23 videokaart GeForce RTX 2070 8 GB GDDR6,"GeForce RTX 2070 Twin X2, 8 GB GDDR6, 256-bit, 2304 CUDA, 1620 MHz, PCI-E 3.0 x16, HDCP 2.2, HDMI 2.0b, 3x DP 1.4, 8-pin, 196x113 mm",400.81,EUR,118064,https://www.hardware-deals.eu/shop/computeronderdelen/videokaarten/inno3d-n20702-08d6-1710va23-videokaart-geforce-rtx-2070-8-gb-gddr6,"Inno3D N20702-08D6-1710VA23 videokaart GeForce RTX 2070 8 GB GDDR6. Description: GeForce RTX 2070 Twin X2, 8 GB GDDR6, 256-bit, 2304 CUDA, 1620 MHz, PCI-E 3.0 x16, HDCP 2.2, HDMI 2.0b, 3x DP 1.4, 8-pin, 196x113 mm",GeForce RTX 2070 Twin X2,N20702-08D6-1710VA23,GPU,GeForce RTX 2070,8.0,,,,PCI Express x16,,,,,,,GDDR6,,
products_4_9621025,Gigabyte,GIGABYTE PCIE16 GT1030 2GB GDDR5/GV-N1030OC-2GI VIDEO KARTE,Powered by GeForce® GT 1030Integrated with 2GB GDDR5 64bit memorySupports HDMI 4K60HzSmooth 4K video playback and HTML5 web browsingOne-click overclocking via AORUS Graphics EngineSpecificationChipsetNVIDIA GeForce GT 1030Graphics memory size2 GBMemory bus64 bitGraphics connectorPCIE 3.0 16xGraphics memory typeGDDR5Memory clock6008 MHzGPU clock1265 MHzGPU boost clock1518 MHzMax resolution4096x2160Cooling systemSingle Slot FansinkShipping box quantity1Unit Brutto Volume0.003407 cubmUnit Net Weight0.32 kgUnit Gross Weight0.44 kg,86.9,,1181812,https://elbox.lv/gigabyte-pcie16-gt1030-2gb-gddr5-gv-n1030oc-2gi-video-karte.43614.pd,GIGABYTE PCIE16 GT1030 2GB GDDR5/GV-N1030OC-2GI VIDEO KARTE. Description: Powered by GeForce® GT 1030Integrated with 2GB GDDR5 64bit memorySupports HDMI 4K@60HzSmooth 4K video playback and HTML5 web browsingOne-click overclocking via AORUS Graphics EngineSpecificationChipsetNVIDIA GeForce GT 1030Graphics memory size2 GBMemory bus64 bitGraphics connectorPCIE 3.0 16xGraphics memory typeGDDR5Memory clock6008 MHzGPU clock1265 MHzGPU boost clock1518 MHzMax resolution4096x2160Cooling systemSingle Slot FansinkShipping box quantity1Unit Brutto Volume0.003407 cubmUnit Net Weight0.32 kgUnit Gross Weight0.44 kg,PCIE16 GT1030 2GB GDDR5,GV-N1030OC-2GI,GPU,GeForce GT 1030,,,,,PCI Express x16,,,,,,,,,
products_4_64315121,Hewlett Packard Enterprise,Dysk HPE MSA 1.2TB 12G SAS 10K SFF 2.5inch HDD,"HPE Enterprise 1.2 TB hot-swap drive, 2.5"" x SFF, SAS 12Gb/s, 10000 rpm",1121.17,PLN,12239486,https://it-broker24.pl/dyski-twarde/dyski-twarde-wewnetrzne/dyski-hp-enterprise/dysk-hpe-msa-1-2tb-12g-sas-10k-sff-2-5inch-hdd-detail,"Dysk HPE MSA 1.2TB 12G SAS 10K SFF 2.5inch HDD. Description: HPE Enterprise 1.2 TB - hot-swap - 2,5\"" x SFF - SAS 12Gb/s - 10000 obr/min",MSA,,HDD,,,1117.59 GiB,,,SAS,SAS,,,,,2.5-inch SAS,,,
products_4_8389373,Asus,ASUS GeForce RTX 3080 TUF GAMING,"Skjermkort, PCI-Express 4.0, 10GB GDDR6X, Ampere",8000.0,NOK,1227380,https://www.komplett.no/product/1168358/datautstyr/pc-komponenter/skjermkort/asus-geforce-rtx-3080-tuf-gaming,"ASUS GeForce RTX 3080 TUF GAMING. Description: Skjermkort, PCI-Express 10GB GDDR6X, Ampere",GeForce RTX 3080 TUF,,,GeForce RTX 3080,10.0,,,,PCIe 4.0,,,,,,,,,
products_4_72004049,Samsung,Samsung Portable SSD T7 MU-PC2T0Hsolid state drive - 2 TB - USB 3.2 Gen 2,"External storage, evolvedTransfer in a flashSecure with a touch",330.35,GBP,1252792,https://www.ballicom.co.uk/samsung-mu-pc2t0h-ww-.p1488035.html,"Samsung Portable SSD T7 MU-PC2T0Hsolid state drive - 2 TB - USB 3.2 Gen 2. Description: External storage, evolvedTransfer in a flashSecure with a touch",Portable SSD T7,,,,,1862.65 GiB,,,,,,,,,,,,
products_4_29939200,Seagate,Seagate 2TB Game Drive for PS4 Black,"2TB Seagate STGD2000200 PS4 Game Drive, Portable External HDD, USB 3.0, Bus Powered, Officially Licensed, Black",,GBP,1255371,https://www.officeworks.com.au/shop/officeworks/p/seagate-2tb-game-drive-for-ps4-black-sgps42tb?cm_sp=all:best-products:::10-hard-drives:ps4,"PS4 Portable Game Drive - 2TB. Description: We have partnered with PlayStation to design a powerful 2 TB external hard drive that gives you loads of capacity and perfect PS4 performance so you can hold onto the games you love, plus install new ones.",Game DRive for PS4,,,,,,,,USB 3.0,,,,,,,,Black,
products_4_15633031,,"300GB Exos 15E900 ST300MP0106, 15000 RPM, SAS 12Gb/s, 512n/4Kn, 256MB cache, 2.5-Inch HDD","300GB Exos 15E900 ST300MP0106, 15000 RPM, SAS 12Gb/s, 512n/4Kn, 256MB cache, 2.5-Inch HDD",204.73,USD,1281060,https://www.avadirect.com/300GB-Exos-15E900-ST300MP0106-15000-RPM-SAS-12Gb-s-512n-4Kn-256MB-cache-2-5-Inch-HDD/Product/10914915,"300GB Exos 15E900 ST300MP0106, 15000 RPM, SAS 12Gb/s, 512n/4Kn, 256MB cache, 2.5-Inch HDD. Description: 300GB Exos 15E900 ST300MP0106, 15000 RPM, SAS 12Gb/s, 512n/4Kn, 256MB cache, 2.5-Inch HDD",Exos 15E900,,,,,279.40 GiB,,,SAS,SAS,,,,,2.5-inch SATA,,,2.5-inch
products_4_66415332,EVGA,"EVGA GT 710 2GB DDR3 64bit Single Slot, Dual DVI 02G-P3-2717-KR","Make your entire PC experience faster with the EVGA GeForce GT 710 dedicated graphics card. Now, you can enjoy up to 10x better performance than integrated graphics in all your PC multimedia applications. Take on modern games with advanced and reliable dedicated graphics. 80% faster performance than integrated graphics means a rich and smooth gaming experience. Plus, get the power to drive up to three HD displays with a single card. Geforce gt means speed, stability, and industry leading NVIDIA",55.68,USD,1283978,https://www.orion-web.net/rnwp/1521/evga-gt-710-2gb-ddr3-64bit-single-slot-dual-dvi-02g-p3-2717-kr,"EVGA GT 710 2GB DDR3 64bit Single Slot, Dual DVI 02G-P3-2717-KR. Description: Make your entire PC experience faster with the EVGA GeForce GT 710 dedicated graphics card. Now, you can enjoy up to 10x better performance than integrated graphics in all your PC multimedia applications. Take on modern games with advanced and reliable dedicated graphics. 80% faster performance than integrated graphics means a rich and smooth gaming experience. Plus, get the power to drive up to three HD displays with a single card. Geforce gt means speed, stability, and industry leading NVIDIA",GT 710,02G-P3-2717-KR,GPU,GeForce GT 710,2.0,,,,,,,,,,,DDR3,,Single Slot
products_4_54530409,Crucial,Crucial P1 3D NAND NVMe - 2TB SSD - 2 TB - M.2 2280 (80mm) - PCI Express x4 (NVMe),"Crucial P1 2TB 3D NAND NVMe PCIe M.2 SSDSPECIFICATIONS:Life Cycle - NewSSD Series - P1Warranty - Manufacturer's 5 Year LimitedForm Factor - m2_2280Sequential Read - 2000 MB/sCapacity - 2TBSequential Write - 1700 MB/sInterface - PCIe G3 1x4 / NVMeSpecs - 2TB M.2 SSD • PCIe NVMe Gen 3 • 2,000 MB/s Read, 1,700 MB/s Write",325.0,AUD,1284392,https://www.umart.com.au/Crucial-P1-2TB-3D-NAND-NVMe-PCIe-M-2-SSD_55856G.html,"Western Digital WDS200T2B0B WD Blue 3D NAND 2TB M.2 SSD,SATA. Description: Crucial P1 2TB 3D NAND NVMe PCIe M.2 SSDSPECIFICATIONS:Life Cycle - NewSSD Series - P1Warranty - Manufacturer's 5 Year LimitedForm Factor - m2_2280Sequential Read - 2000 MB/sCapacity - 2TBSequential Write - 1700 MB/sInterface - PCIe G3 1x4 / NVMeSpecs - 2TB M.2 SSD • PCIe NVMe Gen 3 • 2,000 MB/s Read, 1,700 MB/s Write",WD Blue 3D NAND,WDS200T2B0B,SSD,,,1862.65 GiB,"2,000.0 MB/s",1700.0,,,,,,,M.2,,,M.2 2280
