id,brand,title,description,price,priceCurrency,cluster_id,product_url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_1_1022732,Samsung,"Samsung 860 EVO 4TB 2.5\"" SATA 3D V-NAND SSD/Solid State Drive",Samsung 860 EVO MZ-76E4T0B - Solid state drive - gecodeerd - 4 TB - intern - 2.5'' - SATA 6Gb/s -buffer: 4 GB - 256-bits AES - TCG Opal Encryption 2.0,600.48,GBP,1057972,https://cdm-it.nl/randapparatuur/samsung-mz-76e4t0b-eu.html,Samsung 860 EVO Series SSD 4TB. Description: Samsung 860 EVO MZ-76E4T0B - Solid state drive - gecodeerd - 4 TB - intern - 2.5'' - SATA 6Gb/s -buffer: 4 GB - 256-bits AES - TCG Opal Encryption 2.0,860 EVO Series,MZ-76E4T0B/EU,SSD,,,3725.29 GiB,,,SATA,SATA III,,,,,25-inch SATA,,,2.5-inch
products_1_20439392,Asus,ASUS GeForce RTX 2080 Ti 11GB Strix Edition Boost Graphics Card,Available  CCL: ASUS GeForce RTX 2080 Ti Strix Edition 11GB Overclocked Graphics Card. HDMI and DisplayPort inputs. Direct X 12 Support. VR Ready.,1970.15,GBP,1063063,https://www.cclonline.com/product/264131/90YV0CC0-M0NM00/Graphics-Cards/Asus-ROG-Strix-RTX-2080-Ti-11GB-Graphics-Card-PCI-E-2-x-DisplayPort/2-x-HDMI-/USB-C/VGA5378,ASUS GeForce RTX 2080 Ti 11GB Strix Edition Boost Graphics Card. Description: Available @ CCL: ASUS GeForce RTX 2080 Ti Strix Edition 11GB Overclocked Graphics Card. HDMI and DisplayPort inputs. Direct X 12 Support. VR Ready.,GeForce RTX 2080 Ti Strix Edition Boost,,GPU,GeForce RTX 2080 Ti,,,,,,,,,,,,,,
products_1_8051112,,Ssd 2.5in 120gb Sata3 Tlc,Ssd 2.5in 120gb Sata3 Tlc ALUMINIUM,28.92,EUR,1066948,https://www.housepcshop.it/solid-state-drive/23878-ssd-25in-120gb-sata3-tlc.html,Ssd 2.5in 120gb Sata3 Tlc. Description: Ssd 2.5in 120gb Sata3 Tlc ALUMINIUM,,,SSD,,,120.0,,,,,,,,,,,,
products_1_32738830,Patriot,Patriot Burst 240GB 2.5\\,"The Patriot Burst Solid-State Drive (SSD) is the perfect way to enhance computer performance. Burst offers transfer speeds at up ot 560MB/s read and 540MB/s write to eliminate bottlenecks. With a SATA III interface, this SSD provides greater performance over traditional HDDs.At only 7mm high in a 2.5\\",38.46,BAM,1068495,https://www.technextday.co.uk/patriot-burst-240gb-25-sata-iii-ssd-pbu240gs25ssdr,"Patriot Burst 240GB 2.5\\. Description: The Patriot Burst Solid-State Drive (SSD) is the perfect way to enhance computer performance. Burst offers transfer speeds at up ot 560MB/s read and 540MB/s write to eliminate bottlenecks. With a SATA III interface, this SSD provides greater performance over traditional HDDs.At only 7mm high in a 2.5\\",Burst,,SSD,,,223.52 GiB,0.56 GB/s,500.0,SATA,SATA III,,,7.0,,2.5-inch SATA,,,2.5-inch
products_1_25469647,Sandisk,SanDisk Cruzer Blade 128GB USB 2.0 Pen Drive,"ENJOY AMPLE CAPACITIES AND MAXIMUM PORTABILITYWith its stylish, compact design and generous capacity, the Cruzer Blade USB Flash Drive makes it easy to back up, transfer, and share your files. Available in capacities up to 128GB , this USB drive lets you carry your photos, movies, music, and personal data wherever you go.COMPACT DESIGN FOR MAXIMUM PORTABILITYThe Cruzer Blade USB Flash Drive features a compact design that fits easily into a pocket or computer bag. This USB drive has a sleek black and red design that coordinates with many electronic devices.HIGH-CAPACITY DRIVE ACCOMMODATES YOUR FAVORITE MEDIA FILESDesigned by SanDisk, a leader in flash memory innovation, the Cruzer Blade USB Flash Drive packs generous capacity into a form. Available in sizes up to 128GB, this USB drive can hold all your must-have files.SIMPLE DRAG-AND-DROP FILE BACKUPTransferring data onto the Cruzer Blade USB Flash Drive is easy: simply plug it into your computer's USB port and drag files into the drive's folder. After a fast, first-time driver download, this USB drive lets you start storing, transporting, and sharing your data immediately.",1685.28,INR,1068990,https://debaggo.com/shop/product/sandisk-cruzer-blade-128gb-usb-2-0-pen-drive-25,"SanDisk Cruzer Blade 128GB USB 2.0 Pen Drive. Description: ENJOY AMPLE CAPACITIES AND MAXIMUM PORTABILITYWith its stylish, compact design and generous capacity, the Cruzer Blade USB Flash Drive makes it easy to back up, transfer, and share your files. Available in capacities up to 128GB , this USB drive lets you carry your photos, movies, music, and personal data wherever you go.COMPACT DESIGN FOR MAXIMUM PORTABILITYThe Cruzer Blade USB Flash Drive features a compact design that fits easily into a pocket or computer bag. This USB drive has a sleek black and red design that coordinates with many electronic devices.HIGH-CAPACITY DRIVE ACCOMMODATES YOUR FAVORITE MEDIA FILESDesigned by SanDisk, a leader in flash memory innovation, the Cruzer Blade USB Flash Drive packs generous capacity into a compact form. Available in sizes up to 128GB, this USB drive can hold all your must-have files.SIMPLE DRAG-AND-DROP FILE BACKUPTransferring data onto the Cruzer Blade USB Flash Drive is easy: simply plug it into your computer's USB port and drag files into the drive's folder. After a fast, first-time driver download, this USB drive lets you start storing, transporting, and sharing your data immediately.",Cruzer Blade,,USB_STICK,,,,,,USB 2.0,,,,,,,,,
products_1_23574144,Samsung,Samsung 970 EVO SSD M.2 2280 - 1TB,"SSD (Solid state drive), 1 TB, intern, Datahastighed: 3400 MBps (læs) / 2500 MBps (skriv), IOPS: 500000 (læs) / 450000 (skriv), 1GB LPDDR4 cache, M.2 2280 (80mm), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.2 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",1401.43,DKK,106914,https://www.proshop.dk/SSD/Samsung-970-EVO-SSD-M2-2280-1TB/2655438,"Samsung 970 EVO SSD M.2 2280 - 1TB. Description: SSD (Solid state drive), 1 TB, intern, Datahastighed: 3400 MBps (læs) / 2500 MBps (skriv), IOPS: 500000 (læs) / 450000 (skriv), 1GB LPDDR4 cache, M.2 2280 (80mm), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.2 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",970 EVO,,SSD,,,1000.0,,,PCI Express x4,,,,,,,,,M.2 2280
products_1_15497680,Western Digital,Hard disk extern WD Elements Desktop 4TB USB 3.0 Black,"Hard disk extern WD Elements de 4TB, format 3,5"", cu USB 3.0, culoare neagră",705.10,RON,1077512,https://www.ideall.ro/magazin-hdd-extern/wd/Hard-disk-extern-WD-Elements-Desktop-4TB-USB-3-0-Black--51937,"Hard disk extern WD Elements Desktop 4TB USB 3.0 Black. Description: HDD extern WD, 4TB, Elements, 3.5"", USB3.0, negru",Elements Desktop,,HDD,,,4000.0,,,USB 3.0,USB,,,,,USB,,,
products_1_24781419,Asrock,ASRock Phantom Gaming Radeon RX 550 DirectX 12 RX550 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card,ASRock Phantom Gaming Radeon RX 550 DirectX 12 RX550 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card,,,1080185,https://www.newegg.com/asrock-radeon-rx-550-rx550-2g/p/N82E16814930001?item=N82E16814930001&source=region&nm_mc=knc-googleadwords-pc&cm_mmc=knc-googleadwords-pc-_-pla-_-video+cards+-+amd%2Fati-_-N82E16814930001&gclid=EAIaIQobChMIyOCr0pv56gIVhYbACh2NcAcZEAQYASABEgJojvD_BwE&gclsrc=aw.ds,ASRock Phantom Gaming Radeon RX 550 DirectX 12 RX550 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card. Description: ASRock Phantom Gaming Radeon RX 550 DirectX 12 RX550 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card,Phantom Gaming Radeon RX 550,RX550 2G,GPU,Radeon RX 550,,,,,,,,,,,,,,
products_1_34032163,Kingston,Kingston 128GB DataTraveler microDuo USB 3.1 Type-C Flash Drive,"DataTraveler? microDuo 3C has a dual interface that works with both standard USB and USB Type-C? ports. It?s an ideal way to provide up to 128GB of extra storage for the latest smartphones, tablets, PCs and Macs, which may have limited expansion ports, and it?s easier than sharing files via online services. It?s plug and play and fast, with speeds of up to 100MB/s read and 15MB/s write, and it has a rotating cap to protect the reversible USB Type-C connector.- Dual interface accommodates USB Type-A and USB Type-C? ports- Additional storage for newer devices with limited expansion ports- Fast data transfer speeds up to 100MB/s read and 15MB/s write",22.94,GBP,1085000,https://www.microcenter.com/product/606492/kingston-128gb-datatraveler-microduo-usb-31-type-c-flash-drive,"Kingston Technology DataTraveler microDuo 3C 128GB USB flash drive USB Type-A / USB Type-C 3.0 (3.1 Gen 1) Silver. Description: DataTraveler? microDuo 3C has a dual interface that works with both standard USB and USB Type-C? ports. It?s an ideal way to provide up to 128GB of extra storage for the latest smartphones, tablets, PCs and Macs, which may have limited expansion ports, and it?s easier than sharing files via online services. It?s plug and play and fast, with speeds of up to 100MB/s read and 15MB/s write, and it has a rotating cap to protect the reversible USB Type-C connector.- Dual interface accommodates USB Type-A and USB Type-C? ports- Additional storage for newer devices with limited expansion ports- Fast data transfer speeds up to 100MB/s read and 15MB/s write",DataTraveler microDuo 3C,,USB_STICK,,,128.0,100.0,15.0,USB 3.0,USB Type-C,,,,,USB Type-C,,,
products_1_78827999,Kingston,Kingston Technology DataTraveler 100 G3 USB flash drive 256 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Zwart,"Mpn: DT100G3/256GBVendor: KingstonKingston 256GB USB 3.0 Flash Drive Description:Kingston USB 3.0 256GB Flash Drive, 5 Year Warranty Long Description: N/A",49.01,GBP,1090670,https://www.hardware-deals.eu/shop/opslagmedia/usb-sticks/kingston-technology-datatraveler-100-g3-usb-flash-drive-256-gb-usb-type-a-3-2-gen-1-3-1-gen-1-zwart,Kingston Technology DataTraveler 100 G3 USB flash drive 256 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Zwart. Description: DataTraveler 100 G3 256GB,DataTraveler 100,,USB_STICK,,,256.0,,,USB 3.0,USB Type-A,,,,,U5B Type-A,,Zwart,
products_1_67183699,Western Digital,"3TB WD_BLACK P10 Game Drive, USB 3.2 Gen 1, Portable, Black/White, External Hard Drive for Xbox One","Western Digital WD_BLACK P10 Game Drive (WDBA5G0030BBK-WESN). Your Xbox game library, on-the-go. The WD_Black P10 Game Drive for Xbox One gives your Xbox the performance-enhancing tools it needs to keep your competitive edge. With up to 5TB1 of storage capacity, the WD_Black P10 Game Drive for Xbox One is a top-tier external HDD built specifically for gamers looking to expand the potential of their Xbox so they can drive their game the way they choose. Also included with your purchase is a free, 2-month Xbox Game Pass Ultimate membership which includes all the benefits of Xbox Live Gold, plus access to 100+ high-quality console and PC games5.",159.86,USD,1103088,https://www.avadirect.com/3TB-WD-BLACK-P10-Game-Drive-USB-3-2-Gen-1-Portable-Black-White-External-Hard-Drive-for-Xbox-One/Product/13042778,"3TB WD_BLACK™ P10 Game Drive, USB 3.2 Gen 1, Portable, Black/White, External Hard Drive for Xbox One™. Description: Western Digital WD_BLACK™ P10 Game Drive (WDBA5G0030BBK-WESN). Your Xbox game library, on-the-go. The WD_Black™ P10 Game Drive for Xbox One™ gives your Xbox the performance-enhancing tools it needs to keep your competitive edge. With up to 5TB1 of storage capacity, the WD_Black™ P10 Game Drive for Xbox One™ is a top-tier external HDD built specifically for gamers looking to expand the potential of their Xbox so they can drive their game the way they choose. Also included with your purchase is a free, 2-month Xbox Game Pass Ultimate membership which includes all the benefits of Xbox Live Gold, plus access to 100+ high-quality console and PC games5.",WD_BLACK™ P10 Game Drive,WDBA5G0030BBK-WESN,HDD,,,3000.0,,,,,,,,,,,,External
