id,name,releaseYear,developer,publisher,platform,genres,criticScore,userScore,ESRB,units_sold_mm
sales_19,Call of Duty: Black Ops,,,Activision,Xbox 360,Shooter,87.0,6.3,M,14000000.0
sales_20,Call of Duty: Black Ops II,,treyarch,Activision,PlayStation 3,Shooter,83.0,5.3,M,13000000.0
sales_21,Call of Duty: Black Ops II,2012-01-01 00:00:00,Treyarch,Activision,Xbox 360,Shooter,83.0,4.8,,13000000.0
sales_22,Call of Duty: Modern Warfare 2,2009-01-01 00:00:00,,Activision,Xbox 360,,94.0,6.3,M,13000000.0
sales_23,Call of Duty: Modern Warfare 3,2011-01-01 00:00:00,"Infinity Ward, Sledgehammer Games",Activision,PlayStation 3,Shooter,88.0,3.2,M,
sales_24,Grand Theft Auto III,2001-01-01 00:00:00,DMA Design,Interactive Take-Two,PlayStation 2,Action,97.0,,M,13000000.0
sales_25,Super Smash Bros. Brawl,,,Nintendo,Wii,Fighting,93.0,8.9,,12000000.0
sales_26,Mario Kart 7,2011-01-01 00:00:00,,Nintendo,Nintendo 3DS,Racing,85.0,8.2,,12000000.0
sales_27,Call of Duty: Black Ops,2010-01-01 00:00:00,Treyarch,,,Shooter,88.0,6.4,M,12000000.0
sales_28,Grand Theft Auto V,2014-01-01 00:00:00,Rockstar North,Take-Two Interactive,PlayStation 4,Action,97.0,8.3,M,12000000.0
sales_29,Animal Crossing: Wild World,2005-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,,86.0,8.7,E,
sales_30,Halo 3,2007-01-01 00:00:00,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,Shooter,94.0,7.8,M,12000000.0
sales_31,Gran Turismo 4,2004-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,PlayStation 2,Racing,89.0,8.5,E,11000000.0
sales_32,Super Mario Galaxy,2007-01-01 00:00:00,,Nintendo,Wii,Platform,97.0,,E,11000000.0
sales_33,Grand Theft Auto IV,2008-01-01 00:00:00,Rockstar North,Take-Two Interactive,Xbox 360,Action,98.0,7.9,M,11000000.0
sales_34,Gran Turismo,1997-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,PlayStation,,96.0,8.7,,10000000.0
sales_35,Super Mario 3D Land,2011-01-01 00:00:00,Nintendo,Nintendo,Nintendo 3DS,Platform,90.0,8.4,,10000000.0
sales_36,Gran Turismo 5,2010-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,PlayStation 3,Racing,84.0,7.5,E,10000000.0
sales_37,Call of Duty: Modern Warfare 2,2009-01-01 00:00:00,Infinity Ward,Activision,PlayStation 3,Shooter,94.0,6.3,M,10000000.0
sales_38,Grand Theft Auto IV,2008-01-01 00:00:00,Rockstar North,Take-Two Interactive,PlayStation 3,Action,98.0,7.5,M,10000000.0
sales_39,Call of Duty: Ghosts,2013-01-01 00:00:00,Ward,Actigision,Xbox 360,Shooter,73.0,2.6,M,10000000.0
sales_40,Just Dance 3,,Ubisoft,Ubisoft,Wii,,,,E10+,10000000.0
sales_41,New Super Mario Bros. 2,2012-01-01 00:00:00,Ni ntendo,Nintendo,Nintendo 3DS,Platform,78.0,7.2,,9000000.0
sales_42,Halo: Reach,2010-01-01 00:00:00,Bungie,Microsoft Game Studios,Xbox 360,Shooter,91.0,7.9,M,9000000.0
sales_43,Final Fantasy VII,1997-01-01 00:00:00,SquareSoft,Sony Computer Entertainment,PlayStation,Role-Playing,92.0,9.2,,9000000.0
sales_44,Halo 4,2012-01-01 00:00:00,343 Industries,Microsoft Game Studios,Xbox 360,Shooter,87.0,7.0,M,9000000.0
sales_45,Gran Turismo 2,1999-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,PlayStation,Racing,93.0,9.0,T,9000000.0
sales_46,Just Dance 2,2010-01-01 00:00:00,Ubisoft,Ubisoft,Wii,Misc,74.0,7.3,E10+,9000000.0
sales_47,Call of Duty: Ghosts,2013-01-01 00:00:00,Infinity Ward,Activision,PlayStation 3,Shooter,71.0,2.6,,9000000.0
sales_48,Call of Duty 4: Modern Warfare,,Infinity Ward,ATVI,,Shooter,94.0,8.4,M,9000000.0
sales_49,Animal Crossing: New Leaf,2012-01-01 00:00:00,,Nintendo,Nintendo 3DS,Simulation,88.0,8.7,E,9000000.0
sales_50,Mario Party DS,2007-01-01 00:00:00,Soft Hudson,Nintcndo,,Mjsc,72.0,7.8,E,8000000.0
sales_51,The Elder Scrolls V: Skyrim,2011-01-01 00:00:00,Bethesda Game Studios,Bethesda Softworks,Xbox 360,Role-Playing,96.0,8.4,,8000000.0
sales_52,FIFA 16,2015-01-01 00:00:00,EA Sports,Electronic Arts,,Sports,82.0,4.3,E,
sales_53,Halo 2,2004-01-01 00:00:00,Bungie Software,Microsoft Game Studios,Xbox,Shooter,,,M,8000000.0
sales_54,Wii Party,2010-01-01 00:00:00,Nd Cube,,Wii,Misc,68.0,7.4,E,8000000.0
sales_55,Mario Party 8,2007-01-01 00:00:00,Hudson,Nintendo,Wii,Misc,62.0,6.3,E,8000000.0
sales_56,FIFA Soccer 13,,Electronic Arts,Electronic,PlayStation 3,Action,88.0,6.6,E,8000000.0
sales_57,Final Fantasy X,2001-01-01 00:00:00,SquareSoft,Sony Computer Entertainment,PlayStation 2,,92.0,,T,8000000.0
sales_58,The Sims 3,2009-01-01 00:00:00,The Sims Studio,Electronic Arts,Windows PC,,86.0,7.6,T,8000000.0
sales_59,Final Fantasy VIII,1999-01-01 00:00:00,SquareSoft,SquareSoft,PlayStation,Role-Playing,90.0,8.6,T,7000000.0
sales_60,Pokémon Platinum Version,2008-01-01 00:00:00,Game Freak,Nintendo,Nintendo DS,Role-Playing,83.0,8.5,E,7000000.0
sales_61,Grand Theft Auto: Liberty City Stories,2005-01-01 00:00:00,RockstarLeeds,Take-Two Interactive,PlayStation,Action,88.0,7.6,M,7000000.0
sales_62,Call of Duty: Advanced Warfare,,,Activision,PlayStation 4,Shooter,,5.7,M,7000000.0
sales_63,FIFA 17,2016-01-01 00:00:00,,Electronic Arts,PlayStation 4,,85.0,5.0,E,
sales_64,Super Mario Galaxy 2,,Nintendo EAD Tokyo,Nintendo,Wii,Platform,,9.1,E,7000000.0
sales_65,Call of Duty: World at War,2008-01-01 00:00:00,Treyarch,Activixion,Xbox 360,,84.0,7.6,M,7000000.0
sales_66,Battlefield 3,2011-01-01 00:00:00,EA DICE,,Xbox 360,Shooter,84.0,7.4,M,7000000.0
sales_67,Need for Speed Underground,2003-01-01 00:00:00,EA Black Box,Electronic Arts,PlayStation 2,Racing,8 5,8.6,E,7000000.0
sales_68,Just Dance,2009-01-01 00:00:00,Ubisoft Paris,Ubisoft,Wii,Misc,49.0,8.0,E10+,7000000.0
sales_69,Battlefield 3,2011-01-01 00:00:00,EA DICE,Electronic Arts,PlayStation 3,Shooter,85.0,7.5,,7000000.0
sales_70,Fallout 4,,Bethesda Game Studios,Bethesda Softworks,PlayStation 4,Role-Playing,87.0,6.5,,7000000.0
sales_71,Tekken 3,1998-01-01 00:00:00,Namco,Sony Computer Entertainment,PlayStation,Fighting,96.0,9.1,,7000000.0
sales_72,The Legend of Zelda: Twilight Princess,2006-01-01 00:00:00,Nintendo,Nintendo,Wii,Action,95.0,,T,7000000.0
sales_73,Crash Bandicoot 3: Warped,1998-01-01 00:00:00,Naughty Dog,Computer Sony Entertainment,PlayStation,Platform,91.0,8.9,E,7000000.0
sales_74,Mario Kart 8,2014-01-01 00:00:00,Nintendo,Nintendo,Wii U,,88.0,9.1,E,7000000.0
sales_75,Super Smash Bros. Melee,2001-01-01 00:00:00,HAL Labs,Nintendo,,Fighting,92.0,9.1,T,7000000.0
sales_76,Need for Speed Underground 2,,EA Canada,Electronic Arts,PlayStation 2,,82.0,8.6,E,6000000.0
sales_77,Medal of Honor: Frontline,2002-01-01 00:00:00,EA La,Electronic Arts,PlayStation 2,Shooter,88.0,8.5,T,
sales_78,Just Dance 4,2012-01-01 00:00:00,Ubisoft,Ubisoft,Wii,,74.0,,,
sales_79,Gears of War 2,,Epic Games,Microsoft Game Studios,Xbox 360,Shooter,93.0,7.7,M,6000000.0
sales_80,Uncharted 3: Drake's Deception,2011-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment,PlayStation 3,Action,92.0,8.3,T,6000000.0
sales_81,Call of Duty 4: Modern Warfare,2007-01-01 00:00:00,Infinity Ward,Activision,PlayStation 3,,94.0,8.4,M,6000000.0
sales_82,Uncharted 2: Among Thieves,2009-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment,PlayStation 3,Action,96.0,8.8,T,6000000.0
sales_83,Big Brain Academy,2005-01-01 00:00:00,,Nintendo,Nintendo DS,Misc,74.0,7.4,E,6000000.0
sales_84,Red Dead Redemption,2010-01-01 00:00:00,Rockstar San Diego,Take-Two Interactive,PlayStation 3,Action,95.0,8.8,M,6000000.0
sales_85,FIFA 14,2013-01-01 00:00:00,EA Canada,,PlayStation 3,Sports,86.0,4.3,E,6000000.0
sales_86,Assassin's Creed III,,UBI,Ubisoft,PlayStation 3,Action,,6.9,M,6000000.0
sales_87,Donkey Kong Country Returns,2010-01-01 00:00:00,Retro Studios,Nintendo,Wii,Platform,87.0,8.6,E,6000000.0
sales_88,Halo: Combat Evolved,2001-01-01 00:00:00,,Microsoft Game Studios,Xbox,Shooter,97.0,,M,6000000.0
sales_89,The Elder Scrolls V: Skyrim,2011-01-01 00:00:00,Bethesda Game Studios,Bethesda Softworks,PlayStation 3,Role-Playing,92.0,6.4,M,6000000.0
sales_90,Pokémon Emerald Version,2004-01-01 00:00:00,Game Freak,,Game Boy Advance,Role-Playing,76.0,,E,6000000.0
sales_91,Kingdom Hearts,2002-01-01 00:00:00,SquareSoft,,PlayStation 2,Role-Playing,85.0,8.8,E,6000000.0
sales_92,Halo 3: ODST,2009-01-01 00:00:00,"Bungie Software, Bungie",Game Microsoft Studios,Xbox 360,,83.0,7.1,M,6000000.0
sales_93,Red Dead Redemption,2010-01-01 00:00:00,Rockstar San Diego,Take-Two Interactive,Xbox 360,Action,95.0,9.0,M,6000000.0
sales_94,Super Mario Sunshine,2002-01-01 00:00:00,Nintendo,Nintendo,Nintendo GameCube,Platform,,,,6000000.0
sales_95,World of Warcraft,2004-01-01 00:00:00,Blizzard Entertainment,Activision,Windows PC,Role-Playing,93.0,7.3,T,6000000.0
sales_96,Driver,,Reflections Interactive,GT Interactive,PlayStation,Action,87.0,,T,6000000.0
sales_97,Gears of War 3,2011-01-01 00:00:00,Epic Games,Microsoft Game 5tudios,Xbox 360,Shooter,91.0,7.8,M,6000000.0
sales_98,Kinect,2010-01-01 00:00:00,Rare Ltd.,Microsoft Game Studios,Xbox 360,Sports,73.0,7.4,E10+,6000000.0
sales_99,Gears of War,2006-01-01 00:00:00,Epic Games,Microsoft Game Studios,Xbox 360,,94.0,8.3,M,
sales_100,FIFA 15,2014-01-01 00:00:00,Sports EA,Electronic Arts,PlayStation 4,Sports,,5.7,E,
sales_101,Metal Gear Solid 2: Sons of Liberty,2001-01-01 00:00:00,KCEJ,Konami Digital Entertainment,PlayStation 2,,96.0,8.7,M,6000000.0
sales_102,Metal Gear Solid,,KCEJ,Konami Digital Entertainment,PlayStation,Action,94.0,9.4,M,6000000.0
sales_103,Metal Gear Solid 4: Guns of the Patriots,2008-01-01 00:00:00,Kojima Productions,Konami Digital Entertainment,PlayStation 3,Action,94.0,8.7,M,5000000.0
sales_104,Final Fantasy XII,2006-01-01 00:00:00,Square Enix,Square Enix,PlayStation 2,Role-Playing,92.0,7.6,T,5000000.0
sales_105,The Last of Us,2013-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment Europe,PlayStation 3,Action,95.0,9.1,M,5000000.0
sales_106,LittleBigPlanet,2008-01-01 00:00:00,"SCE/WWS, Media Molecule",Sony Computer Entertainment,PlayStation 3,Platform,95.0,6.8,E,5000000.0
sales_107,Resident Evil 2,1998-01-01 00:00:00,Capcom,Virgin Interactive,PlayStation,Action,89.0,9.2,M,5000000.0
sales_108,Dragon Quest IX: Sentinels of the Starry Skies,2001-09-20 01:00:00,Level 5,Nintendo,,Role-Playing,87.0,8.8,E10+,5000000.0
sales_109,Tekken 2,1996-01-01 00:00:00,Namco,Sony Computer,PlayStation,Fighting,89.0,8.9,T,5000000.0
sales_110,Destiny,2014-01-01 00:00:00,"Bungie Software, Bungie",Activision,PlayStation 4,Shooter,76.0,6.1,T,5000000.0
sales_111,LEGO Star Wars: The Complete Saga,2007-01-01 00:00:00,Traveller's Tales,LucasArts,Wii,Action,80.0,8.9,,5000000.0
sales_112,Cooking Mama,2006-01-01 00:00:00,Taito Corporation,505 Games,Nintendo DS,Simulation,67.0,7.2,E,5000000.0
sales_113,Assassin's Creed II,2009-01-01 00:00:00,Ubisoft Montreal,Ubisoft,PlayStation 3,Action,92.0,,M,5000000.0
sales_114,Assassin's Creed,2007-01-01 00:00:00,Ubisoft Montreal,Ubisofg,Xbox 360,Adventure,81.0,7.7,M,5000000.0
sales_115,Forza Motorsport 3,2009-01-01 00:00:00,Turn 10,Microsoft Game Studios,Xbox 360,Racing,92.0,8.0,E,5000000.0
sales_116,Super Mario Advance,2001-01-01 00:00:00,Nintendo,Nintendo,Game Boy Advance,Platform,84.0,,E,
sales_117,Monster Hunter Freedom Unite,2008-01-01 00:00:00,Capcom,Capcom,PlayStation Portable (PSP),Role-Playing,,8.7,T,5000000.0
sales_118,Batman: Arkham City,2011-01-01 00:00:00,Rocksteady Studios,Warner Bros. Interactive Entertainment,PlayStation 3,,96.0,,T,5000000.0
sales_119,Grand Theft Auto V,2014-01-01 00:00:00,Rockstar North,Take-Two Interactive,Xbox One,Action,97.0,7.9,M,5000000.0
sales_120,Mario Kart: Super Circuit,2001-01-01 00:00:00,Intelligent Systems,Nintendo,,Racing,93.0,8.3,E,5000000.0
sales_121,Crash Bandicoot: The Wrath of Cortex,2001-01-01 00:00:00,Traveller's Tales,Universal Interaetive,PlayStation 2,Platform,66.0,7.1,E,5000000.0
sales_122,Call of Duty: World at War,2008-01-01 00:00:00,Treyarch,Activision,PlayStation 3,Action,85.0,7.6,M,5000000.0
sales_123,Uncharted 4: A Thief's End,2016-01-01 00:00:00,Naughty Dog,Sony Computer Entertainment,PlayStation 4,Shooter,93.0,7.9,,5000000.0
sales_124,Final Fantasy XIII,2009-01-01 00:00:00,,"Square Enix Co., Ltd.",PlayStation 3,Role-Playing,83.0,,T,
sales_125,Final Fantasy IX,2000-01-01 00:00:00,SquareSoft,SquareSoft,PlayStation,Role-Playing,94.0,8.9,T,5000000.0
sales_126,Assassin's Creed III,2012-01-01 00:00:00,Ubisoft,Ubisoft,,Action,,,M,5000000.0
sales_127,Final Fantasy X-2,2003-01-01 00:00:00,SquareSoft,Electronic Arts,PlayStation 2,Role-Playing,85.0,6.6,T,5000000.0
sales_128,Call of Duty: Advanced Warfare,2014-01-01 00:00:00,Sledgehammer Games,Activision,Xbox One,Shooter,,5.4,M,5000000.0
sales_129,Assassin's Creed II,2009-01-01 00:00:00,Ubisoft Montreal,Ubisoft,Xbox 360,Action,90.0,8.8,M,5000000.0
sales_130,New Super Mario Bros. U,2012-01-01 00:00:00,Nintendo,Nintendo,Wii U,Platform,84.0,8.1,E,5000000.0
sales_131,Dragon Quest VIII: Journey of the Cursed King,2004-01-01 00:00:00,Level 5,,PlayStation 2,Role-Playing,89.0,8.8,T,5000000.0
sales_133,FIFA Soccer 13,2012-01-01 00:00:00,Electronic Arts,Electronic Arts,Xbox 360,Action,90.0,6. 1,,5000000.0
sales_134,Diablo III,,Blizzard Entertainment,Activision,Windows PC,RPG,88.0,4.0,M,
sales_135,Medal of Honor: Rising Sun,2003-01-01 00:00:00,EW LA,Electronic Arts,PlayStation 2,Shooter,68.0,7.6,,5000000.0
sales_136,Guitar Hero II,2006-01-01 00:00:00,Harmonix Music Systems,RedOctane,PlayStation 2,Misc,92.0,8.5,T,5000000.0
sales_137,Fable III,2010-01-01 00:00:00,Lionhead Studios,Microsoft Game Studios,,Role-Playing,80.0,6 .5,M,5000000.0
sales_138,Resident Evil 5,2009-01-01 00:00:00,Capcom,,PlayStation 3,Action,84.0,,M,5000000.0
sales_139,The Legend of Zelda: Phantom Hourglass,2007-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,,90.0,,,5000000.0
sales_140,FIFA Soccer 11,2010-01-01 00:00:00,EA Sports,Electronic Arts,PlayStation 3,Sports,,8.0,E,5000000.0
sales_141,Resident Evil,1996-01-01 00:00:00,Capcom,Virgin Interactive,,Action,91.0,,M,5000000.0
sales_142,Grand Theft Auto: Vice City Stories,2006-01-01 00:00:00,Rockstar Leeds,Take-Two Interactive,PlayStation Portable (PSP),Action,86.0,8.0,M,5000000.0
sales_143,Tony Hawk's Pro Skater,1999-01-01 00:00:00,,Activision,,Sports,92.0,9.2,T,5000000.0
sales_144,Guitar Hero III: Legends of Rock,2007-01-01 00:00:00,"Neversoft Entertainment, BudCat",Activision,PlayStation 2,Misc,82.0,8.2,T,4000000.0
sales_145,Link's Crossbow Training,2007-01-01 00:00:00,Nintendo,Nintendo,Wii,Shooter,68.0,7.l,T,4000000.0
sales_146,Fallout 3,,Bethesda Game Studios,Bethesda Softworks,Xbox 360,Role-Playing,,8.5,,4000000.0
sales_147,Uncharted: Drake's Fortune,2007-01-01 00:00:00,"Naughty Dog, SCE/WWS",Sony Computer Entertainment,PlayStation 3,Action,88.0,,T,4000000.0
sales_148,Madden NFL 06,2005-01-01 00:00:00,,Electronic Arts,PlayStation 2,Sports,88.0,8. 0,E,4000000.0
sales_149,StarCraft II: Wings of Liberty,2010-01-01 00:00:00,,Activision,Windows PC,,,8.2,T,4000000.0
sales_150,Assassin's Creed,2007-01-01 00:00:00,Ubisoft Montreal,,PlayStation 3,Adventure,81.0,7.3,,4000000.0
sales_151,God of War III,2010-01-01 00:00:00,Sony Computer Entertainment Santa Monica,Sony Computer Entertainment,PlayStation 3,Action,92.0,8.7,M,4000000.0
sales_152,Crash Team Racing,,Naughty Dog,Sony Computer Entertainment,PlayStation,Racing,88.0,,E,4000000.0
sales_153,LEGO Star Wars: The Complete Saga,2007-01-01 00:00:00,TT Fusion,LucasArts,Nintendo DS,Action,80.0,5.4,E,4000000.0
sales_154,Driver 2,2000-01-01 00:00:00,Reflections Interactive,Atari,PlayStation,Action,62.0,,T,4000000.0
sales_155,Batman: Arkham City,2011-01-01 00:00:00,Rocksteady Studios,Interactive Bros. Warner Entertainment,Xbox 360,Action,94.0,8.7,T,4000000.0
sales_156,Tony Hawk's Pro Skater 2,2000-01-01 00:00:00,Neversoft Entertainment,Activision,PlayStation,Sports,,,T,
sales_157,The Lord of the Rings: The Two Towers,2002-01-01 00:00:00,,Electrohic Arts,PlayStation 2,Action,82.0,8.2,,4000000.0
sales_158,Tomb Raider,1996-01-01 00:00:00,,Eidos Interactive,PlayStation,Action,91.0,,T,4000000.0
sales_159,Animal Crossing: City Folk,2008-01-01 00:00:00,Nintendo,Nintendo,Wii,Simulation,,7.6,E,
sales_160,Uncharted: The Nathan Drake Collection,2015-01-01 00:00:00,Bluepoint Games,Sony Computer Entertainment,PlayStation 4,Action,86.0,8.1,T,4000000.0
sales_161,The Legend of Zelda: The Wind Waker,2002-01-01 00:00:00,Nintendo,Nintendo,Nintendo GameCube,Action,96.0,8.9,E,4000000.0
sales_162,Guitar Hero III: Legends of Rock,2007-01-01 00:00:00,,Activision,,Misc,86.0,,T,
sales_163,Luigi's Mansion: Dark Moon,,Next Level Gomes,Nintendo,Nintendo 3DS,A ction,86.0,8.4,E,4000000.0
sales_164,Forza Motorsport 4,2011-01-01 00:00:00,Turn 10,Microsoft Game Studios,Xbox 360,Racing,91.0,8.2,E,4000000.0
sales_165,Madden NFL 2005,2004-01-01 00:00:00,EA Tiburon,Electronic Arts,PlayStation 2,Sports,91.0,7.9,E,4000000.0
sales_166,Guitar Hero III: Legends of Rock,2007-01-01 00:00:00,Neversoft Entertainment,ATVI,Xbox 360,Misc,85.0,,T,4000000.0
sales_167,Madden NFL 07,2006-01-01 00:00:00,EA Sports,Electronic Arts,PlayStation 2,Sports,,8.2,E,4000000.0
sales_168,Halo 5: Guardians,2015-01-01 00:00:00,343 Industries,Microsoft Game Studios,Xbox One,Shooter,84.0,6.4,T,4000000.0
sales_169,Spider-Man: The Movie,2002-01-01 00:00:00,Treyarch,,PlayStation 2,Action,76.0,7.9,,4000000.0
sales_170,Call of Duty: Infinite Warfare,2016-01-01 00:00:00,Infinity Ward,Activision,PlayStation 4,Shooter,77.0,,,4000000.0
sales_171,God of War,2005-01-01 00:00:00,SCE Santa Monica,Sony Computer Entertainment,,Action,94.0,8.9,,4000000.0
sales_172,Splatoon,2015-01-01 00:00:00,Nintendo,Nintendo,Wii U,Shooter,81.0,8.5,E10+,4000000.0
sales_173,Nintendo Land,2012-01-01 00:00:00,Nintendo,,Wii U,Misc,77.0,7.9,E10+,4000000.0
sales_174,Tony Hawk's Pro Skater 3,2001-01-01 00:00:00,Neversoft Entertainment,Activision,PlayStation 2,Sports,97.0,7.5,T,4000000.0
sales_175,Winning Eleven: Pro Evolution Soccer 2007,2006-01-01 00:00:00,Konami,Konami Digital Entertainment,PlayStation 2,Sports,86.0,8.9,E,4000000.0
sales_176,The Elder Scrolls IV: Oblivion,2006-01-01 00:00:00,Bethesda Softworks,Take-Two Interactive,Xbox 360,Role-Playing,94.0,8.7,,
sales_177,Need for Speed: Most Wanted,2005-01-01 00:00:00,EA Canada,Electronic Arts,PlayStation 2,,,9.1,T,4000000.0
sales_178,Michael Jackson: The Experience,2010-01-01 00:00:00,"Ubisoft Paris, Ubisoft Montpellier",Ubisoft,Wii,Misc,56.0,8.3,E10+,4000000.0
sales_179,Resistance: Fall of Man,,Insomniac Games,Sony Computer Entertainment,PlayStation 3,Shooter,86.0,8.1,M,4000000.0
sales_180,Kingdom Hearts II,2005-01-01 00:00:00,Square Enix,,PlayStation 2,Role-Playing,,9.0,E10+,4000000.0
sales_181,Super Mario 3D World,2013-01-01 00:00:00,Nintendo,Nintendo,Wii U,Platform,93.0,9.0,E,4000000.0
sales_182,Fable II,2008-01-01 00:00:00,Lionhead Studios,Microsoft Game Studios,Xbox 360,Role-Playing,89.0,6.5,M,4000000.0
sales_183,Namco Museum,,Mass Media,Namco Bandai Games,Game Boy Advance,Misc,79.0,7.3,E,4000000.0
sales_184,Batman: Arkham Asylum,2009-01-01 00:00:00,Rocksteady Studios,Eidos Interactive,PlayStation 3,Action,91.0,8.9,T,4000000.0
sales_185,Metal Gear Solid 3: Snake Eater,,KCEJ,Konami Digital Entertainment,,Action,91.0,9.3,,4000000.0
sales_186,Assassin's Creed: Revelations,2011-01-01 00:00:00,Ubisoft Montreal,Ub isoft,PlayStation 3,Action,80.0,7.5,M,4000000.0
sales_187,Fallout 4,2015-01-01 00:00:00,Bethesda Game Studios,Bethesda Softworks,Xbox One,Role-Playing,88.0,6.2,M,
sales_188,FIFA 14,2013-01-01 00:00:00,,,Xbox,Sports,84.0,4.2,E,4000000.0
sales_189,Daxter,2006-01-01 00:00:00,Ready at Dawn,Sony Computer Entertainment,PlayStation Portable (PSP),Platform,85.0,8.7,E10+,4000000.0
sales_190,FIFA Soccer 06,2005-01-01 00:00:00,EA Canada,Electronic Arts,PlayStation 2,Sports,80.0,7.8,E,4000000.0
sales_191,EyeToy Play,2003-01-01 00:00:00,"SCEE, Zoe Mode",Sony Computer Entertainment,PlayStation 2,,80.0,7.5,E,4000000.0
sales_192,Gran Turismo 5 Prologue,2007-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,,Racing,80.0,7.1,E,4000000.0
sales_193,Assassin's Creed: Revelations,2011-01-01 00:00:00,,Ubisoft,Xbox 360,Action,80.0,7.2,,4000000.0
sales_194,Street Fighter IV,2009-01-01 00:00:00,Capcom,Capcom,PlayStation 3,Fighting,94.0,7.3,T,4000000.0
sales_195,Madden NFL 2003,,,Arts Electronic,PlayStation 2,,95.0,,E,4000000.0
sales_196,Half-Life,1997-01-01 00:00:00,Valve Software,Vivendi Games,Windows PC,,96.0,9.1,,4000000.0
sales_197,World of Warcraft: The Burning Crusade,2007-01-01 00:00:00,Blizzard Entertainment,Activision,Windows PC,Role-Playing,91.0,7.9,T,4000000.0
sales_198,Battlefield 1,2016-01-01 00:00:00,DICE EA,Electronic Arts,,Shooter,89.0,8.4,M,
sales_199,God of War II,2007-01-01 00:00:00,SCE Santa Monica,Sony Computer Entertainment,PlayStation 2,Action,93.0,8.9,,4000000.0
sales_200,Fallout: New Vegas,2010-01-01 00:00:00,Obsidian Entertainment,Bethesda Softworks,Xbox 360,Role-Playing,84.0,8.1,M,4000000.0
sales_201,Forza Motorsport 2,2007-01-01 00:00:00,,Microsoft Game Studios,Xbox 360,Racing,90.0,8.3,,4000000.0
sales_202,Games Carnival,2007-01-01 00:00:00,Cat Daddy Games,Take-Two Interactive,Wii,,56.0,6.0,E,4000000.0
sales_203,Watch Dogs,2014-01-01 00:00:00,Ubisoft Montreal,Ubisoft,,Action,80.0,6.3,M,
sales_204,Tekken Tag Tournament,2000-01-01 00:00:00,Namco,Namco Bandai GamEs,PlayStation 2,,85.0,,T,4000000.0
