case,pair,variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall,source_file
companies,dbpedia_forbes,faiss_small_plus_random,xgb,120,34,86,0.9753694581280788,0.9611650485436892,0.99,0,,,,0.9753694581280788,0.9611650485436892,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small_plus_random,rf,120,34,86,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small_plus_random,gb,120,34,86,0.9705882352941176,0.9519230769230768,0.99,0,,,,0.9705882352941176,0.9519230769230768,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_small_plus_random,hist_gb,120,34,86,0.9658536585365852,0.9428571428571428,0.99,0,,,,0.9658536585365852,0.9428571428571428,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large_plus_random,logreg,720,200,520,0.9801980198019802,0.9705882352941176,0.99,0,0.8531468531468531,0.7625,0.9682539682539684,0.9801980198019802,0.9705882352941176,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large_plus_random,xgb,720,200,520,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large_plus_random,rf,720,200,520,0.9753694581280788,0.9611650485436892,0.99,0,,,,0.9753694581280788,0.9611650485436892,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large_plus_random,hist_gb,720,200,520,0.9705882352941176,0.9519230769230768,0.99,0,,,,0.9705882352941176,0.9519230769230768,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,faiss_large_plus_random,gb,720,200,520,0.9556650246305418,0.941747572815534,0.97,0,,,,0.9556650246305418,0.941747572815534,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active_plus_random,gb,2969,193,2776,0.9949748743718592,1.0,0.99,0,0.9302325581395348,0.9090909090909092,0.9523809523809524,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active_plus_random,hist_gb,2969,193,2776,0.99,0.99,0.99,0,,,,0.99,0.99,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active_plus_random,xgb,2969,193,2776,0.99,0.99,0.99,0,,,,0.99,0.99,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active_plus_random,rf,2969,193,2776,0.9850746268656716,0.9801980198019802,0.99,0,,,,0.9850746268656716,0.9801980198019802,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,active_plus_random,logreg,2969,193,2776,0.9847715736040608,1.0,0.97,0,,,,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small,rf,100,34,66,0.9847715736040608,1.0,0.97,0,0.8787878787878788,0.8405797101449275,0.9206349206349206,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small,hist_gb,100,34,66,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small,xgb,100,34,66,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small,gb,100,34,66,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small,logreg,100,34,66,0.9705882352941176,0.9519230769230768,0.99,0,,,,0.9705882352941176,0.9519230769230768,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large,rf,432,200,232,0.9847715736040608,1.0,0.97,0,0.8888888888888888,0.8333333333333334,0.9523809523809524,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large,hist_gb,432,200,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large,xgb,432,200,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large,logreg,432,200,232,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large,gb,432,200,232,0.9186602870813396,0.8807339449541285,0.96,0,,,,0.9186602870813396,0.8807339449541285,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active,rf,432,200,232,0.9847715736040608,1.0,0.97,0,0.8888888888888888,0.8333333333333334,0.9523809523809524,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active,hist_gb,432,200,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active,xgb,432,200,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active,logreg,432,200,232,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active,gb,432,200,232,0.9186602870813396,0.8807339449541285,0.96,0,,,,0.9186602870813396,0.8807339449541285,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small_plus_random,rf,120,34,86,0.9847715736040608,1.0,0.97,0,0.8721804511278195,0.8285714285714286,0.9206349206349206,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small_plus_random,hist_gb,120,34,86,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small_plus_random,xgb,120,34,86,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small_plus_random,logreg,120,34,86,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_small_plus_random,gb,120,34,86,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large_plus_random,rf,432,200,232,0.9847715736040608,1.0,0.97,0,0.8888888888888888,0.8333333333333334,0.9523809523809524,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large_plus_random,hist_gb,432,200,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large_plus_random,xgb,432,200,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large_plus_random,logreg,432,200,232,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_faiss_large_plus_random,gb,432,200,232,0.9186602870813396,0.8807339449541285,0.96,0,,,,0.9186602870813396,0.8807339449541285,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active_plus_random,rf,425,193,232,0.9847715736040608,1.0,0.97,0,0.8823529411764706,0.821917808219178,0.9523809523809524,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active_plus_random,xgb,425,193,232,0.9797979797979798,0.9897959183673468,0.97,0,,,,0.9797979797979798,0.9897959183673468,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active_plus_random,logreg,425,193,232,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active_plus_random,hist_gb,425,193,232,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,dbpedia_forbes,provided_active_plus_random,gb,425,193,232,0.8434782608695651,0.7461538461538462,0.97,0,,,,0.8434782608695651,0.7461538461538462,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/dbpedia_forbes/comparison_summary.csv
companies,forbes_fullcontact,faiss_small,rf,100,34,66,0.9849246231155778,0.98989898989899,0.98,0,0.8860759493670886,0.8467741935483871,0.9292035398230089,0.9849246231155778,0.98989898989899,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small,hist_gb,100,34,66,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small,gb,100,34,66,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small,xgb,100,34,66,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small,logreg,100,34,66,0.9696969696969696,0.979591836734694,0.96,0,,,,0.9696969696969696,0.979591836734694,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large,hist_gb,600,200,400,1.0,1.0,1.0,0,0.8823529411764706,0.84,0.9292035398230089,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large,xgb,600,200,400,1.0,1.0,1.0,0,,,,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large,rf,600,200,400,0.9950248756218906,0.99009900990099,1.0,0,,,,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large,logreg,600,200,400,0.99009900990099,0.9803921568627452,1.0,0,,,,0.99009900990099,0.9803921568627452,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large,gb,600,200,400,0.99009900990099,0.9803921568627452,1.0,0,,,,0.99009900990099,0.9803921568627452,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active,rf,1479,211,1268,1.0,1.0,1.0,0,0.8755364806866953,0.85,0.9026548672566372,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active,hist_gb,1479,211,1268,1.0,1.0,1.0,0,,,,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active,gb,1479,211,1268,0.9949748743718592,1.0,0.99,0,,,,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active,logreg,1479,211,1268,0.99009900990099,0.9803921568627452,1.0,0,,,,0.99009900990099,0.9803921568627452,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active,xgb,1479,211,1268,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small_plus_random,rf,120,34,86,0.9847715736040608,1.0,0.97,0,0.8927038626609443,0.8666666666666667,0.9203539823008848,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small_plus_random,xgb,120,34,86,0.9847715736040608,1.0,0.97,0,,,,0.9847715736040608,1.0,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small_plus_random,gb,120,34,86,0.9801980198019802,0.9705882352941176,0.99,0,,,,0.9801980198019802,0.9705882352941176,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small_plus_random,hist_gb,120,34,86,0.979591836734694,1.0,0.96,0,,,,0.979591836734694,1.0,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_small_plus_random,logreg,120,34,86,0.9583333333333334,1.0,0.92,0,,,,0.9583333333333334,1.0,0.92,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large_plus_random,hist_gb,720,200,520,1.0,1.0,1.0,0,0.875,0.8267716535433071,0.9292035398230089,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large_plus_random,xgb,720,200,520,1.0,1.0,1.0,0,,,,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large_plus_random,rf,720,200,520,0.9950248756218906,0.99009900990099,1.0,0,,,,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large_plus_random,gb,720,200,520,0.9950248756218906,0.99009900990099,1.0,0,,,,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,faiss_large_plus_random,logreg,720,200,520,0.99009900990099,0.9803921568627452,1.0,0,,,,0.99009900990099,0.9803921568627452,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active_plus_random,rf,1674,197,1477,1.0,1.0,1.0,0,0.8831168831168831,0.864406779661017,0.9026548672566372,1.0,1.0,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active_plus_random,gb,1674,197,1477,0.9950248756218906,0.99009900990099,1.0,0,,,,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active_plus_random,hist_gb,1674,197,1477,0.9949748743718592,1.0,0.99,0,,,,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active_plus_random,logreg,1674,197,1477,0.99009900990099,0.9803921568627452,1.0,0,,,,0.99009900990099,0.9803921568627452,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,active_plus_random,xgb,1674,197,1477,0.9852216748768472,0.970873786407767,1.0,0,,,,0.9852216748768472,0.970873786407767,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small,rf,100,34,66,0.9850746268656716,0.9801980198019802,0.99,0,0.8170212765957446,0.7868852459016393,0.8495575221238938,0.9850746268656716,0.9801980198019802,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small,hist_gb,100,34,66,0.9583333333333334,1.0,0.92,0,,,,0.9583333333333334,1.0,0.92,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small,xgb,100,34,66,0.9565217391304348,0.9252336448598132,0.99,0,,,,0.9565217391304348,0.9252336448598132,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small,logreg,100,34,66,0.9552238805970148,0.9504950495049505,0.96,0,,,,0.9552238805970148,0.9504950495049505,0.96,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small,gb,100,34,66,0.9473684210526316,1.0,0.9,0,,,,0.9473684210526316,1.0,0.9,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_large,rf,600,200,400,0.9950248756218906,0.99009900990099,1.0,0,0.8677685950413223,0.813953488372093,0.9292035398230089,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_large,logreg,600,200,400,0.9753694581280788,0.9611650485436892,0.99,0,,,,0.9753694581280788,0.9611650485436892,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_large,hist_gb,600,200,400,0.9751243781094528,0.9702970297029704,0.98,0,,,,0.9751243781094528,0.9702970297029704,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_large,gb,600,200,400,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_large,xgb,600,200,400,0.970873786407767,0.9433962264150944,1.0,0,,,,0.970873786407767,0.9433962264150944,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_active,rf,1249,211,1038,0.9950248756218906,0.99009900990099,1.0,0,0.8776371308016878,0.8387096774193549,0.9203539823008848,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_active,gb,1249,211,1038,0.9950248756218906,0.99009900990099,1.0,0,,,,0.9950248756218906,0.99009900990099,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_active,hist_gb,1249,211,1038,0.9852216748768472,0.970873786407767,1.0,0,,,,0.9852216748768472,0.970873786407767,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_active,xgb,1249,211,1038,0.9852216748768472,0.970873786407767,1.0,0,,,,0.9852216748768472,0.970873786407767,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_active,logreg,1249,211,1038,0.9803921568627452,0.9615384615384616,1.0,0,,,,0.9803921568627452,0.9615384615384616,1.0,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small_plus_random,rf,120,34,86,0.9949748743718592,1.0,0.99,0,0.8508771929824561,0.8434782608695652,0.8584070796460177,0.9949748743718592,1.0,0.99,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small_plus_random,logreg,120,34,86,0.9583333333333334,1.0,0.92,0,,,,0.9583333333333334,1.0,0.92,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
companies,forbes_fullcontact,provided_faiss_small_plus_random,xgb,120,34,86,0.9560975609756096,0.9333333333333332,0.98,0,,,,0.9560975609756096,0.9333333333333332,0.98,DI-Bench/runs/companies/entity_resolution/training/training_comparison/forbes_fullcontact/comparison_summary.csv
