id,name,releaseYear,developer,platform,genres,series
dbpedia_68,NeverDead,2012-01-01,Rebellion Developments,PlayStation 3,Hack and slash,
dbpedia_69,Metal Max Xeno,2018-01-01,Cattle Call (company),PlayStation 4,Role-playing video game,Metal Max (series)
dbpedia_70,List of Monster Jam video games,2002-01-01,Virtuos,Xbox One,Vehicular combat game,
dbpedia_71,Power Drift,,Sega AM2,,Kart racing game,
dbpedia_72,Evolution: The World of Sacred Device,1999-01-01,SNK,Sega Dreamcast,Roguelike,
dbpedia_73,SpongeBob SquigglePants,2011-01-01,,Nintendo 3DS,Action video game,
dbpedia_74,Buffy the Vampire Slayer: Chaos Bleeds,2003-01-01,Eurocom Entertainment Software,Nintendo GameCube,Action video game,
dbpedia_75,Lego Harry Potter: Years 5–7,2011-01-01,TT Fusion,macOS,Action-adventure game,
dbpedia_76,Mega Man,1987-01-01,Capcom,PlayStation,Platform game,Mega Man (original series)
dbpedia_77,Oddworld: Stranger's Wrath,2022-01-01,BlackBerry,PlayStation 3,Third-person shooter,Oddworld
dbpedia_78,Angry Birds Friends,2019-01-01,Rovio Entertainment,Windows PC,Puzzle video game,
dbpedia_79,Dynasty Warriors: Gundam 2,,Omega Force,PlayStation 2,Hack and slash,Mobile Suit Gundam
dbpedia_80,Yoot Tower,1998-01-01,OPeNBooK9003,macOS,Construction and management simulation games,
dbpedia_81,Heroes of Dragon Age,2013-01-01,,iOS (iPhone),Tactical role-playing game,Dragon Age
dbpedia_82,Oddworld: Stranger's Wrath,2015-01-01,Oddworld Inhabitants,Android,Third-person shooter,
dbpedia_83,Donkey Kong,1983-01-01,Nintendo Research & Development 1,Atari 2600,Platform game,Donkey Kong
dbpedia_84,The Talos Principle,2017-01-01,Croteam,Windows PC,Puzzle video game,
dbpedia_85,Jet Set Radio,2012-01-01,BlitWorks,,Action game,
dbpedia_86,Dark Summit,2001-01-01,Radical Entertainment,Xbox,Snowboarding video game,
dbpedia_87,Disney's Brother Bear,2003-01-01,KnowWonder Digital Mediaworks,,Platform game,
dbpedia_88,Shin Megami Tensei II,2002-01-01,,Game Boy Advance,Role-playing video game,
dbpedia_89,Shrek 2,2004-01-01,Vicarious Visions,Game Boy Advance,Action-adventure game,
dbpedia_90,Grandia II,2000-01-01,Game Arts,Nintendo Switch,Role-playing video game,
dbpedia_91,Super Ninja Boy,1991-01-01,Culture Brain,Super Nintendo (SNES),Action role-playing game,Super Chinese
dbpedia_92,Silent Scope,2000-01-01,Now Production,iOS (iPhone),Shoot 'em up,
dbpedia_93,Astonishia Story,2005-01-01,Compile Heart,,Role-playing video game,
dbpedia_94,Assassin's Creed Rogue,2018-01-01,Ubisoft Sofia,PlayStation 3,Action-adventure game,
dbpedia_95,FIFA 11,2010-01-01,Android (operating system),Xbox 360,Sports game,FIFA (video game series)
dbpedia_96,Hydlide,1984-01-01,T&E Soft,,Action role-playing game,
dbpedia_97,Digimon Story: Cyber Sleuth – Hacker's Memory,2017-01-01,Media.Vision,Windows PC,Role-playing video game,List of Digimon video games
dbpedia_98,List of Fire Pro Wrestling games,2002-01-01,Spike (company),Sega Dreamcast,Fighting game,
dbpedia_99,Tales of Zestiria,2015-01-01,,PlayStation 4,Action role-playing game,Tales (video game series)
dbpedia_100,Jet Set Radio,2012-01-01,BlitWorks,Android,Sports game,
dbpedia_101,Dr. Mario,,Nintendo Research & Development 1,Game Boy Advance,Puzzle video game,
dbpedia_102,Enclave,2002-01-01,Starbreeze Studios,Xbox,Action role-playing game,
dbpedia_103,Another World,2011-01-01,Interplay Entertainment,Nintendo 3DS,Action game,
dbpedia_104,Mega Man X3,1995-01-01,Minakuchi Engineering,,Platform game,
dbpedia_105,Street Fighter II: Champion Edition,1992-01-01,Capcom,,Fighting game,Street Fighter
dbpedia_106,Wizardry: Proving Grounds of the Mad Overlord,1999-01-01,Sir-Tech,,Role-playing video game,Wizardry
dbpedia_107,Diva Starz: Mall Mania,2001-01-01,EA DICE,,Action game,
dbpedia_108,Lego Star Wars II: The Original Trilogy,2006-01-01,Universomo,Nintendo DS,Action-adventure game,
dbpedia_109,Oddworld: Stranger's Wrath,2020-01-01,Just Add Water (company),Android,Action-adventure game,
dbpedia_110,List of Fire Pro Wrestling games,1995-01-01,Human Entertainment,PlayStation 2,Fighting game,Fire Pro Wrestling
dbpedia_112,College Hoops 2K7,2007-01-01,Visual Concepts,Xbox 360,Sports video game,
dbpedia_113,Another World,2018-01-01,Interplay Entertainment,PlayStation 4,Action game,
dbpedia_115,Theme Park,1995-01-01,EA Japan,,Construction and management simulation game,
dbpedia_116,Faces...tris III,,Spectrum HoloByte,,Puzzle video game,
dbpedia_117,De Blob,2008-01-01,BlitWorks,Nintendo Switch,Puzzle-platform game,
dbpedia_118,List of Monster Jam video games,2003-01-01,Rainbow Studios,Windows PC,Racing video game,
dbpedia_119,F1 2016,2016-01-01,Codemasters,PlayStation 4,Racing video game,
dbpedia_121,Monster Hunter Freedom Unite,2008-01-01,Capcom,iOS (iPhone),Action role-playing game,Monster Hunter
dbpedia_122,Another World,2014-01-01,Delphine Software International,,Platform game,
dbpedia_123,Call of Duty: Black Ops,2012-01-01,Treyarch,Wii,First-person shooter,Call of Duty
dbpedia_124,Kung Fu Panda: Showdown of Legendary Legends,2015-01-01,Vicious Cycle Software,PlayStation 4,Fighting game,
dbpedia_125,World of Warcraft: Battle for Azeroth,,Blizzard Entertainment,Windows PC,Massively multiplayer online role-playing game,Warcraft
dbpedia_126,Gauntlet,1985-01-01,Tengen (company),Nintendo Entertainment System (NES),Hack and slash,
dbpedia_127,Surf's Up,2007-01-01,Ubisoft Quebec,Xbox 360,Sports game,
dbpedia_128,Oddworld: Stranger's Wrath,2015-01-01,IOS,,Third-person shooter,
dbpedia_129,Daisenryaku,1991-01-01,SystemSoft Alpha,Windows PC,,
dbpedia_130,You Don't Know Jack (Facebook game),2012-01-01,Jackbox Games,Android,Party game,You Don't Know Jack (franchise)
dbpedia_131,Full Tilt! Pinball,1995-01-01,Microsoft,macOS,Arcade game,
dbpedia_132,Shinobi,2002-01-01,Overworks,PlayStation 2,,
dbpedia_133,Kingdom Hearts HD 1.5 Remix,2013-01-01,Square Enix,PlayStation 3,Action role-playing game,
dbpedia_134,Prison Architect,2015-01-01,Introversion Software,iOS (iPhone),Construction and management simulation,
dbpedia_135,Fate of Hellas,2007-01-01,World Forge,Windows PC,Real-time strategy,
dbpedia_136,Terraria,2014-01-01,Re-Logic,PlayStation Vita,Sandbox game,
dbpedia_137,SteamWorld Heist,2020-01-01,Image & Form,Nintendo Switch,Action-adventure game,SteamWorld
dbpedia_138,Hardcore 4X4,1996-01-01,Gremlin Interactive,Sega Saturn,Racing,
dbpedia_139,Shienryu,1997-01-01,WaraShi,PlayStation 2,Shoot 'em up,
dbpedia_140,List of Saiyuki video games,2001-01-01,GungHo Online Entertainment,Windows PC,Adventure game,
dbpedia_141,Lumo,2017-01-01,Just Add Water (company),Linux / SteamOS,3D platformer,
dbpedia_142,Agents of Mayhem,2017-01-01,Volition (company),Windows PC,Action-adventure game,
dbpedia_143,Baldo: The Guardian Owls,2021-01-01,NAPS team,Windows PC,Role-playing video game,
dbpedia_144,Cars 2,,,iOS (iPhone),Racing game,
dbpedia_145,Lemony Snicket's A Series of Unfortunate Events,2004-01-01,Adrenium Games,PlayStation 2,Platform game,
dbpedia_146,Utawarerumono: Mask of Truth,2016-01-01,Aquaplus,PlayStation Vita,Tactical role-playing game,
dbpedia_147,Cloud Master,1988-01-01,,,Scrolling shooter,
dbpedia_148,Tom Clancy's Ghost Recon: Future Soldier,2012-01-01,,Windows PC,,Tom Clancy's Ghost Recon
dbpedia_149,Outlaw Golf,2002-01-01,Hypnotix,Nintendo GameCube,Sports game,
dbpedia_150,James Bond 007: Nightfire,,Gearbox Software,PlayStation 2,First-person shooter,
dbpedia_151,List of Monster Jam video games,2016-01-01,Team6 Game Studios,Google Stadia,Racing game,Monster Jam
dbpedia_152,Oddworld: Stranger's Wrath,2011-01-01,BlackBerry,Xbox One,Action-adventure game,
dbpedia_153,Section 8,2010-01-01,TimeGate Studios,Xbox 360,First-person shooter,
dbpedia_154,Judge Dredd,1995-01-01,,Windows PC,Action game,
dbpedia_155,Brunswick Pro Bowling,2010-01-01,FarSight Studios,,Sports,
dbpedia_156,Worms World Party,2003-01-01,Team17,Game Boy Advance,Artillery game,
dbpedia_157,Centipede,1998-01-01,Mondo Media,macOS,Shoot 'em up,
dbpedia_158,Shrek Forever After,2010-01-01,XPEC Entertainment,Xbox 360,Action-adventure game,
dbpedia_159,Kingdom Hearts χ,2013-01-01,Square Enix,iOS (iPhone),Role-playing video game,
dbpedia_160,Mega Man Legacy Collection,2015-01-01,Capcom,,Real-time tactics,Mega Man Battle Network
dbpedia_161,Obsidian,1997-01-01,Rocket Science Games,macOS,Adventure game,
dbpedia_162,Pitfall: The Lost Expedition,2006-01-01,Beenox,Game Boy Advance,Action game,
dbpedia_163,List of Monster Jam video games,2008-01-01,Ubi Soft Barcelona,PlayStation 4,Racing game,
dbpedia_164,Temple Run,2011-01-01,Imangi Studios,Android,Endless runner,
dbpedia_165,Who Framed Roger Rabbit,1988-01-01,Disney Interactive Studios,,Action game,
dbpedia_166,Cabela's Dangerous Hunts 2013,2012-01-01,,Wii U,Sports game,
dbpedia_167,Trine,2015-01-01,Frozenbyte,Nintendo Switch,Action-adventure,
dbpedia_168,WWF Royal Rumble,2000-01-01,Yuke's,Arcade Cabinet,Fighting game,
dbpedia_169,NASCAR 2000,1999-01-01,Software Creations (UK),Windows PC,Racing game,
dbpedia_170,Micro Commandos,2002-01-01,Monte Cristo (company),Windows PC,Real-time strategy,
dbpedia_171,Sega Rally Revo,2007-01-01,Bugbear Entertainment,PlayStation 3,,
dbpedia_172,Cruis'n Exotica,2000-01-01,,Arcade Cabinet,Racing,Cruis'n (series)
dbpedia_173,Cabela's Outdoor Adventures,2005-01-01,Fun Labs,Windows PC,Action game,
dbpedia_175,Nicktoons Unite!,,Climax Studios,Nintendo GameCube,Action-adventure game,
dbpedia_176,Dream Chronicles: The Chosen Child,2011-01-01,,macOS,Adventure game,
dbpedia_177,Sonic Jump,2012-01-01,Hardlight,Android,Platform game,
dbpedia_178,The Amazing Spider-Man,2012-01-01,Beenox,PlayStation Vita,Action-adventure game,
dbpedia_179,Elite,1984-01-01,Ian Bell (programmer),,Space trading and combat simulator,
dbpedia_180,Lemmings,1991-01-01,,,Puzzle video game,
dbpedia_181,The Walking Dead: Michonne,2016-01-01,,Android,Interactive movie,
dbpedia_182,Worms,1995-01-01,Team17,PlayStation,Artillery game,
dbpedia_183,Sheep,2002-01-01,Capcom,PlayStation,Strategy video game,
dbpedia_184,Disney Infinity 2.0,2014-01-01,Avalanche Software,Xbox One,Toys-to-life,
dbpedia_186,Quake,1997-01-01,Id Software,Xbox One,First-person shooter,Quake (series)
dbpedia_187,Aggressive Inline,2002-01-01,Z-Axis,,Sports game,
dbpedia_188,List of Rock Band track packs,2008-01-01,Pi Studios,PlayStation 2,Music video game,
dbpedia_190,Counter-Strike: Global Offensive,2012-01-01,Valve Corporation,Xbox 360,Tactical shooter,
dbpedia_191,The Nightmare Before Christmas: Oogie's Revenge,2004-01-01,TOSE,Xbox,Hack and slash,
dbpedia_192,Disney's Dinosaur,2000-01-01,Digital Eclipse,PlayStation,Adventure game,
dbpedia_193,List of Fire Pro Wrestling games,2013-01-01,Human Entertainment,,Professional wrestling,Fire Pro Wrestling
dbpedia_194,Gabriel Knight: Sins of the Fathers,,Sierra On-Line,macOS,Point-and-click adventure game,Gabriel Knight
dbpedia_195,Putt-Putt Saves the Zoo,2014-01-01,Humongous Entertainment,macOS,Adventure game,
dbpedia_196,Howrse,2014-01-01,Owlient,,Simulation video game,
dbpedia_197,Police Quest II: The Vengeance,,Sierra Entertainment,,Adventure game,
dbpedia_198,From Russia with Love,2005-01-01,Rebellion Developments,Xbox,Third-person shooter,
dbpedia_199,Socket,1993-01-01,Vic Tokai,Sega Genesis / Mega Drive,Platform game,
dbpedia_200,The Fancy Pants Adventures,2017-01-01,Brad Borne,Windows PC,Platform game,
dbpedia_201,Hugo,,Interactive Television Entertainment,,Action game,Hugo (series)
dbpedia_202,Grey Goo,2015-01-01,Petroglyph Games,Windows PC,Real-time strategy,
dbpedia_203,Rocksmith 2014,,Ubisoft San Francisco,Xbox One,Music video game,
dbpedia_204,Yoshi's Cookie,1993-01-01,Blue Planet Software,Game Boy,Puzzle video game,List of Yoshi video games
dbpedia_205,Rayman Origins,2012-01-01,Ubisoft Montpellier,macOS,Platform game,
dbpedia_206,The Walking Dead: Season Two,2014-01-01,Telltale Games,Xbox One,Interactive movie,The Walking Dead (video game series)
dbpedia_207,Lego Jurassic World,2016-01-01,TT Fusion,Nintendo Switch,Action-adventure game,
dbpedia_208,Mat Hoffman's Pro BMX 2,2002-01-01,Rainbow Studios,Nintendo GameCube,Sports game,
dbpedia_209,Volume,2015-01-01,,PlayStation 4,Stealth game,
dbpedia_210,Wolfenstein 3D,1994-01-01,Id Software,,First-person shooter,Wolfenstein
dbpedia_211,Street Fighter Alpha,1995-01-01,Crawfish Interactive,PlayStation,Fighting game,
dbpedia_212,Divinity: Original Sin II,2017-01-01,Larian Studios,Nintendo Switch,Role-playing video game,Divinity (series)
dbpedia_213,Barnyard,2006-01-01,Blue Tongue Entertainment,PlayStation 2,Party game,
dbpedia_214,Crack Down,1990-01-01,Sega,,Shoot 'em up,
dbpedia_215,Fall Guys,2020-01-01,Mediatonic,PlayStation 5,Platform game,
dbpedia_216,Marvel: Ultimate Alliance 2,2009-01-01,N-Space,Xbox 360,Action role-playing,
dbpedia_217,Record of Lodoss War: Deedlit in Wonder Labyrinth,2021-01-01,,Windows PC,,
dbpedia_218,Puzzle Quest: Galactrix,2009-01-01,Infinite Interactive,Nintendo DS,Puzzle video game,
dbpedia_219,Dragon Ball Z: Budokai 3,2004-01-01,Dimps,PlayStation 2,Versus fighting game,
dbpedia_220,Winnie the Pooh's Rumbly Tumbly Adventure,2005-01-01,,Nintendo GameCube,Action-adventure game,Winnie the Pooh (franchise)
dbpedia_221,Hamtaro (video game series),,ImaginEngine,,Computer puzzle game,
dbpedia_222,List of Monster Jam video games,2003-01-01,,Xbox 360,,
dbpedia_223,Formula One 2001,2001-01-01,Studio 33,PlayStation,Racing video game,
dbpedia_224,Oddworld: Stranger's Wrath,2014-01-01,IOS,Windows PC,Third-person shooter,
dbpedia_225,Toy Story,1996-01-01,Traveller's Tales,Nintendo Entertainment System (NES),,
dbpedia_226,Shrek 2,2004-01-01,Vicarious Visions,Nintendo GameCube,Beat 'em up,
dbpedia_227,The Amazing Spider-Man 2,2014-01-01,Beenox,PlayStation 4,Action-adventure game,
dbpedia_228,Barnyard,2006-01-01,Halfbrick,Nintendo GameCube,Adventure game,
dbpedia_229,Star Wars: Episode III – Revenge of the Sith,2005-01-01,LucasArts,Xbox,Action game,
dbpedia_230,Killing Floor,2009-01-01,Tripwire Interactive,Windows PC,First-person shooter,
dbpedia_231,O-Chan no Oekaki Logic,1995-01-01,Sunsoft,,Nonogram,Hebereke (series)
dbpedia_232,TwinBee,,Konami,PlayStation 4,,
dbpedia_233,Samurai Shodown IV,1996-01-01,SNK,,Fighting game,Samurai Shodown
dbpedia_234,Lemmings,1993-01-01,Sunsoft,PlayStation,Puzzle video game,
dbpedia_235,Mortal Kombat 4,1998-01-01,Personal computer,PlayStation,Fighting game,Mortal Kombat
dbpedia_236,Turmoil,2016-01-01,Gamious,Windows PC,Simulation video game,
dbpedia_237,Dragon Ball Z: Idainaru Dragon Ball Densetsu,1996-01-01,Bandai Entertainment Company,PlayStation,Fighting game,List of Dragon Ball video games
dbpedia_238,Fallout 3 downloadable content,2009-01-01,Bethesda Game Studios,Xbox 360,,
dbpedia_240,The 7th Guest,1993-01-01,Trilobyte (company),iOS (iPhone),Puzzle adventure game,
dbpedia_241,Worms World Party,2005-01-01,The Code Monkeys,Windows PC,Strategy game,Worms (series)
dbpedia_242,Theme Park,1995-01-01,,,Construction and management simulation game,
dbpedia_243,Sonic Colors,2021-01-01,Sonic Team,Amazon Luna,Action-adventure,Sonic the Hedgehog
dbpedia_244,Wacky Races: Starring Dastardly and Muttley,2000-01-01,Gremlin Interactive,Sega Dreamcast,Racing video game,
dbpedia_246,Dead Space: Extraction,2009-01-01,Eurocom,Wii,Shoot 'em up,
dbpedia_247,Avatar: The Last Airbender,2006-01-01,Halfbrick,Xbox,,
dbpedia_249,Battle Garegga,2016-01-01,M2 (game developer),Xbox One,Shoot 'em up,
dbpedia_250,Cho Aniki,2000-01-01,X-Nauts,PlayStation 2,Fighting game,
dbpedia_251,NBA Jam,1995-01-01,Iguana Entertainment,Arcade Cabinet,Sports game,NBA Jam (series)
dbpedia_252,The King of Fighters '95,1995-01-01,,PlayStation,Fighting game,The King of Fighters
dbpedia_253,MageSlayer,,Raven Software,Windows PC,Third-person shooter,
dbpedia_254,Layers of Fear 2,2021-01-01,Bloober Team,Xbox One,Psychological horror game,
dbpedia_255,Major League Baseball 2K7,2007-01-01,Kush Games,PlayStation 2,Sports game,
dbpedia_256,Ultima II: The Revenge of the Enchantress,1982-01-01,Richard Garriott,,Role-playing video game,Ultima (series)
dbpedia_257,Baseball Stars 2,1992-01-01,M2 (game developer),,Sports game,
dbpedia_258,System Shock 2,1999-01-01,Irrational Games,Windows PC,First-person shooter,
dbpedia_259,MotoHeroz,2012-01-01,RedLynx,Wii,Platform game,
dbpedia_260,Prince of Persia: The Two Thrones,2005-01-01,Ubisoft Casablanca,Nintendo GameCube,Hack and slash,
dbpedia_261,The Hitchhiker's Guide to the Galaxy,1984-01-01,Infocom,,Interactive fiction,
dbpedia_262,Ghouls 'n Ghosts,2017-01-01,Capcom,,Platform game,Ghosts 'n Goblins
dbpedia_263,Growtopia,2019-01-01,Ubisoft Abu Dhabi,Windows PC,Adventure game,
dbpedia_264,Might & Magic: Clash of Heroes,2011-01-01,Capybara Games,Nintendo DS,Adventure game,
dbpedia_265,Spider-Man: Web of Shadows,2008-01-01,Griptonite Games,PlayStation Portable (PSP),Metroidvania,
dbpedia_266,Jet Set Radio,2012-01-01,BlitWorks,Sega Dreamcast,Platform game,
dbpedia_267,Mortal Kombat: Armageddon,2006-01-01,Midway Games,Xbox,Fighting game,Mortal Kombat
dbpedia_268,Bit.Trip Void,2012-01-01,Choice Provisions,Nintendo Switch,Rhythm game,Bit.Trip
dbpedia_269,Jane's ATF: Advanced Tactical Fighters,1997-01-01,Electronic Arts,Windows PC,Combat flight simulator,
dbpedia_270,Angry Birds,,RovioEntertainment,Nintendo 3DS,Puzzle video game,
dbpedia_271,Rome: Total War,2016-01-01,Creative Assembly,Windows PC,Real-time tactics,
dbpedia_272,The Escapists 2,2017-01-01,Team17,PlayStation 4,Strategy video game,
dbpedia_273,Bokosuka Wars,1985-01-01,ASCII (company),,,
dbpedia_274,The Mage's Tale,2017-01-01,InXile Entertainment,Oculus Rift,Role-playing video game,The Bard's Tale
dbpedia_275,Disney's Dinosaur,2000-01-01,Sandbox Studios,,Action game,
dbpedia_276,Oddworld: Munch's Oddysee,2001-01-01,PlayStation 3,Windows PC,Platform game,
dbpedia_277,Metro Exodus,2021-01-01,4A Games,PlayStation 4,First-person shooter,Metro (franchise)
dbpedia_278,Scribblenauts Unlimited,2018-01-01,5th Cell,Android,Sandbox game,Scribblenauts (video game series)
dbpedia_279,The Horde,1997-01-01,Toys for Bob,,Strategy video game,
dbpedia_280,Resogun,2014-01-01,Housemarque,PlayStation Vita,Side-scrolling video game,
dbpedia_281,Daisenryaku,2006-01-01,Genki (comPany),Windows PC,Turn-based strategy,
dbpedia_282,Wonder Boy III: The Dragon's Trap,1991-01-01,Westone Bit Entertainment,,Action-adventure game,Wonder Boy
dbpedia_283,SpyHunter,2003-01-01,Midway Games,Windows PC,Vehicular combat game,
dbpedia_284,Tom Clancy's Rainbow Six: Rogue Spear,1999-01-01,Majesco Entertainment,Sega Dreamcast,Tactical shooter,Tom Clancy's Rainbow Six
dbpedia_285,Icewind Dale: Enhanced Edition,2014-01-01,Overhaul Games,Windows PC,Role-playing video game,
dbpedia_286,Bejeweled Twist,2009-01-01,PopCap Games,,Puzzle video game,Bejeweled (series)
dbpedia_287,List of Fire Pro Wrestling games,2012-01-01,,Game Boy Advance,Fighting game,
dbpedia_288,America's Army,2009-01-01,United States Army,Windows PC,,
dbpedia_289,Ride to Hell: Retribution,2013-01-01,Eutechnyx,Windows PC,Action-adventure game,
dbpedia_290,Harry Potter and the Philosopher's Stone,2003-01-01,Xbox (console),PlayStation 2,Action-adventure game,
dbpedia_291,Lemonade Tycoon,2003-01-01,Jamdat,,Business simulation game,
dbpedia_292,EA Sports UFC,2015-01-01,SkyBox Labs,PlayStation 4,Sports game,
dbpedia_293,Oddworld: Stranger's Wrath,2020-01-01,Android (operating system),Xbox,Third-person shooter,Oddworld
dbpedia_294,Sorcerer,1985-01-01,,,Interactive fiction,
dbpedia_295,List of Fire Pro Wrestling games,2001-01-01,Spike Chunsoft,,,Fire Pro Wrestling
dbpedia_297,Micro Machines,2003-01-01,Eutechnyx,Sega Game Gear,Racing video game,Micro Machines (video game series)
dbpedia_298,Age of Zombies,2010-01-01,Halfbrick Studios,,Survival horror,
dbpedia_299,Driver 76,2007-01-01,Ubisoft Reflections,PlayStation Portable (PSP),Action-adventure game,Driver (series)
